,score,i,j
0,0.0,0.0,0.0
1,0.08926794596271925,1.0,1.0
2,0.1665182449802638,1.0,2.0
3,0.2402867700591208,1.0,3.0
4,0.28377503761896616,1.0,4.0
5,0.31463421042944517,1.0,5.0
6,0.35787571117239936,1.0,6.0
7,0.3757056592408893,1.0,7.0
8,0.3944110853745215,1.0,8.0
9,0.4137175421957767,1.0,9.0
10,0.4317740140117424,1.0,10.0
11,0.41614224490798,1.0,11.0
12,0.42264663839184247,1.0,12.0
13,0.4335342368428424,1.0,13.0
14,0.43504588672095756,1.0,14.0
15,0.43887467205044806,1.0,15.0
16,0.4371899994418068,1.0,16.0
17,0.43698868245352307,1.0,17.0
18,0.42339688099283423,1.0,18.0
19,0.4174285198030345,1.0,19.0
20,0.41051478737781744,1.0,20.0
21,0.39383042041600425,1.0,21.0
22,0.38378506078491004,1.0,22.0
23,0.37430917702674793,1.0,23.0
24,0.3680560145745705,1.0,24.0
25,0.362319766194965,1.0,25.0
26,0.35315083606273767,1.0,26.0
27,0.34526075937100376,1.0,27.0
28,0.33604597677725623,1.0,28.0
29,0.33275549568344964,1.0,29.0
30,0.3319900151282239,1.0,30.0
31,0.3187040142745263,1.0,31.0
32,0.3162975574141531,1.0,32.0
33,0.3101460988678518,1.0,33.0
34,0.3062117383300347,1.0,34.0
35,0.3017381848167151,1.0,35.0
36,0.301928918108882,1.0,36.0
37,0.2935669290253079,1.0,37.0
38,0.29190911202563263,1.0,38.0
39,0.2920709582002624,1.0,39.0
40,0.2839844443836814,1.0,40.0
41,0.28403798368620414,1.0,41.0
42,0.27641242995346316,1.0,42.0
43,0.26052879500923376,1.0,43.0
44,0.26067807746978966,1.0,44.0
45,0.2458222940604462,1.0,45.0
46,0.24583306267743488,1.0,46.0
47,0.24680497067987128,1.0,47.0
48,0.24061223069786897,1.0,48.0
49,0.2728577591228527,1.0,49.0
50,0.2634602306217444,1.0,50.0
51,0.25611716377211613,1.0,51.0
52,0.2556631745769976,1.0,52.0
53,0.24761685559052882,1.0,53.0
54,0.2476449893587771,1.0,54.0
55,0.26929120122126704,1.0,55.0
56,0.25919859724629335,1.0,56.0
57,0.2514940865086205,1.0,57.0
58,0.2502506820681907,1.0,58.0
59,0.24132775896027647,1.0,59.0
60,0.2405300987541904,1.0,60.0
61,0.24076239067630822,1.0,61.0
62,0.23022885643924595,1.0,62.0
63,0.232598052847654,1.0,63.0
64,0.2320009359334828,1.0,64.0
65,0.23198483567813732,1.0,65.0
66,0.23156170875058601,1.0,66.0
67,0.23056857971207467,1.0,67.0
68,0.23082583757443953,1.0,68.0
69,0.251339024417095,1.0,69.0
70,0.24386288659207833,1.0,70.0
71,0.23559599498637807,1.0,71.0
72,0.22914878824151663,1.0,72.0
73,0.23073432677864614,1.0,73.0
74,0.22705870972666553,1.0,74.0
75,0.22885074571183694,1.0,75.0
76,0.22445117531137382,1.0,76.0
77,0.2154694848178107,1.0,77.0
78,0.20734258710948894,1.0,78.0
79,0.20907598655956927,1.0,79.0
80,0.20908632823936557,1.0,80.0
81,0.20864671907478305,1.0,81.0
82,0.20447070989373228,1.0,82.0
83,0.19622434882498996,1.0,83.0
84,0.1980504651897257,1.0,84.0
85,0.18927426834661853,1.0,85.0
86,0.1907596779607148,1.0,86.0
87,0.1877771939929711,1.0,87.0
88,0.18646454615094854,1.0,88.0
89,0.18757919483443775,1.0,89.0
90,0.17852582753301405,1.0,90.0
91,0.19471517592731202,1.0,91.0
92,0.19430025713371868,1.0,92.0
93,0.19126552450380374,1.0,93.0
94,0.2042392878042636,1.0,94.0
95,0.20375203008293885,1.0,95.0
96,0.19618141585656768,1.0,96.0
97,0.19442093589060994,1.0,97.0
98,0.19581207694334013,1.0,98.0
99,0.1948200601353952,1.0,99.0
100,0.19416797637400995,1.0,100.0
101,0.1935136262383933,1.0,101.0
102,0.1868046893859111,1.0,102.0
103,0.1874911121988735,1.0,103.0
104,0.18697568083668759,1.0,104.0
105,0.18737312003655915,1.0,105.0
106,0.18531808125434135,1.0,106.0
107,0.18356913644958117,1.0,107.0
108,0.1827749593959468,1.0,108.0
109,0.18205790526102406,1.0,109.0
110,0.18182938811603644,1.0,110.0
111,0.19106360795506272,1.0,111.0
112,0.19102384245331927,1.0,112.0
113,0.19082870684362563,1.0,113.0
114,0.18490318471401235,1.0,114.0
115,0.17863130045589848,1.0,115.0
