,score,i,j
0,0.0,0.0,0.0
1,0.7342422841660885,1.0,1.0
2,0.7343033936746759,1.0,2.0
3,0.7340363462985645,1.0,3.0
4,0.7339510067585738,1.0,4.0
5,0.7329185752134193,1.0,5.0
6,0.7329885809447094,1.0,6.0
7,0.7330813868371147,1.0,7.0
8,0.7330731252805047,1.0,8.0
9,0.7329249319107493,1.0,9.0
10,0.7329634034474644,1.0,10.0
11,0.732897714189149,1.0,11.0
12,0.7325606528526702,1.0,12.0
13,0.7325071176375897,1.0,13.0
14,0.7324360487124686,1.0,14.0
15,0.7329655482649596,1.0,15.0
16,0.7329375297406067,1.0,16.0
17,0.7333808698646148,1.0,17.0
18,0.7332998683098442,1.0,18.0
19,0.7337221200634775,1.0,19.0
20,0.7334475905910813,1.0,20.0
21,0.7333102805352565,1.0,21.0
22,0.733189778347096,1.0,22.0
23,0.7334615788739041,1.0,23.0
24,0.7335556348459947,1.0,24.0
25,0.733969918077725,1.0,25.0
26,0.7339775998645558,1.0,26.0
27,0.7339429957989626,1.0,27.0
28,0.7338168481954104,1.0,28.0
29,0.7337883577411705,1.0,29.0
30,0.7340884284284369,1.0,30.0
31,0.7333495364519096,1.0,31.0
32,0.7336067949187943,1.0,32.0
33,0.7334909159808121,1.0,33.0
34,0.7336543223632781,1.0,34.0
35,0.7335362871396971,1.0,35.0
36,0.7339148866139404,1.0,36.0
37,0.7330918125859607,1.0,37.0
38,0.732893725336495,1.0,38.0
39,0.7328382885041861,1.0,39.0
40,0.7327847009501085,1.0,40.0
41,0.7329068064481683,1.0,41.0
42,0.7330790159010794,1.0,42.0
43,0.7327658603097882,1.0,43.0
44,0.7325250772421078,1.0,44.0
45,0.7326340683653807,1.0,45.0
46,0.7325039328961886,1.0,46.0
47,0.7329404117527968,1.0,47.0
48,0.7327643198916054,1.0,48.0
49,0.7326946936212041,1.0,49.0
50,0.7330417351237857,1.0,50.0
51,0.7327696997357172,1.0,51.0
52,0.732682511163322,1.0,52.0
53,0.7327452564381114,1.0,53.0
54,0.7332190912019554,1.0,54.0
55,0.7326779816961737,1.0,55.0
56,0.732425138746467,1.0,56.0
57,0.7323397923560894,1.0,57.0
58,0.7322633535221816,1.0,58.0
59,0.7325975094321376,1.0,59.0
60,0.7324735634067834,1.0,60.0
61,0.7324197892479691,1.0,61.0
62,0.7322541448900702,1.0,62.0
63,0.7326635147582035,1.0,63.0
64,0.7325273274685551,1.0,64.0
65,0.7324132641463786,1.0,65.0
66,0.7323384163128872,1.0,66.0
67,0.7321868119058115,1.0,67.0
68,0.7320381001236851,1.0,68.0
69,0.7323710340216174,1.0,69.0
70,0.7321236054893949,1.0,70.0
71,0.7319383244768656,1.0,71.0
72,0.7318198394819583,1.0,72.0
73,0.7321483340123609,1.0,73.0
74,0.7320741848114434,1.0,74.0
75,0.7317484831590682,1.0,75.0
76,0.7316295830986987,1.0,76.0
77,0.7316107024582083,1.0,77.0
78,0.7313966972522461,1.0,78.0
79,0.7312907987706152,1.0,79.0
80,0.7311918778232465,1.0,80.0
81,0.7310129774099705,1.0,81.0
82,0.7313510771377767,1.0,82.0
83,0.7311112670937434,1.0,83.0
84,0.730956351375091,1.0,84.0
85,0.730854825229851,1.0,85.0
86,0.7312113744348118,1.0,86.0
87,0.7310952236891439,1.0,87.0
88,0.7308988290030886,1.0,88.0
89,0.7308002744363393,1.0,89.0
90,0.7310472950824574,1.0,90.0
91,0.730905765173208,1.0,91.0
92,0.7306716174598817,1.0,92.0
93,0.730984391270644,1.0,93.0
94,0.7311000502503842,1.0,94.0
95,0.7309425581445219,1.0,95.0
96,0.7308903068961292,1.0,96.0
97,0.7308269345961197,1.0,97.0
98,0.7307152220665607,1.0,98.0
99,0.7306560082909053,1.0,99.0
100,0.736240243502871,2.0,1.0
101,0.7353049706986339,2.0,2.0
102,0.7349546389713797,2.0,3.0
103,0.734990671246979,2.0,4.0
104,0.7350296469473215,2.0,5.0
105,0.7350232970204489,2.0,6.0
106,0.7346456873390763,2.0,7.0
107,0.7345767079427737,2.0,8.0
108,0.7336500698646802,2.0,9.0
109,0.7337245453813859,2.0,10.0
110,0.7337618507688516,2.0,11.0
111,0.7335306623212047,2.0,12.0
112,0.7335917285284983,2.0,13.0
113,0.7336823713462178,2.0,14.0
114,0.7336632640289537,2.0,15.0
115,0.7333056749254675,2.0,16.0
116,0.7331303484121247,2.0,17.0
117,0.7333308685292117,2.0,18.0
118,0.7339001077452871,2.0,19.0
119,0.7339229076338676,2.0,20.0
120,0.7340237907175432,2.0,21.0
121,0.7345895310567081,2.0,22.0
122,0.7342808909734349,2.0,23.0
123,0.7342198102864925,2.0,24.0
124,0.7347333632630226,2.0,25.0
125,0.7345168039921955,2.0,26.0
126,0.7344551577235557,2.0,27.0
127,0.7342536964001085,2.0,28.0
128,0.7347136726950356,2.0,29.0
129,0.7339416465630029,2.0,30.0
130,0.7337595202009908,2.0,31.0
131,0.733805037441305,2.0,32.0
132,0.7338050943602119,2.0,33.0
133,0.7338391229145592,2.0,34.0
134,0.7336647945123713,2.0,35.0
135,0.7341074833311496,2.0,36.0
136,0.7338585331242216,2.0,37.0
137,0.7341052831571576,2.0,38.0
138,0.734047147049636,2.0,39.0
139,0.7332176415419932,2.0,40.0
140,0.7332572426240662,2.0,41.0
141,0.7332844989448124,2.0,42.0
142,0.7333363249301206,2.0,43.0
143,0.7332709230447723,2.0,44.0
144,0.7325955349590079,2.0,45.0
145,0.732547039065682,2.0,46.0
146,0.7325871540427034,2.0,47.0
147,0.7326176266795399,2.0,48.0
148,0.7326378253262464,2.0,49.0
149,0.7324596162359867,2.0,50.0
150,0.7324260456870162,2.0,51.0
151,0.7323603873587787,2.0,52.0
152,0.7325647153594117,2.0,53.0
153,0.732493280151807,2.0,54.0
154,0.732389650871677,2.0,55.0
155,0.7320674576585233,2.0,56.0
156,0.732491208614586,2.0,57.0
157,0.7316676814731282,2.0,58.0
158,0.7315172136637198,2.0,59.0
159,0.7314802896821905,2.0,60.0
160,0.7314783083925398,2.0,61.0
161,0.7315274632851465,2.0,62.0
162,0.7314374616813474,2.0,63.0
163,0.7306994325556219,2.0,64.0
164,0.7307042580743681,2.0,65.0
165,0.7309218317011297,2.0,66.0
166,0.7308849991490123,2.0,67.0
167,0.7308614732629082,2.0,68.0
168,0.7308430398156746,2.0,69.0
169,0.7309482708337852,2.0,70.0
170,0.7309184170934481,2.0,71.0
171,0.730828816374897,2.0,72.0
172,0.7310706388495811,2.0,73.0
173,0.7316216746672984,2.0,74.0
174,0.7308560281592729,2.0,75.0
175,0.7307032318275193,2.0,76.0
176,0.7306455609006236,2.0,77.0
177,0.7304294487308437,2.0,78.0
178,0.7304060154036893,2.0,79.0
179,0.7304133278236724,2.0,80.0
180,0.7296605779170302,2.0,81.0
181,0.7293757600132318,2.0,82.0
182,0.7293274377318438,2.0,83.0
183,0.7290754077466208,2.0,84.0
184,0.7290037704564827,2.0,85.0
185,0.7289101431180185,2.0,86.0
186,0.7288249735725696,2.0,87.0
187,0.7289825756884071,2.0,88.0
188,0.7287475649189226,2.0,89.0
189,0.7284210496170368,2.0,90.0
190,0.7282783160827002,2.0,91.0
191,0.7281931124714678,2.0,92.0
192,0.7280953037033363,2.0,93.0
193,0.7280382096894777,2.0,94.0
194,0.7281465295967791,2.0,95.0
195,0.7284923602116067,2.0,96.0
196,0.7284463403458303,2.0,97.0
197,0.7276821753582671,2.0,98.0
198,0.7275448261200836,2.0,99.0
199,0.7324745782939615,3.0,1.0
200,0.7316389400630898,3.0,2.0
201,0.7317109974643237,3.0,3.0
202,0.7317151590318993,3.0,4.0
203,0.7317525110094634,3.0,5.0
204,0.7319065818236425,3.0,6.0
205,0.7318033075077348,3.0,7.0
206,0.731874942444128,3.0,8.0
207,0.7314609379266002,3.0,9.0
208,0.7311830639106023,3.0,10.0
209,0.7312132077220495,3.0,11.0
210,0.7311359904359008,3.0,12.0
211,0.7311137114509578,3.0,13.0
212,0.7308238031423171,3.0,14.0
213,0.7307952104816875,3.0,15.0
214,0.7313882448747988,3.0,16.0
215,0.7311535110002112,3.0,17.0
216,0.7312135317308033,3.0,18.0
217,0.7313186614736473,3.0,19.0
218,0.7312814558279386,3.0,20.0
219,0.7318509757343914,3.0,21.0
220,0.7315479520512469,3.0,22.0
221,0.7314543095744317,3.0,23.0
222,0.7320191126548866,3.0,24.0
223,0.7318682817316198,3.0,25.0
224,0.7317229266261975,3.0,26.0
225,0.7322336954839404,3.0,27.0
226,0.731972119341598,3.0,28.0
227,0.7317388717956488,3.0,29.0
228,0.7308474653659391,3.0,30.0
229,0.7308680251198746,3.0,31.0
230,0.7307311548852251,3.0,32.0
231,0.7308115025822423,3.0,33.0
232,0.7308018564697191,3.0,34.0
233,0.7307142032549279,3.0,35.0
234,0.7303966366629433,3.0,36.0
235,0.7302694970565933,3.0,37.0
236,0.7301895481083283,3.0,38.0
237,0.7306766639616676,3.0,39.0
238,0.7306025019410527,3.0,40.0
239,0.7295026975671393,3.0,41.0
240,0.7297500016441457,3.0,42.0
241,0.7302037655457745,3.0,43.0
242,0.7300728267613212,3.0,44.0
243,0.7302589121731815,3.0,45.0
244,0.7300791017093016,3.0,46.0
245,0.7307385991632642,3.0,47.0
246,0.7297467664884387,3.0,48.0
247,0.7294841892639288,3.0,49.0
248,0.7294047330436937,3.0,50.0
249,0.729814879045364,3.0,51.0
250,0.7297643519491923,3.0,52.0
251,0.7296704220626113,3.0,53.0
252,0.7293033650448641,3.0,54.0
253,0.7285806939671919,3.0,55.0
254,0.7286173125443108,3.0,56.0
255,0.7286150653413204,3.0,57.0
256,0.7283238300643571,3.0,58.0
257,0.7283452826578427,3.0,59.0
258,0.7282825325399904,3.0,60.0
259,0.728542453982779,3.0,61.0
260,0.7283483073564223,3.0,62.0
261,0.7283015678439213,3.0,63.0
262,0.7281960794871519,3.0,64.0
263,0.7275691424788637,3.0,65.0
264,0.7274368106669902,3.0,66.0
265,0.727453782749165,3.0,67.0
266,0.7272665149788375,3.0,68.0
267,0.7272527020457706,3.0,69.0
268,0.7273537002500401,3.0,70.0
269,0.727363636011688,3.0,71.0
270,0.7273162998409947,3.0,72.0
271,0.7272857876233565,3.0,73.0
272,0.7272085461323275,3.0,74.0
273,0.7275426213300105,3.0,75.0
274,0.7271691349725902,3.0,76.0
275,0.7274294064969433,3.0,77.0
276,0.7272252823146763,3.0,78.0
277,0.7271550825965836,3.0,79.0
