,score,i,j
0,0.0,0.0,0.0
1,0.2324274533315528,1.0,1.0
2,0.23331898675413143,1.0,2.0
3,0.23301940415087197,1.0,3.0
4,0.2330052330664436,1.0,4.0
5,0.23293301848629488,1.0,5.0
6,0.2326628463557998,1.0,6.0
7,0.23239432221860779,1.0,7.0
8,0.23232333424837948,1.0,8.0
9,0.23280834754090962,1.0,9.0
10,0.2328819771250915,1.0,10.0
11,0.23306309863361774,1.0,11.0
12,0.23323761225341677,1.0,12.0
13,0.2331903716415017,1.0,13.0
14,0.23288167678943394,1.0,14.0
15,0.23605666657913904,1.0,15.0
16,0.236453356105789,1.0,16.0
17,0.23453995163340813,1.0,17.0
18,0.23461752738813968,1.0,18.0
19,0.23398408609434584,1.0,19.0
20,0.23410754096827358,1.0,20.0
21,0.23400254369945117,1.0,21.0
22,0.23525623458532596,1.0,22.0
23,0.23512227931169882,1.0,23.0
24,0.23414693536989473,1.0,24.0
25,0.2350734125000934,1.0,25.0
26,0.23520264274499825,1.0,26.0
27,0.23517053823448542,1.0,27.0
28,0.23580052580297872,1.0,28.0
29,0.2355377221241599,1.0,29.0
30,0.23560319642006167,1.0,30.0
31,0.23541924140511505,1.0,31.0
32,0.23481953687141843,1.0,32.0
33,0.23473816601671982,1.0,33.0
34,0.23447483179046769,1.0,34.0
35,0.23479862392587802,1.0,35.0
36,0.23515304126277847,1.0,36.0
37,0.23496833448025778,1.0,37.0
38,0.2336321314218056,1.0,38.0
39,0.23396217893927196,1.0,39.0
40,0.2329575657494536,1.0,40.0
41,0.233374031132062,1.0,41.0
42,0.2335438236975561,1.0,42.0
43,0.2338515852307208,1.0,43.0
44,0.2338082260632257,1.0,44.0
45,0.23396398054461354,1.0,45.0
46,0.23385349158433166,1.0,46.0
47,0.2337657513149235,1.0,47.0
48,0.23406544625987802,1.0,48.0
49,0.23401891218663817,1.0,49.0
50,0.23424963177211644,1.0,50.0
51,0.23421912187874294,1.0,51.0
52,0.23374835664771243,1.0,52.0
53,0.23418138898367757,1.0,53.0
54,0.2338749079360043,1.0,54.0
55,0.23348389229067268,1.0,55.0
56,0.23436227682358868,1.0,56.0
57,0.2340828515563792,1.0,57.0
58,0.23390034001970517,1.0,58.0
59,0.2343331999451247,1.0,59.0
60,0.2340023667490042,1.0,60.0
61,0.23375990628616738,1.0,61.0
62,0.2346343456622615,1.0,62.0
63,0.23441960639900405,1.0,63.0
64,0.2342433852160315,1.0,64.0
65,0.2346456908400515,1.0,65.0
66,0.23421484157831274,1.0,66.0
67,0.23434510912068296,1.0,67.0
68,0.23447833658031436,1.0,68.0
69,0.2342701624587925,1.0,69.0
70,0.23376145935158144,1.0,70.0
71,0.2339716456304125,1.0,71.0
72,0.2341231066956394,1.0,72.0
73,0.23407054538997663,1.0,73.0
74,0.23401950860661247,1.0,74.0
75,0.23414120078893552,1.0,75.0
76,0.233704122872067,1.0,76.0
77,0.23402941673373978,1.0,77.0
78,0.23445551943359744,1.0,78.0
79,0.23444108183234735,1.0,79.0
80,0.23447879569316332,1.0,80.0
81,0.23480330994999077,1.0,81.0
82,0.23438150986637318,1.0,82.0
83,0.23475958806037067,1.0,83.0
84,0.2342550356391947,1.0,84.0
85,0.23439933269805846,1.0,85.0
86,0.23605105419724914,1.0,86.0
87,0.23588611057672582,1.0,87.0
88,0.23643834559745835,1.0,88.0
89,0.23641198898771987,1.0,89.0
90,0.23687331562368397,1.0,90.0
91,0.237310535712561,1.0,91.0
92,0.2373033640890675,1.0,92.0
93,0.2373573289725751,1.0,93.0
94,0.23720446164704434,1.0,94.0
95,0.23771580859564323,1.0,95.0
96,0.23797959465384289,1.0,96.0
97,0.237899391327004,1.0,97.0
98,0.2405127249950474,1.0,98.0
99,0.23932563100960036,1.0,99.0
100,0.22889556383014997,2.0,1.0
101,0.22835407234895466,2.0,2.0
102,0.2289147277175123,2.0,3.0
103,0.22986304341633834,2.0,4.0
104,0.2296475878586971,2.0,5.0
105,0.2297910264787486,2.0,6.0
106,0.2296891006123073,2.0,7.0
107,0.22964348864184359,2.0,8.0
108,0.2291216322405627,2.0,9.0
109,0.22961668624541853,2.0,10.0
110,0.22910889511964416,2.0,11.0
111,0.22962737537793243,2.0,12.0
112,0.23022788022178498,2.0,13.0
113,0.23064898215206886,2.0,14.0
114,0.23018628397488183,2.0,15.0
115,0.22993652029972778,2.0,16.0
116,0.2297880430952982,2.0,17.0
117,0.2295920613537743,2.0,18.0
118,0.22952062290995412,2.0,19.0
119,0.22986548306817967,2.0,20.0
120,0.23025616682651573,2.0,21.0
121,0.23006943140182623,2.0,22.0
122,0.23073686425974382,2.0,23.0
123,0.23031236459857063,2.0,24.0
124,0.2308149324779547,2.0,25.0
125,0.230780986640298,2.0,26.0
126,0.23121978851690506,2.0,27.0
127,0.23045278484833864,2.0,28.0
128,0.23017336354824225,2.0,29.0
129,0.22992915468816533,2.0,30.0
130,0.22973329748696214,2.0,31.0
131,0.229770743651876,2.0,32.0
132,0.23026702439296176,2.0,33.0
133,0.2299571974756246,2.0,34.0
