,score,i,j
0,0.0,0.0,0.0
1,0.6118274672184922,1.0,1.0
2,0.6117532790516707,1.0,2.0
3,0.611727463017602,1.0,3.0
4,0.6114396935135886,1.0,4.0
5,0.6115852138289397,1.0,5.0
6,0.6116408556091386,1.0,6.0
7,0.6118581839037824,1.0,7.0
8,0.6118781579099709,1.0,8.0
9,0.6117749838084148,1.0,9.0
10,0.6118103668744606,1.0,10.0
11,0.6088466774556887,1.0,11.0
12,0.6086238196259421,1.0,12.0
13,0.6084724259203134,1.0,13.0
14,0.6084802573145871,1.0,14.0
15,0.6085246426960649,1.0,15.0
16,0.6087774384318273,1.0,16.0
17,0.606375594116848,1.0,17.0
18,0.606394974915236,1.0,18.0
19,0.6062136674151152,1.0,19.0
20,0.6057270791611986,1.0,20.0
21,0.6057058241593436,1.0,21.0
22,0.6057012635740668,1.0,22.0
23,0.6049177898444246,1.0,23.0
24,0.6047650899200784,1.0,24.0
25,0.6048241146868195,1.0,25.0
26,0.6047947072106379,1.0,26.0
27,0.6051916996086506,1.0,27.0
28,0.60477123386936,1.0,28.0
29,0.6047280638181521,1.0,29.0
30,0.6046914861219536,1.0,30.0
31,0.6045703692883367,1.0,31.0
32,0.6042678259813339,1.0,32.0
33,0.6042191034651418,1.0,33.0
34,0.6040387469686573,1.0,34.0
35,0.6040930916089313,1.0,35.0
36,0.6040419867967608,1.0,36.0
37,0.6040103133304753,1.0,37.0
38,0.6038384392102379,1.0,38.0
39,0.6038278915436137,1.0,39.0
40,0.6042307209149946,1.0,40.0
41,0.6037630411900076,1.0,41.0
42,0.6033470523350145,1.0,42.0
43,0.600975038313214,1.0,43.0
44,0.6012154416749941,1.0,44.0
45,0.6012857873651093,1.0,45.0
46,0.5993944864479137,1.0,46.0
47,0.5993850749080704,1.0,47.0
48,0.5993306019772997,1.0,48.0
49,0.599321793391916,1.0,49.0
50,0.5992671691046011,1.0,50.0
51,0.5976411630118876,1.0,51.0
52,0.5977868932161328,1.0,52.0
53,0.5977854307085129,1.0,53.0
54,0.5979039697128273,1.0,54.0
55,0.5976054778748825,1.0,55.0
56,0.597632868621675,1.0,56.0
57,0.59751055463402,1.0,57.0
58,0.5974527898529484,1.0,58.0
59,0.597479007975779,1.0,59.0
60,0.5974623521904918,1.0,60.0
61,0.5972221445010779,1.0,61.0
62,0.5971918818459341,1.0,62.0
63,0.5971619022300798,1.0,63.0
64,0.5973012447992874,1.0,64.0
65,0.597454653700444,1.0,65.0
66,0.5973777408148766,1.0,66.0
67,0.5971446508397968,1.0,67.0
68,0.5972245170582522,1.0,68.0
69,0.5972889983179142,1.0,69.0
70,0.5973343834226259,1.0,70.0
71,0.597320535193141,1.0,71.0
72,0.5973194411314245,1.0,72.0
73,0.5973042031235427,1.0,73.0
