,score,i,j
0,0.0,0.0,0.0
1,0.20029706327490482,1.0,1.0
2,0.20018439711094205,1.0,2.0
3,0.20019020784789188,1.0,3.0
4,0.19937345644418636,1.0,4.0
5,0.19935636429954728,1.0,5.0
6,0.1993083068342797,1.0,6.0
7,0.19917951374894693,1.0,7.0
8,0.19919083920638403,1.0,8.0
9,0.19936525103913094,1.0,9.0
10,0.19731675171026275,1.0,10.0
11,0.19745972527879685,1.0,11.0
12,0.1974211910388648,1.0,12.0
13,0.19629396305786462,1.0,13.0
14,0.19606356084471843,1.0,14.0
15,0.1959236847146114,1.0,15.0
16,0.1946491242660755,1.0,16.0
17,0.19474951041670496,1.0,17.0
18,0.19460236461127878,1.0,18.0
19,0.19456166929873675,1.0,19.0
20,0.19380831620135652,1.0,20.0
21,0.19337988571211406,1.0,21.0
22,0.19347010628521433,1.0,22.0
23,0.19334056695216129,1.0,23.0
24,0.19332240556288527,1.0,24.0
25,0.19323285261450718,1.0,25.0
26,0.19318642824791232,1.0,26.0
27,0.1932227469587885,1.0,27.0
28,0.19335494872185788,1.0,28.0
29,0.19329966750368566,1.0,29.0
30,0.1920895503810086,1.0,30.0
31,0.19212534752014676,1.0,31.0
32,0.19212646647256337,1.0,32.0
33,0.1919548513108994,1.0,33.0
34,0.19175776402499756,1.0,34.0
35,0.19188474572660053,1.0,35.0
36,0.19175626521751155,1.0,36.0
37,0.19148964684464687,1.0,37.0
38,0.19150443375772608,1.0,38.0
39,0.1915107708243512,1.0,39.0
40,0.19127859762452326,1.0,40.0
41,0.1912082231669865,1.0,41.0
42,0.1912033959182553,1.0,42.0
43,0.19072378029160053,1.0,43.0
44,0.19079674995999785,1.0,44.0
45,0.19076656897548416,1.0,45.0
46,0.1907956627679449,1.0,46.0
47,0.1907803651495118,1.0,47.0
48,0.19027580981158465,1.0,48.0
49,0.19023326030471832,1.0,49.0
50,0.19010252419920104,1.0,50.0
51,0.1901464183033139,1.0,51.0
52,0.19015076213695725,1.0,52.0
53,0.1901235268028555,1.0,53.0
54,0.19007571536714885,1.0,54.0
55,0.19007124752922144,1.0,55.0
56,0.18999278348981374,1.0,56.0
57,0.18986505869013082,1.0,57.0
58,0.18985932359341517,1.0,58.0
59,0.18965883793279503,1.0,59.0
60,0.18923069569019835,1.0,60.0
61,0.18924658564808994,1.0,61.0
62,0.1893330993920126,1.0,62.0
63,0.18940198217730875,1.0,63.0
64,0.1891617740307684,1.0,64.0
65,0.18920573934739382,1.0,65.0
66,0.18897448374372394,1.0,66.0
67,0.18900642257848932,1.0,67.0
68,0.18906665226094443,1.0,68.0
69,0.1889728099877086,1.0,69.0
70,0.1887338002397163,1.0,70.0
71,0.18865290193166362,1.0,71.0
72,0.18870689252992245,1.0,72.0
73,0.18878548452498856,1.0,73.0
74,0.1887224962136831,1.0,74.0
75,0.18835503034039724,1.0,75.0
76,0.18830732032607556,1.0,76.0
77,0.18852879192678218,1.0,77.0
78,0.18854581417158267,1.0,78.0
79,0.18854392599424796,1.0,79.0
80,0.1884525760603677,1.0,80.0
81,0.18845823655678118,1.0,81.0
82,0.18838010341782818,1.0,82.0
83,0.188374705511563,1.0,83.0
84,0.1883004143697019,1.0,84.0
85,0.18827963324054653,1.0,85.0
86,0.18818445441068632,1.0,86.0
