,score,i,j
0,0.0,0.0,0.0
1,0.020030898415785536,1.0,1.0
2,0.018957011912918098,1.0,2.0
3,0.018433990590047244,1.0,3.0
4,0.0093150120248231,1.0,4.0
5,0.008622866769279813,1.0,5.0
6,0.009287945850326329,1.0,6.0
7,0.00849862881454344,1.0,7.0
8,0.008394629932833464,1.0,8.0
9,0.008390254426327126,1.0,9.0
10,0.00311280975610273,1.0,10.0
11,-0.002687333204387965,1.0,11.0
12,-0.002855588316500679,1.0,12.0
13,-0.0024757941827391328,1.0,13.0
14,-0.002898591405221085,1.0,14.0
15,-0.008453940208747568,1.0,15.0
16,-0.00845820991856261,1.0,16.0
17,-0.008417189804515113,1.0,17.0
18,-0.00853650094832803,1.0,18.0
19,-0.008247831550997287,1.0,19.0
20,-0.013074439884637634,1.0,20.0
21,-0.012903866432012467,1.0,21.0
22,-0.012887745870393763,1.0,22.0
23,-0.02135110240525484,1.0,23.0
24,-0.021479488466418006,1.0,24.0
25,-0.022869248821969945,1.0,25.0
26,-0.02311579314173451,1.0,26.0
27,-0.02338322822127714,1.0,27.0
28,-0.024071674483197025,1.0,28.0
29,-0.03478027281157137,1.0,29.0
30,-0.03450988690813017,1.0,30.0
31,-0.03425099986521318,1.0,31.0
32,-0.04290353780181455,1.0,32.0
33,-0.041739249017114455,1.0,33.0
34,-0.041773994742314136,1.0,34.0
35,-0.0394559291098302,1.0,35.0
36,-0.03999901980745202,1.0,36.0
37,-0.03974291938952246,1.0,37.0
38,-0.03994852750716782,1.0,38.0
39,-0.04041232434873643,1.0,39.0
40,-0.04087574781479275,1.0,40.0
41,-0.041105821889090066,1.0,41.0
42,-0.04132109685220575,1.0,42.0
43,-0.041672578049331443,1.0,43.0
44,-0.043207082257878504,1.0,44.0
45,-0.04187860049340264,1.0,45.0
46,-0.040370155620019554,1.0,46.0
47,-0.03851631315998305,1.0,47.0
48,-0.04005974188301509,1.0,48.0
49,-0.040587492281870974,1.0,49.0
50,-0.0413917577600218,1.0,50.0
51,-0.04057575811607639,1.0,51.0
52,-0.041922573966120424,1.0,52.0
53,-0.042290152081374766,1.0,53.0
54,-0.04273154521611877,1.0,54.0
55,-0.04126671495430845,1.0,55.0
56,-0.04143645106637517,1.0,56.0
57,-0.04196849453351281,1.0,57.0
58,-0.043451853362065807,1.0,58.0
59,-0.04256193650569928,1.0,59.0
60,-0.04284880566375171,1.0,60.0
61,-0.04350515510506425,1.0,61.0
62,-0.04348212890298586,1.0,62.0
63,-0.04347732693790807,1.0,63.0
64,-0.04477753979824395,1.0,64.0
65,-0.05069456475364342,1.0,65.0
66,-0.051158732577966326,1.0,66.0
67,-0.05140717971863529,1.0,67.0
68,-0.05447624499100545,1.0,68.0
69,-0.055089854336186184,1.0,69.0
70,-0.055736987978111774,1.0,70.0
71,-0.05510459126145473,1.0,71.0
72,-0.0568447707093116,1.0,72.0
73,-0.05713300639470731,1.0,73.0
74,-0.05957205208653926,1.0,74.0
75,-0.05538848238080263,1.0,75.0
76,-0.06018119796999044,1.0,76.0
77,-0.06066604869682313,1.0,77.0
78,-0.06100226191866631,1.0,78.0
79,-0.06261175178031331,1.0,79.0
80,-0.06408066838092008,1.0,80.0
81,-0.06586454427513444,1.0,81.0
82,-0.07090896586944817,1.0,82.0
83,-0.07509763591786811,1.0,83.0
84,-0.08579386048625892,1.0,84.0
85,-0.08635190236418677,1.0,85.0
86,-0.08713472992619797,1.0,86.0
87,-0.08768965056800426,1.0,87.0
88,-0.0877670869161693,1.0,88.0
89,-0.08799845317517607,1.0,89.0
90,-0.08803827239336992,1.0,90.0
91,-0.09092855718960413,1.0,91.0
92,-0.09063301430668091,1.0,92.0
93,-0.09065098834791341,1.0,93.0
94,-0.09280235163719097,1.0,94.0
95,-0.09291867944541554,1.0,95.0
96,-0.09410143435559593,1.0,96.0
97,-0.09446254698211343,1.0,97.0
98,-0.09441270689862602,1.0,98.0
99,-0.09461700655220273,1.0,99.0
100,-0.003949832092577266,2.0,1.0
101,-0.007480278915854344,2.0,2.0
102,-0.007859128642576652,2.0,3.0
103,-0.007862720867412465,2.0,4.0
104,-0.009995721783852884,2.0,5.0
105,-0.015327533114934289,2.0,6.0
106,-0.02018444793119145,2.0,7.0
107,-0.020717224300281556,2.0,8.0
108,-0.019750478231773894,2.0,9.0
109,-0.0204555169295495,2.0,10.0
110,-0.024423409323771184,2.0,11.0
111,-0.023527918566629058,2.0,12.0
112,-0.023734764262068442,2.0,13.0
113,-0.02608583053120017,2.0,14.0
114,-0.025214860474924272,2.0,15.0
115,-0.02592136241383458,2.0,16.0
116,-0.027958064832959817,2.0,17.0
117,-0.027550455973748722,2.0,18.0
118,-0.02831820795422102,2.0,19.0
119,-0.02800285846910744,2.0,20.0
120,-0.028638934207216415,2.0,21.0
121,-0.029209408720380248,2.0,22.0
122,-0.029066108231087462,2.0,23.0
123,-0.03654774054575993,2.0,24.0
124,-0.040686014098725076,2.0,25.0
125,-0.04143895508115736,2.0,26.0
