,score,i,j
0,0.0,0.0,0.0
1,-0.2584415862273306,1.0,0.0
2,-9.324589011666536,2.0,0.0
3,-0.34438727926643664,3.0,0.0
4,-0.6686882064457276,4.0,0.0
5,-0.28735215187265095,5.0,0.0
6,-5.1476750322875775,6.0,0.0
7,-0.7973994171934651,7.0,0.0
8,-0.04898481737312177,8.0,0.0
9,-4.496803303819715,9.0,0.0
10,-0.20209537625505924,10.0,0.0
11,0.04727415865076845,11.0,0.0
12,-0.1646742342093126,12.0,0.0
13,-10.23758881228225,13.0,0.0
14,-0.1760810168526601,14.0,0.0
15,0.1094711535238061,15.0,0.0
16,0.2791333035470642,16.0,0.0
17,-0.272642609117008,17.0,0.0
18,-0.3868686549073126,18.0,0.0
19,-0.1915919553988572,19.0,0.0
20,-0.3447085108516572,20.0,0.0
21,-1.4436553354205959,21.0,0.0
22,0.2064641974631014,22.0,0.0
23,-0.6537291134499272,23.0,0.0
24,-0.4722648992637555,24.0,0.0
25,0.04117419262223654,25.0,0.0
26,-0.11342629469625853,26.0,0.0
27,-0.4711468126856293,27.0,0.0
28,-2.1234277027971777,28.0,0.0
29,0.06998391366912371,29.0,0.0
30,-0.23715489217028995,30.0,0.0
31,-0.06533899385061082,31.0,0.0
32,-5.0782789232866365,32.0,0.0
33,-29.722787089383246,33.0,0.0
34,0.18969428965324142,34.0,0.0
35,-0.6307813831258235,35.0,0.0
36,0.10683660270309936,36.0,0.0
37,-0.9134208155227375,37.0,0.0
38,-0.02547806101510508,38.0,0.0
39,-1.357715699532486,39.0,0.0
40,-0.18632175420366837,40.0,0.0
41,-0.8888363282526266,41.0,0.0
42,-1.0312293443582319,42.0,0.0
43,0.004088626637033799,43.0,0.0
44,-0.4653734492100752,44.0,0.0
45,-0.08207450799668092,45.0,0.0
46,-0.5461779664914672,46.0,0.0
47,-0.26956492162290213,47.0,0.0
48,-8.944728958543214,48.0,0.0
49,-0.3523949404851665,49.0,0.0
50,-0.22916636328794482,50.0,0.0
51,-0.18075847878020235,51.0,0.0
52,-0.03501794300472261,52.0,0.0
53,-50.23129603196956,53.0,0.0
54,-1.1102122666721743,54.0,0.0
55,-0.6638208918166066,55.0,0.0
56,-0.8657630176974016,56.0,0.0
57,0.2089383904993669,57.0,0.0
58,-0.0016738853243642993,58.0,0.0
59,-0.9238028717050295,59.0,0.0
60,-0.5503845680650155,60.0,0.0
61,-1.088348000426091,61.0,0.0
62,-0.5008060092669797,62.0,0.0
63,-0.16065279616916706,63.0,0.0
64,-0.4192358838281749,64.0,0.0
65,-0.1748176657148104,65.0,0.0
66,-1.267489348826516,66.0,0.0
67,-0.2706230722792422,67.0,0.0
68,0.0012917419012926645,68.0,0.0
69,-0.2167252358245615,69.0,0.0
70,0.1895189142947934,70.0,0.0
71,-6.092722264103742,71.0,0.0
72,-0.8261305958027609,72.0,0.0
73,0.11785233247631699,73.0,0.0
74,-0.01306062836718569,74.0,0.0
75,-0.17540000880127415,75.0,0.0
76,-1.3900956319249973,76.0,0.0
77,-15.37551729481444,77.0,0.0
78,0.21251590886373573,78.0,0.0
79,-1.4224293409117044,79.0,0.0
80,-0.2649541551561414,80.0,0.0
81,0.042021940537880886,81.0,0.0
82,-1.3605274713786248,82.0,0.0
83,-1.5295329313186592,83.0,0.0
84,-0.6959239917163493,84.0,0.0
85,-2.414745020643043,85.0,0.0
86,-0.2483309556344555,86.0,0.0
87,0.2117900969809866,87.0,0.0
88,-1.346665953726836,88.0,0.0
89,-2.336407993632192,89.0,0.0
90,-0.9938897673238825,90.0,0.0
91,-3.3231890273783318,91.0,0.0
92,-1.572298405226551,92.0,0.0
93,-0.4993599022986952,93.0,0.0
94,0.07978763985891013,94.0,0.0
95,-0.29061225347371855,95.0,0.0
96,-0.06281215118072114,96.0,0.0
97,-2.199038028694227,97.0,0.0
98,-0.03142612732654948,98.0,0.0
99,-0.057018403313457755,99.0,0.0
100,0.1522761368199681,100.0,0.0
