,score,i,j
0,0.0,0.0,0.0
1,0.031752076558684506,1.0,101.0
2,0.031752076558684506,1.0,102.0
3,0.031752076558684506,1.0,103.0
4,0.031752076558684506,1.0,104.0
5,0.031752076558684506,1.0,105.0
6,0.031752076558684506,1.0,106.0
7,0.031752076558684506,1.0,107.0
8,0.031752076558684506,1.0,108.0
9,0.031752076558684506,1.0,109.0
10,0.042510779128361875,2.0,101.0
11,0.042510779128361875,2.0,102.0
12,0.042510779128361875,2.0,103.0
13,0.042510779128361875,2.0,104.0
14,0.042510779128361875,2.0,105.0
15,0.042510779128361875,2.0,106.0
16,0.042510779128361875,2.0,107.0
17,0.042510779128361875,2.0,108.0
18,0.042510779128361875,2.0,109.0
19,0.046484763177174315,3.0,101.0
20,0.046484763177174315,3.0,102.0
21,0.046484763177174315,3.0,103.0
22,0.046484763177174315,3.0,104.0
23,0.046484763177174315,3.0,105.0
24,0.046484763177174315,3.0,106.0
25,0.046484763177174315,3.0,107.0
26,0.046484763177174315,3.0,108.0
27,0.046484763177174315,3.0,109.0
28,0.032051240978542395,4.0,101.0
29,0.03205169155956733,4.0,102.0
30,0.03430512804632535,4.0,103.0
31,0.03432138269949769,4.0,104.0
32,0.034289114896790984,4.0,105.0
33,0.03342547490049663,4.0,106.0
34,0.03340361364204092,4.0,107.0
35,0.03340361364204092,4.0,108.0
36,0.03340361364204092,4.0,109.0
37,-0.009917615063903762,5.0,101.0
38,-0.009908408539248237,5.0,102.0
39,-0.0076631567036307136,5.0,103.0
40,-0.007709417636247329,5.0,104.0
41,-0.007741685438954038,5.0,105.0
42,-0.008605325435248501,5.0,106.0
43,-0.009129480597766415,5.0,107.0
44,-0.009129480597766415,5.0,108.0
45,-0.009129480597766415,5.0,109.0
46,-0.010571017883562961,6.0,101.0
47,-0.010561811358907658,6.0,102.0
48,-0.008316559523290135,6.0,103.0
49,-0.008362820455906972,6.0,104.0
50,-0.008395088258613459,6.0,105.0
51,-0.009258728254907922,6.0,106.0
52,-0.009782883417425836,6.0,107.0
53,-0.009782883417425836,6.0,108.0
54,-0.009782883417425836,6.0,109.0
55,-0.0102149658908961,7.0,101.0
56,-0.010205759366241018,7.0,102.0
57,-0.007960507530623495,7.0,103.0
58,-0.00800676846324011,7.0,104.0
59,-0.008039036265946375,7.0,105.0
60,-0.008902676262240838,7.0,106.0
61,-0.009807915647920051,7.0,107.0
62,-0.009807915647920051,7.0,108.0
63,-0.009807915647920051,7.0,109.0
64,-0.010301987502456589,8.0,101.0
65,-0.010292780977801064,8.0,102.0
66,-0.008047529142183762,8.0,103.0
67,-0.008093790074800378,8.0,104.0
68,-0.008126057877506643,8.0,105.0
69,-0.008989697873801106,8.0,106.0
70,-0.009894937259479875,8.0,107.0
71,-0.009894937259479875,8.0,108.0
72,-0.009894937259479875,8.0,109.0
73,-0.010301987502456589,9.0,101.0
74,-0.010292780977801064,9.0,102.0
75,-0.008047529142183762,9.0,103.0
76,-0.008093790074800378,9.0,104.0
77,-0.008126057877506643,9.0,105.0
78,-0.008989697873801106,9.0,106.0
