,score,i,j
0,0.0,0.0,0.0
1,0.6009400118909934,101.0,11.0
2,0.6191876585863285,101.0,12.0
3,0.6346287959350899,101.0,13.0
4,0.6456106399808075,101.0,14.0
5,0.6572033193895119,101.0,15.0
6,0.6679586061629251,101.0,16.0
7,0.6769702518385494,101.0,17.0
8,0.6846796942241616,101.0,18.0
9,0.692573249124599,101.0,19.0
10,0.6007704821173425,102.0,11.0
11,0.619023857270857,102.0,12.0
12,0.634323900400664,102.0,13.0
13,0.64530867278624,102.0,14.0
14,0.6568924210708955,102.0,15.0
15,0.6676501566179782,102.0,16.0
16,0.6766493769521089,102.0,17.0
17,0.6843535561069263,102.0,18.0
18,0.6922431003076239,102.0,19.0
19,0.6002694866905508,103.0,11.0
20,0.6185386108201336,103.0,12.0
21,0.6339372718172726,103.0,13.0
22,0.6448788013123357,103.0,14.0
23,0.6563807469021186,103.0,15.0
24,0.6665686175818097,103.0,16.0
25,0.6762261015664126,103.0,17.0
26,0.6841225645557012,103.0,18.0
27,0.6912196217693416,103.0,19.0
28,0.6002235786111827,104.0,11.0
29,0.6184943793163397,104.0,12.0
30,0.6338905464790734,104.0,13.0
31,0.644831011549987,104.0,14.0
32,0.6563322035185157,104.0,15.0
33,0.6665069809859476,104.0,16.0
34,0.676163655193118,104.0,17.0
35,0.684049679827049,104.0,18.0
36,0.6911458998226139,104.0,19.0
37,0.6002612026791655,105.0,11.0
38,0.6185288290660396,105.0,12.0
39,0.6339207976679725,105.0,13.0
40,0.6448577442465355,105.0,14.0
41,0.6563558340074871,105.0,15.0
42,0.6665360627258836,105.0,16.0
43,0.6761889813675656,105.0,17.0
44,0.6840762966123994,105.0,18.0
45,0.6911604241290901,105.0,19.0
46,0.6002072373832934,106.0,11.0
47,0.6184767609867905,106.0,12.0
48,0.6337800645182147,106.0,13.0
49,0.6447210909750435,106.0,14.0
50,0.6562230339022824,106.0,15.0
51,0.6663942858454687,106.0,16.0
52,0.6760487540022871,106.0,17.0
53,0.6839299711216559,106.0,18.0
54,0.6910098674391927,106.0,19.0
55,0.5998079362508935,107.0,11.0
56,0.6182738102299469,107.0,12.0
57,0.6333205905826262,107.0,13.0
58,0.6442255522200446,107.0,14.0
59,0.6554364580977157,107.0,15.0
60,0.665534959929023,107.0,16.0
61,0.6749630530437469,107.0,17.0
62,0.6826796006417911,107.0,18.0
63,0.6907594064558766,107.0,19.0
64,0.5997910320968926,108.0,11.0
65,0.6182574661963743,108.0,12.0
66,0.6333047553095709,108.0,13.0
67,0.6442099015500362,108.0,14.0
68,0.6554091279315686,108.0,15.0
69,0.6655078445372362,108.0,16.0
70,0.6749160345054581,108.0,17.0
71,0.6826442358241769,108.0,18.0
72,0.6907226056359628,108.0,19.0
73,0.5997760826606242,109.0,11.0
74,0.6182429629442154,109.0,12.0
75,0.6332906607075155,109.0,13.0
76,0.6441959935928114,109.0,14.0
77,0.6553852133885685,109.0,15.0
78,0.6654841279446125,109.0,16.0
79,0.6748924989669738,109.0,17.0
80,0.6826206282160316,109.0,18.0
81,0.6906990677949181,109.0,19.0
82,0.5960411419032546,110.0,11.0
83,0.6147474593079414,110.0,12.0
84,0.6301239578989208,110.0,13.0
85,0.6413453344626034,110.0,14.0
86,0.6544298065503328,110.0,15.0
87,0.6652309899501833,110.0,16.0
88,0.6741610563831159,110.0,17.0
89,0.682568902476334,110.0,18.0
90,0.6893624678774357,110.0,19.0
91,0.5960264834518112,111.0,11.0
92,0.6147333499389425,111.0,12.0
93,0.6301102362985087,111.0,13.0
94,0.64133176026792,111.0,14.0
95,0.6544165701838953,111.0,15.0
96,0.6652177820629308,111.0,16.0
97,0.6741387110036194,111.0,17.0
98,0.682546543647151,111.0,18.0
99,0.6893318918667213,111.0,19.0
100,0.5960063337235606,112.0,11.0
101,0.6147113099948289,112.0,12.0
102,0.6300856414731641,112.0,13.0
103,0.6413060263934702,112.0,14.0
104,0.6543886880301456,112.0,15.0
105,0.6651868620618423,112.0,16.0
106,0.674096631971133,112.0,17.0
107,0.6825018279220658,112.0,18.0
108,0.6892775330679409,112.0,19.0
109,0.5960394050249349,113.0,11.0
110,0.614741572421033,113.0,12.0
111,0.6301131313899615,113.0,13.0
112,0.6413323147045287,113.0,14.0
113,0.6544126084360573,113.0,15.0
114,0.6652089900828183,113.0,16.0
115,0.6741232325335671,113.0,17.0
116,0.6825264085027782,113.0,18.0
117,0.6893046730487138,113.0,19.0
118,0.5957757736025959,114.0,11.0
119,0.6144597767773221,114.0,12.0
120,0.6296635156888609,114.0,13.0
121,0.6408741815701793,114.0,14.0
122,0.6542242329125717,114.0,15.0
123,0.6644693785865894,114.0,16.0
124,0.6743674107595634,114.0,17.0
125,0.6818628645731187,114.0,18.0
126,0.6898256583231139,114.0,19.0
127,0.5958137038147155,115.0,11.0
128,0.6144862508557679,115.0,12.0
129,0.6296796729948317,115.0,13.0
130,0.6408903407912165,115.0,14.0
131,0.654143162043211,115.0,15.0
132,0.6649367912209985,115.0,16.0
133,0.6724037869854965,115.0,17.0
