,score,i,j
0,0.0,0.0,0.0
1,0.7704478488719932,1.0,11.0
2,0.7704023265961483,1.0,12.0
3,0.7705200178927807,1.0,13.0
4,0.770639147966625,1.0,14.0
5,0.7706957177449323,1.0,15.0
6,0.7706765319086815,1.0,16.0
7,0.7706948994581758,1.0,17.0
8,0.7710320437584628,1.0,18.0
9,0.771139829866409,1.0,19.0
10,0.7712508971611582,1.0,20.0
11,0.7711403586631297,1.0,21.0
12,0.7667066430873156,2.0,11.0
13,0.7666736122768988,2.0,12.0
14,0.7666383097539087,2.0,13.0
15,0.7667731087226843,2.0,14.0
16,0.7667711086050053,2.0,15.0
17,0.7668705087134017,2.0,16.0
18,0.7669367459571153,2.0,17.0
19,0.7670229282241228,2.0,18.0
20,0.7669728286163668,2.0,19.0
21,0.7669859368610166,2.0,20.0
22,0.7669768261859722,2.0,21.0
23,0.7701230504879861,3.0,11.0
24,0.7699834663975286,3.0,12.0
25,0.7699593042732341,3.0,13.0
26,0.7702132507560838,3.0,14.0
27,0.7702890604789085,3.0,15.0
28,0.7703475575702239,3.0,16.0
29,0.7702546095334558,3.0,17.0
30,0.7701607204916006,3.0,18.0
31,0.7700792789511106,3.0,19.0
32,0.7700660936491875,3.0,20.0
33,0.7700486903198747,3.0,21.0
34,0.7667105143893429,4.0,11.0
35,0.7664994837704886,4.0,12.0
36,0.766520607578944,4.0,13.0
37,0.7662891587931397,4.0,14.0
38,0.7663075947669232,4.0,15.0
39,0.7663133946589924,4.0,16.0
40,0.7662172419067137,4.0,17.0
41,0.7663004173618171,4.0,18.0
42,0.7662078877722466,4.0,19.0
43,0.7661587570591187,4.0,20.0
44,0.7661673393527553,4.0,21.0
45,0.7690455204640131,5.0,11.0
46,0.7687663813369074,5.0,12.0
47,0.7687390679769537,5.0,13.0
48,0.7685207728128789,5.0,14.0
49,0.7685162534597527,5.0,15.0
50,0.7683175628139816,5.0,16.0
51,0.7683475990383539,5.0,17.0
52,0.7683365062250245,5.0,18.0
53,0.7683583819506924,5.0,19.0
54,0.7682455866896407,5.0,20.0
55,0.768211877301084,5.0,21.0
56,0.7665196069378986,6.0,11.0
57,0.7665174992166957,6.0,12.0
58,0.7665446198752272,6.0,13.0
59,0.766594994506451,6.0,14.0
60,0.7665368449861033,6.0,15.0
61,0.7664706373235302,6.0,16.0
62,0.7664538989413554,6.0,17.0
63,0.7663288597995024,6.0,18.0
64,0.7662781318279273,6.0,19.0
65,0.7665437669835654,6.0,20.0
66,0.7665625872567872,6.0,21.0
67,0.7691151559954864,7.0,11.0
68,0.7691769915624931,7.0,12.0
69,0.7692663141011752,7.0,13.0
70,0.7692531303053546,7.0,14.0
71,0.769174709172805,7.0,15.0
72,0.7692066590900148,7.0,16.0
73,0.769105856370442,7.0,17.0
74,0.7691856520479066,7.0,18.0
75,0.76883997081771,7.0,19.0
76,0.7688392192302427,7.0,20.0
77,0.7687829446380198,7.0,21.0
78,0.7691861307822152,8.0,11.0
79,0.7693771888565977,8.0,12.0
80,0.7694386972104466,8.0,13.0
81,0.7694491046588536,8.0,14.0
82,0.7693362248387625,8.0,15.0
83,0.769433599117122,8.0,16.0
84,0.7696158068273278,8.0,17.0
85,0.7698090467492849,8.0,18.0
86,0.7697660056637201,8.0,19.0
87,0.7697666981279649,8.0,20.0
88,0.7697216715669688,8.0,21.0
89,0.7682287314080114,9.0,11.0
90,0.7680185684968732,9.0,12.0
91,0.7681102428303098,9.0,13.0
92,0.7680928847278002,9.0,14.0
93,0.7681937600598812,9.0,15.0
94,0.7681438348747256,9.0,16.0
95,0.7678663079712738,9.0,17.0
96,0.7678390061710791,9.0,18.0
97,0.7680499522102426,9.0,19.0
98,0.7681011936236826,9.0,20.0
99,0.7680471258765367,9.0,21.0
