,score,i,j
0,0.0,0.0,0.0
1,-0.1769939053894709,1.0,11.0
2,-0.1775493165209947,1.0,12.0
3,-0.18607073243314098,1.0,13.0
4,-0.18482343790009503,1.0,14.0
5,-0.1952219543932756,1.0,15.0
6,-0.20204421825625962,1.0,16.0
7,-0.2102203277060779,1.0,17.0
8,-0.21132432461126482,1.0,18.0
9,-0.22088553994884252,1.0,19.0
10,-0.22064498211327432,1.0,20.0
11,-0.22980051013749425,1.0,21.0
12,-0.14714072106582798,2.0,11.0
13,-0.14686601775461705,2.0,12.0
14,-0.14938967113496227,2.0,13.0
15,-0.14841209065877314,2.0,14.0
16,-0.14887365929709406,2.0,15.0
17,-0.14933388413107918,2.0,16.0
18,-0.1485039766019789,2.0,17.0
19,-0.14804346596282114,2.0,18.0
20,-0.14837563190568304,2.0,19.0
21,-0.14827772836433506,2.0,20.0
22,-0.15453235046259994,2.0,21.0
23,-0.0987719294433933,3.0,11.0
24,-0.09996759215985551,3.0,12.0
25,-0.10210431199623682,3.0,13.0
26,-0.1021958042300326,3.0,14.0
27,-0.10216566239271652,3.0,15.0
28,-0.10544378902694773,3.0,16.0
29,-0.10634392880931776,3.0,17.0
30,-0.10600176461879074,3.0,18.0
31,-0.11113176026537164,3.0,19.0
32,-0.11194572746746068,3.0,20.0
33,-0.11681631441605367,3.0,21.0
34,-0.1604764816947768,4.0,11.0
35,-0.15916028531341664,4.0,12.0
36,-0.16137866918504473,4.0,13.0
37,-0.1651261398872319,4.0,14.0
38,-0.16296584675398829,4.0,15.0
39,-0.1625209407589432,4.0,16.0
40,-0.16214808549143656,4.0,17.0
41,-0.1649370202642373,4.0,18.0
42,-0.16459121879755,4.0,19.0
43,-0.16547433210876927,4.0,20.0
44,-0.16493628659659243,4.0,21.0
45,-0.13940470412670658,5.0,11.0
46,-0.1451081848976412,5.0,12.0
47,-0.14448795685180982,5.0,13.0
48,-0.1451643269432341,5.0,14.0
49,-0.1497050164053615,5.0,15.0
50,-0.150672412110594,5.0,16.0
51,-0.15361038916552872,5.0,17.0
52,-0.15397436006200227,5.0,18.0
53,-0.15915575591904996,5.0,19.0
54,-0.15893149283029606,5.0,20.0
55,-0.15816897848237033,5.0,21.0
56,-0.13481681651842847,6.0,11.0
57,-0.1347668491414975,6.0,12.0
58,-0.1363081229657277,6.0,13.0
59,-0.1412711219326852,6.0,14.0
60,-0.14565711061200792,6.0,15.0
61,-0.14889338830727827,6.0,16.0
62,-0.14971713533166087,6.0,17.0
63,-0.14976295815382623,6.0,18.0
64,-0.15451202590828617,6.0,19.0
65,-0.15442018169244665,6.0,20.0
66,-0.15933456516981237,6.0,21.0
67,-0.12209639414117279,7.0,11.0
68,-0.12421701755437997,7.0,12.0
69,-0.12996487876504892,7.0,13.0
70,-0.13444191218783885,7.0,14.0
71,-0.13372769758526548,7.0,15.0
72,-0.13490250195114006,7.0,16.0
73,-0.13943222528911647,7.0,17.0
74,-0.14129837921287614,7.0,18.0
75,-0.1480242998567982,7.0,19.0
76,-0.1512094422684136,7.0,20.0
77,-0.1493718002480504,7.0,21.0
78,-0.14034733570451507,8.0,11.0
79,-0.13869456992757434,8.0,12.0
80,-0.14196227974643283,8.0,13.0
81,-0.14424684996401615,8.0,14.0
82,-0.14670261216526392,8.0,15.0
83,-0.14955899321764332,8.0,16.0
84,-0.15015573374007385,8.0,17.0
85,-0.1481157601987937,8.0,18.0
86,-0.15234663525807735,8.0,19.0
87,-0.15260888175580267,8.0,20.0
88,-0.1539733327940369,8.0,21.0
89,-0.18238436230541355,9.0,11.0
90,-0.1877628802088016,9.0,12.0
91,-0.19039638059256014,9.0,13.0
92,-0.19225093544702587,9.0,14.0
93,-0.19530411012565052,9.0,15.0
94,-0.20378357287626603,9.0,16.0
95,-0.20586002449787788,9.0,17.0
96,-0.20950373168743042,9.0,18.0
97,-0.21156251891343936,9.0,19.0
98,-0.21479319184895318,9.0,20.0
99,-0.22261057094478987,9.0,21.0
