,score,i,j
0,0.0,0.0,0.0
1,0.31921714852052263,1.0,11.0
2,0.3186315074662258,1.0,12.0
3,0.3184678917890075,1.0,13.0
4,0.3180869792537623,1.0,14.0
5,0.31759474323546744,1.0,15.0
6,0.3169270072370347,1.0,16.0
7,0.31682456829249717,1.0,17.0
8,0.31602692598083526,1.0,18.0
9,0.31552387082685773,1.0,19.0
10,0.3150362370753981,1.0,20.0
11,0.31519836292228254,1.0,21.0
12,0.3133501440495463,2.0,11.0
13,0.31327671022831394,2.0,12.0
14,0.3128246806175362,2.0,13.0
15,0.31299999228762376,2.0,14.0
16,0.3130456002051162,2.0,15.0
17,0.31335795088980056,2.0,16.0
18,0.31309868111793604,2.0,17.0
19,0.3125325264041968,2.0,18.0
20,0.3128178663831518,2.0,19.0
21,0.31285421224102294,2.0,20.0
22,0.3127631537075438,2.0,21.0
23,0.31641696065839353,3.0,11.0
24,0.31670079842431986,3.0,12.0
25,0.31633788152990205,3.0,13.0
26,0.31609281665134303,3.0,14.0
27,0.316023575610597,3.0,15.0
28,0.3151643263363927,3.0,16.0
29,0.31521989258612904,3.0,17.0
30,0.3149577670775823,3.0,18.0
31,0.3145398192754103,3.0,19.0
32,0.3147257218257393,3.0,20.0
33,0.31456476996601024,3.0,21.0
34,0.3150408238313356,4.0,11.0
35,0.31451698673594997,4.0,12.0
36,0.3143171964366853,4.0,13.0
37,0.31453643916254914,4.0,14.0
38,0.31408009679239823,4.0,15.0
39,0.3130069650530448,4.0,16.0
40,0.3121279123350199,4.0,17.0
41,0.3119424499422182,4.0,18.0
42,0.31192599318775194,4.0,19.0
43,0.31129065610595485,4.0,20.0
44,0.3110294841526404,4.0,21.0
45,0.3179758070074481,5.0,11.0
46,0.3177808301763442,5.0,12.0
47,0.31700703782127504,5.0,13.0
48,0.3167236335861918,5.0,14.0
49,0.3156496830029414,5.0,15.0
50,0.31532771728104914,5.0,16.0
51,0.3142874805187096,5.0,17.0
52,0.3139648564466776,5.0,18.0
53,0.3140726050357815,5.0,19.0
54,0.3127178785168292,5.0,20.0
55,0.31276709303315353,5.0,21.0
56,0.3184687906713116,6.0,11.0
57,0.3184203834382211,6.0,12.0
58,0.31842072347345995,6.0,13.0
59,0.3181037790697122,6.0,14.0
60,0.3172631675824469,6.0,15.0
61,0.3182138107394976,6.0,16.0
62,0.3177032600918446,6.0,17.0
63,0.31706034080411505,6.0,18.0
64,0.31700265737235356,6.0,19.0
65,0.3161483552505451,6.0,20.0
66,0.3156855422080226,6.0,21.0
67,0.3122717734255589,7.0,11.0
68,0.3120038073776714,7.0,12.0
69,0.3119177982016047,7.0,13.0
70,0.31206235125109005,7.0,14.0
71,0.3112688542534554,7.0,15.0
72,0.3107545383977417,7.0,16.0
73,0.31109603045795964,7.0,17.0
74,0.3114194362875986,7.0,18.0
75,0.31120627667703815,7.0,19.0
76,0.3112880606290577,7.0,20.0
77,0.3112236676041632,7.0,21.0
78,0.3080887534133002,8.0,11.0
79,0.30812073645062077,8.0,12.0
80,0.30751113098036964,8.0,13.0
81,0.3068898069852575,8.0,14.0
82,0.3064165681477977,8.0,15.0
83,0.3065925370083302,8.0,16.0
84,0.3063128851791701,8.0,17.0
85,0.30623667083170625,8.0,18.0
86,0.3062145254169494,8.0,19.0
87,0.306281129397029,8.0,20.0
88,0.3047629187923825,8.0,21.0
89,0.3116083809653748,9.0,11.0
90,0.3116555182453208,9.0,12.0
91,0.311545360661711,9.0,13.0
92,0.3111473666584038,9.0,14.0
93,0.3110353213534196,9.0,15.0
94,0.3108465672589644,9.0,16.0
95,0.3110664034260383,9.0,17.0
96,0.31097052714909046,9.0,18.0
97,0.311116729735484,9.0,19.0
98,0.3111172232821763,9.0,20.0
99,0.3110310246977118,9.0,21.0
