,score,i,j
0,0.0,0.0,0.0
1,-4.220101781882738,1.0,0.0
2,-2.421204867655342,2.0,0.0
3,-0.15101123414296813,3.0,0.0
4,-0.11155274261956682,4.0,0.0
5,-0.42151706889497964,5.0,0.0
6,-0.3391813036507578,6.0,0.0
7,-0.27797672826151043,7.0,0.0
8,-1.0926903222492532,8.0,0.0
9,-0.7761400226028676,9.0,0.0
10,0.027132172342563488,10.0,0.0
11,-0.131348471194779,11.0,0.0
12,0.028338757467423314,12.0,0.0
13,-0.254408805896166,13.0,0.0
14,-1.4089816611269574,14.0,0.0
15,-0.7843014600934048,15.0,0.0
16,-0.35488366846083097,16.0,0.0
17,-0.07775958785341741,17.0,0.0
18,-0.31980608593283844,18.0,0.0
19,-0.09697355535129204,19.0,0.0
20,-0.3258780216420314,20.0,0.0
21,-0.0271926171069381,21.0,0.0
22,-3.036599492384555,22.0,0.0
23,-0.6088685251812767,23.0,0.0
24,-0.08229790444514062,24.0,0.0
25,-0.19250083018167774,25.0,0.0
26,-0.5694622212917422,26.0,0.0
27,-1.5545741195193803,27.0,0.0
28,0.031040648557144057,28.0,0.0
29,-0.06873145234602585,29.0,0.0
30,-0.4043153858412345,30.0,0.0
31,-0.01507123886202777,31.0,0.0
32,-0.249165259701557,32.0,0.0
33,-0.35633678701065175,33.0,0.0
34,-1.7105118906519352,34.0,0.0
35,-0.07528145530814001,35.0,0.0
36,-0.2195437160206779,36.0,0.0
37,-0.10869292717617052,37.0,0.0
38,0.11167323287984676,38.0,0.0
39,-0.35090367038972103,39.0,0.0
40,-0.17784537938942724,40.0,0.0
41,-0.061980318649694555,41.0,0.0
42,-0.20258897459995384,42.0,0.0
43,-7.297099638092407,43.0,0.0
44,-1.054481849297098,44.0,0.0
45,-0.43751837169884134,45.0,0.0
46,-1.2154061312270028,46.0,0.0
47,-1.1327296505306426,47.0,0.0
48,-0.5338019659620068,48.0,0.0
49,0.017056573744399395,49.0,0.0
50,-2.0631157128403568,50.0,0.0
51,-0.1870343314639069,51.0,0.0
52,-0.06010103572475467,52.0,0.0
53,-0.37340217418404564,53.0,0.0
54,-0.3180609493400943,54.0,0.0
55,-3.0266190840761977,55.0,0.0
56,-5.662503713584645,56.0,0.0
57,-0.12335775044778341,57.0,0.0
58,-0.09443148077405383,58.0,0.0
59,-0.05844846881341059,59.0,0.0
60,-0.2011734702083834,60.0,0.0
61,-0.041154403094515235,61.0,0.0
62,-0.5755776018776206,62.0,0.0
63,-0.13243114546664692,63.0,0.0
64,-0.128255814769773,64.0,0.0
65,-0.46887529889691426,65.0,0.0
66,-1.56366101306901,66.0,0.0
67,-0.31681563992853556,67.0,0.0
68,-1.4368863733325523,68.0,0.0
69,-0.46728773315711547,69.0,0.0
70,-0.09501901096742515,70.0,0.0
71,-0.07687435844411206,71.0,0.0
72,-1.9563567285154537,72.0,0.0
73,-0.06277297329170461,73.0,0.0
74,-0.8609072960753967,74.0,0.0
75,-0.03663044149278405,75.0,0.0
76,-0.10292699100761493,76.0,0.0
77,-0.7378666053041545,77.0,0.0
78,-0.011260939822145932,78.0,0.0
79,-2.299778480234253,79.0,0.0
80,-1.5258598912382184,80.0,0.0
81,-0.3808334360196435,81.0,0.0
82,-0.1380499631584311,82.0,0.0
83,-0.2270919321099636,83.0,0.0
84,-0.03517180682828647,84.0,0.0
85,-0.8593931075840224,85.0,0.0
86,-0.5754519453321605,86.0,0.0
87,-0.7084414872857092,87.0,0.0
88,-0.23249336601824577,88.0,0.0
89,-0.7069059874768915,89.0,0.0
90,-0.25602064977812233,90.0,0.0
91,-0.009460115240062406,91.0,0.0
92,-0.11785030077117487,92.0,0.0
93,-0.24160815465210517,93.0,0.0
94,-1.543071865870889,94.0,0.0
95,0.16738965559634422,95.0,0.0
96,-2.085165449258113,96.0,0.0
97,-0.046967217938408634,97.0,0.0
98,-0.10958159204407547,98.0,0.0
99,0.04131029454121804,99.0,0.0
100,-0.06936956301552422,100.0,0.0
