,score,i,j
0,0.0,0.0,0.0
1,-0.5230597479502641,1.0,0.0
2,-0.8971368142003779,2.0,0.0
3,-0.299963698766748,3.0,0.0
4,-0.7277539046647015,4.0,0.0
5,-24.442914955388808,5.0,0.0
6,-0.7312613270025841,6.0,0.0
7,-0.3382272441203029,7.0,0.0
8,-0.2812914826587507,8.0,0.0
9,-0.039603349174704094,9.0,0.0
10,-0.4451796292899941,10.0,0.0
11,-0.020808357216764994,11.0,0.0
12,-0.2451217560518515,12.0,0.0
13,-1.9055147612285936,13.0,0.0
14,0.17332266350368442,14.0,0.0
15,-0.3437422017305045,15.0,0.0
16,-1.6809562062802312,16.0,0.0
17,-0.10210846677447849,17.0,0.0
18,-21.98599077753169,18.0,0.0
19,0.08289463474951264,19.0,0.0
20,-0.013160040927809646,20.0,0.0
21,-0.19010120505071848,21.0,0.0
22,0.014617645048958905,22.0,0.0
23,-11.383194576124867,23.0,0.0
24,-0.3289568310091304,24.0,0.0
25,0.0424579434710457,25.0,0.0
26,-3.092261404452402,26.0,0.0
27,-0.784534460797502,27.0,0.0
28,0.04589606778272037,28.0,0.0
29,0.22468521927323237,29.0,0.0
30,-0.40439554590517224,30.0,0.0
31,-0.633196740144992,31.0,0.0
32,-1.3827060644882523,32.0,0.0
33,-0.6310686171276583,33.0,0.0
34,-34.48753929615477,34.0,0.0
35,-1.4445608447477323,35.0,0.0
36,-0.3732723595462515,36.0,0.0
37,-2.093613674954401,37.0,0.0
38,-20.207823149586464,38.0,0.0
39,0.02889598837931895,39.0,0.0
40,-0.7295021117819878,40.0,0.0
41,-0.26645506591858026,41.0,0.0
42,-0.323287614879864,42.0,0.0
43,-4.34638929199459,43.0,0.0
44,-0.10449453930046215,44.0,0.0
45,-0.2656791974663011,45.0,0.0
46,-50.679259619275896,46.0,0.0
47,-0.1768065079781247,47.0,0.0
48,-0.023191285566800612,48.0,0.0
49,-0.04019737819591751,49.0,0.0
50,-36.24598271893932,50.0,0.0
51,-0.04123832371354075,51.0,0.0
52,-0.47741591460813226,52.0,0.0
53,-0.25736416787548433,53.0,0.0
54,-0.05382953953605907,54.0,0.0
55,-28.72079043394315,55.0,0.0
56,-8.270767648819177,56.0,0.0
57,-0.06738937115995869,57.0,0.0
58,-0.2314415478590306,58.0,0.0
59,0.04442131703513541,59.0,0.0
60,-3.9274934722250334,60.0,0.0
61,-0.23973082707805626,61.0,0.0
62,0.16364207672461828,62.0,0.0
63,-0.3141272820005343,63.0,0.0
64,-13.207219149130696,64.0,0.0
65,-20.031998830155263,65.0,0.0
66,-1.5912412862410714,66.0,0.0
67,-0.11307465187776922,67.0,0.0
68,-1.460165295379372,68.0,0.0
69,-1.2976544925166693,69.0,0.0
70,-0.607917283451026,70.0,0.0
71,-0.8325578790886985,71.0,0.0
72,-4.204171374179779,72.0,0.0
73,-0.20294800748091713,73.0,0.0
74,-0.19337866511362933,74.0,0.0
75,-1.6422716039073815,75.0,0.0
76,-0.1809812585721271,76.0,0.0
77,-1.562930860471138,77.0,0.0
78,-0.6524972358529062,78.0,0.0
79,-0.24508919539225826,79.0,0.0
80,-13.272318132644498,80.0,0.0
81,0.1747194910054689,81.0,0.0
82,0.12532538238145363,82.0,0.0
83,-0.027616283834521083,83.0,0.0
84,0.08063242568992579,84.0,0.0
85,-0.2538751294761976,85.0,0.0
86,-0.040102996557947135,86.0,0.0
87,-0.039553051549814366,87.0,0.0
88,-0.12282773319076701,88.0,0.0
89,-0.1335126211406017,89.0,0.0
90,-0.5202775918978839,90.0,0.0
91,0.16885439323936513,91.0,0.0
92,-0.2960027663659084,92.0,0.0
93,-1.5075187455422814,93.0,0.0
94,-5.072917920276219,94.0,0.0
95,-0.46339137058426494,95.0,0.0
96,-1.2174663435978266,96.0,0.0
97,-0.30239397426551196,97.0,0.0
98,-1.6620845193517533,98.0,0.0
99,-0.07312258993949317,99.0,0.0
100,-0.3063592349759332,100.0,0.0
