,score,i,j
0,0.0,0.0,0.0
1,0.08475623131708698,1.0,0.0
2,-0.4695611822257133,2.0,0.0
3,-0.048422220901238155,3.0,0.0
4,-0.3660556994743158,4.0,0.0
5,-1.2539128137071684,5.0,0.0
6,-0.16444654266549574,6.0,0.0
7,-1.104319879311821,7.0,0.0
8,-0.13026150132037007,8.0,0.0
9,0.011026954995471683,9.0,0.0
10,-0.03989717903249845,10.0,0.0
11,-0.06091879414717227,11.0,0.0
12,-0.03768316507853853,12.0,0.0
13,-1.0857278806020743,13.0,0.0
14,-0.02851469508846538,14.0,0.0
15,-0.06546038620008465,15.0,0.0
16,0.18094704729348576,16.0,0.0
17,-0.04787314462818992,17.0,0.0
18,-0.02843114414650949,18.0,0.0
19,-0.18872672009971514,19.0,0.0
20,-0.15931689940031646,20.0,0.0
21,0.07736025940755997,21.0,0.0
22,0.21144475016236808,22.0,0.0
23,-0.9208315599535843,23.0,0.0
24,0.2562320926412347,24.0,0.0
25,-0.11436611141613473,25.0,0.0
26,-0.43655250732668893,26.0,0.0
27,-4.558670426819931,27.0,0.0
28,-0.11989919604607624,28.0,0.0
29,0.13601408031944973,29.0,0.0
30,-0.7901383684261154,30.0,0.0
31,0.1516492611456841,31.0,0.0
32,-0.5786838164459562,32.0,0.0
33,-0.07412319200835427,33.0,0.0
34,-1.086608444827204,34.0,0.0
35,-0.8013949937602225,35.0,0.0
36,0.15497248800084085,36.0,0.0
37,-0.544190301299589,37.0,0.0
38,-0.3053831644109919,38.0,0.0
39,0.04477416631586384,39.0,0.0
40,-0.06786220401559784,40.0,0.0
41,-0.2803373156577065,41.0,0.0
42,0.05461546761880498,42.0,0.0
43,-2.0000594672580925,43.0,0.0
44,0.1928592267255721,44.0,0.0
45,0.05881713086200002,45.0,0.0
46,-0.42249869984137867,46.0,0.0
47,-0.06974965733485883,47.0,0.0
48,-1.4422091679050664,48.0,0.0
49,-0.18141631340509945,49.0,0.0
50,-0.3590996281270673,50.0,0.0
51,-0.09804426013825096,51.0,0.0
52,0.008635584462947876,52.0,0.0
53,0.07720404143983073,53.0,0.0
54,-0.8174756242015311,54.0,0.0
55,-15.497400634563526,55.0,0.0
56,0.05790847422731871,56.0,0.0
57,0.2156278066635191,57.0,0.0
58,0.03269539776750774,58.0,0.0
59,0.10615180187581352,59.0,0.0
60,-0.523232989513273,60.0,0.0
61,0.08480048063705736,61.0,0.0
62,-0.6396866404640851,62.0,0.0
63,0.018255396283103353,63.0,0.0
64,-0.18065113253344833,64.0,0.0
65,-0.4817257232661174,65.0,0.0
66,-0.146796533105934,66.0,0.0
67,-0.0012950534569371452,67.0,0.0
68,-0.21044111744920135,68.0,0.0
69,0.0354206686180939,69.0,0.0
70,-0.9737353405360771,70.0,0.0
71,-0.2287758352745577,71.0,0.0
72,-0.27064141275159015,72.0,0.0
73,0.058703702832885174,73.0,0.0
74,-4.864630475894885,74.0,0.0
75,-2.0102884680727664,75.0,0.0
76,0.053299618747742916,76.0,0.0
77,-0.9222846219602376,77.0,0.0
78,-0.8769296472216102,78.0,0.0
79,0.12033450265977796,79.0,0.0
80,-0.9055185261228424,80.0,0.0
81,0.21293769079739822,81.0,0.0
82,0.16728218459486832,82.0,0.0
83,-0.05543433457585878,83.0,0.0
84,-0.016490648058293145,84.0,0.0
85,-0.4559571540709424,85.0,0.0
86,0.15571464214023933,86.0,0.0
87,-0.6880501811940025,87.0,0.0
88,0.0849826124430807,88.0,0.0
89,-0.7477437766320827,89.0,0.0
90,0.09899901084424867,90.0,0.0
91,0.27706763247228705,91.0,0.0
92,0.03909046153149298,92.0,0.0
93,-0.059690621382612497,93.0,0.0
94,-1.152278126446415,94.0,0.0
95,0.02828148060998681,95.0,0.0
96,-0.038314906272283844,96.0,0.0
97,-0.657679495208848,97.0,0.0
98,0.1656581026805204,98.0,0.0
99,-0.11175986399324334,99.0,0.0
100,-0.08215320169709872,100.0,0.0
