,score,i,j
0,0.0,0.0,0.0
1,0.08756553289668789,1.0,41.0
2,0.09125961848188446,1.0,42.0
3,0.08732155436782008,1.0,43.0
4,0.09140017924294153,1.0,44.0
5,0.08787450385739759,1.0,45.0
6,0.08785171065197017,1.0,46.0
7,0.08522010255780743,1.0,47.0
8,0.088674765664853,1.0,48.0
9,0.08593946012054798,1.0,49.0
10,0.3255518613374875,2.0,41.0
11,0.3284735988518872,2.0,42.0
12,0.3225282597069201,2.0,43.0
13,0.3347156894659886,2.0,44.0
14,0.330208291746828,2.0,45.0
15,0.3222599946779543,2.0,46.0
16,0.333314563776522,2.0,47.0
17,0.3304952751536876,2.0,48.0
18,0.3269103440081227,2.0,49.0
19,0.38106340956933415,3.0,41.0
20,0.38539452527824725,3.0,42.0
21,0.38756641714018014,3.0,43.0
22,0.38825956592108246,3.0,44.0
23,0.386992071864793,3.0,45.0
24,0.3877959159154276,3.0,46.0
25,0.38797789600071,3.0,47.0
26,0.3933454702287438,3.0,48.0
27,0.393979785865641,3.0,49.0
28,0.3863834449626089,4.0,41.0
29,0.38347930653495477,4.0,42.0
30,0.3796280205649515,4.0,43.0
31,0.37873781018917574,4.0,44.0
32,0.3804909229165703,4.0,45.0
33,0.3815339961453986,4.0,46.0
34,0.37652120891971064,4.0,47.0
35,0.391141200036734,4.0,48.0
36,0.3809369190755355,4.0,49.0
37,0.3858302287937765,5.0,41.0
38,0.38340123563209094,5.0,42.0
39,0.3910476010623073,5.0,43.0
40,0.3928060187110458,5.0,44.0
41,0.36973851407080127,5.0,45.0
42,0.3864759107338218,5.0,46.0
43,0.3839170831534683,5.0,47.0
44,0.3794471027441443,5.0,48.0
45,0.38257091329366166,5.0,49.0
46,0.36289493742899037,6.0,41.0
47,0.3746567943665374,6.0,42.0
48,0.36357005351931837,6.0,43.0
49,0.35761513365185793,6.0,44.0
50,0.358901923513831,6.0,45.0
51,0.3609003425555214,6.0,46.0
52,0.3692943802978408,6.0,47.0
53,0.3595909538792046,6.0,48.0
54,0.3596971787476754,6.0,49.0
55,0.3416921261936836,7.0,41.0
56,0.34594797229207097,7.0,42.0
57,0.35847750108231435,7.0,43.0
58,0.35143332538557126,7.0,44.0
59,0.3448007152972544,7.0,45.0
60,0.3492623341356401,7.0,46.0
61,0.350331264455373,7.0,47.0
62,0.34798834497686515,7.0,48.0
63,0.35009208922334756,7.0,49.0
64,0.3366013697660597,8.0,41.0
65,0.3321337089803059,8.0,42.0
66,0.33566398482709003,8.0,43.0
67,0.3351599727802236,8.0,44.0
68,0.33049541092873813,8.0,45.0
69,0.3376061476108576,8.0,46.0
70,0.3398193072615374,8.0,47.0
71,0.33832082621982695,8.0,48.0
72,0.3492819998010652,8.0,49.0
73,0.3222705804279359,9.0,41.0
74,0.32089127849999943,9.0,42.0
75,0.3358674505602772,9.0,43.0
76,0.32769920906078553,9.0,44.0
77,0.3321342612011202,9.0,45.0
