,score,i,j
0,0.0,0.0,0.0
1,-10.451094481066503,1.0,1.0
2,-11.039408122625195,1.0,2.0
3,-12.059931391481506,1.0,3.0
4,-13.054147907613606,1.0,4.0
5,-14.389813516481299,1.0,5.0
6,-15.853024876412142,1.0,6.0
7,-16.937452385219423,1.0,7.0
8,-18.44086461799939,1.0,8.0
9,-19.2397098441125,1.0,9.0
10,-10.451094481066503,2.0,1.0
11,-11.039408122625195,2.0,2.0
12,-12.059931391481506,2.0,3.0
13,-13.054147907613606,2.0,4.0
14,-14.389813516481306,2.0,5.0
15,-15.85302487641215,2.0,6.0
16,-17.09320720177057,2.0,7.0
17,-18.592546691200916,2.0,8.0
18,-19.387228267772837,2.0,9.0
19,-10.451094481066503,3.0,1.0
20,-11.039408122625195,3.0,2.0
21,-12.059931391481504,3.0,3.0
22,-13.054147907613606,3.0,4.0
23,-14.389813516481302,3.0,5.0
24,-15.853024876412139,3.0,6.0
25,-16.937452385219416,3.0,7.0
26,-18.44086461799939,3.0,8.0
27,-19.38722826777284,3.0,9.0
28,-10.451094481066503,4.0,1.0
29,-11.039408122625193,4.0,2.0
30,-12.059931391481506,4.0,3.0
31,-13.0541479076136,4.0,4.0
32,-14.389813516481304,4.0,5.0
33,-15.85302487641215,4.0,6.0
34,-17.09320720177058,4.0,7.0
35,-18.592546691200912,4.0,8.0
36,-19.38722826777284,4.0,9.0
37,-10.451094481066503,5.0,1.0
38,-11.039408122625195,5.0,2.0
39,-12.059931391481504,5.0,3.0
40,-13.054147907613602,5.0,4.0
41,-14.389813516481302,5.0,5.0
42,-15.853024876412142,5.0,6.0
43,-17.012772209917646,5.0,7.0
44,-18.492448943225885,5.0,8.0
45,-19.275642885606807,5.0,9.0
46,-10.707888025257137,6.0,1.0
47,-11.27923071770915,6.0,2.0
48,-12.294497626652115,6.0,3.0
49,-13.439137620018977,6.0,4.0
50,-14.775851844825773,6.0,5.0
51,-16.0425454421899,6.0,6.0
52,-17.487083878999204,6.0,7.0
53,-18.99425303422681,6.0,8.0
54,-20.053266610126464,6.0,9.0
55,-10.707888025257137,7.0,1.0
56,-11.27923071770915,7.0,2.0
57,-12.349396629812206,7.0,3.0
58,-13.444865020527015,7.0,4.0
59,-14.73996102277708,7.0,5.0
60,-16.081598732638057,7.0,6.0
61,-17.491809360774536,7.0,7.0
62,-18.96982219149127,7.0,8.0
63,-19.732912268053127,7.0,9.0
64,-10.682732145058297,8.0,1.0
65,-11.230561056621168,8.0,2.0
66,-12.29121914111096,8.0,3.0
67,-13.366795566356304,8.0,4.0
68,-14.645048878021035,8.0,5.0
69,-15.984013337091262,8.0,6.0
70,-17.380174737183964,8.0,7.0
71,-18.846186280763934,8.0,8.0
72,-19.598950675285593,8.0,9.0
73,-10.638477704419671,9.0,1.0
74,-11.174716904176092,9.0,2.0
75,-12.154666349337786,9.0,3.0
76,-13.256890210128622,9.0,4.0
77,-14.558842696267213,9.0,5.0
78,-15.994173506851205,9.0,6.0
79,-17.27457478914735,9.0,7.0
80,-18.73929810430348,9.0,8.0
81,-19.520149488006066,9.0,9.0
82,-10.638477704419671,10.0,1.0
83,-11.174716904176092,10.0,2.0
84,-12.154666349337786,10.0,3.0
85,-13.256890210128619,10.0,4.0
86,-14.558842696267218,10.0,5.0
87,-15.994173506851194,10.0,6.0
88,-17.27457478914736,10.0,7.0
89,-18.73929810430348,10.0,8.0
90,-19.520149488006062,10.0,9.0
91,-10.638477704419671,11.0,1.0
92,-11.174716904176092,11.0,2.0
93,-12.154666349337782,11.0,3.0
94,-13.234834960875233,11.0,4.0
95,-14.538957158026282,11.0,5.0
96,-15.97630310665247,11.0,6.0
97,-17.223907066872165,11.0,7.0
98,-18.69188856338736,11.0,8.0
99,-19.475020801300538,11.0,9.0
100,-10.638477704419671,12.0,1.0
101,-11.174716904176092,12.0,2.0
102,-12.154666349337786,12.0,3.0
103,-13.260211169861009,12.0,4.0
104,-14.565363203484448,12.0,5.0
105,-16.00369900835174,12.0,6.0
106,-17.285151010024162,12.0,7.0
107,-18.754527696498915,12.0,8.0
108,-19.53841799197562,12.0,9.0
109,-10.891133265893052,13.0,1.0
110,-11.393169355950379,13.0,2.0
111,-12.34431031807773,13.0,3.0
112,-13.583798185887995,13.0,4.0
113,-14.865140980583726,13.0,5.0
114,-16.282636422225554,13.0,6.0
115,-17.595276672904482,13.0,7.0
116,-19.035753364271333,13.0,8.0
117,-19.79593330675926,13.0,9.0
118,-10.891133265893052,14.0,1.0
119,-11.393169355950375,14.0,2.0
120,-12.344310318077728,14.0,3.0
121,-13.760945047817222,14.0,4.0
122,-15.047580804790762,14.0,5.0
123,-16.277480489438222,14.0,6.0
124,-17.62936148581012,14.0,7.0
125,-19.00367650701696,14.0,8.0
126,-19.747360541208444,14.0,9.0
127,-10.891133265893052,15.0,1.0
128,-11.4141576201072,15.0,2.0
129,-12.540092908308402,15.0,3.0
130,-13.512940088377542,15.0,4.0
131,-15.22548442825947,15.0,5.0
132,-16.36595498040027,15.0,6.0
133,-18.08067801062088,15.0,7.0
134,-19.290770314174104,15.0,8.0
135,-19.908761934958623,15.0,9.0
136,-10.891133265893052,16.0,1.0
137,-11.4141576201072,16.0,2.0
138,-12.540092908308404,16.0,3.0
139,-13.512940088377542,16.0,4.0
140,-15.225484428259463,16.0,5.0
141,-16.365954980400268,16.0,6.0
142,-18.080678010620872,16.0,7.0
143,-19.290770314174104,16.0,8.0
144,-19.90876193495862,16.0,9.0
145,-10.891133265893052,17.0,1.0
146,-11.4141576201072,17.0,2.0
147,-12.645940889304983,17.0,3.0
148,-13.622216856269475,17.0,4.0
149,-15.362024811432441,17.0,5.0
150,-16.505249037424836,17.0,6.0
151,-18.220563413174066,17.0,7.0
152,-19.43250524864685,17.0,8.0
153,-20.047413470065994,17.0,9.0
154,-10.891133265893052,18.0,1.0
155,-11.4141576201072,18.0,2.0
156,-12.745956711033486,18.0,3.0
157,-13.733205747092262,18.0,4.0
158,-15.505617526541535,18.0,5.0
159,-16.65576431312443,18.0,6.0
160,-18.282725957557407,18.0,7.0
161,-20.156999004787092,18.0,8.0
162,-20.662542766833624,18.0,9.0
163,-10.912490848206224,19.0,1.0
164,-11.660021500909398,19.0,2.0
165,-13.09702225862936,19.0,3.0
166,-14.377431664119863,19.0,4.0
167,-16.26282108068388,19.0,5.0
168,-18.089928783798843,19.0,6.0
169,-20.00851177931401,19.0,7.0
170,-22.000949523064357,19.0,8.0
171,-22.541996170766218,19.0,9.0
172,-10.912490848206224,20.0,1.0
173,-11.660021500909396,20.0,2.0
174,-13.097022258629362,20.0,3.0
175,-14.377431664119863,20.0,4.0
176,-16.26282108068388,20.0,5.0
177,-18.089928783798843,20.0,6.0
178,-19.59298993695639,20.0,7.0
179,-21.489495432212777,20.0,8.0
180,-21.913950526659374,20.0,9.0
181,-10.912490848206224,21.0,1.0
182,-11.660021500909396,21.0,2.0
183,-13.097022258629364,21.0,3.0
184,-14.377431664119868,21.0,4.0
185,-16.26282108068388,21.0,5.0
186,-17.726742441757025,21.0,6.0
187,-19.406468745064952,21.0,7.0
188,-21.39146976510885,21.0,8.0
189,-21.820267841797573,21.0,9.0
190,-10.912490848206224,22.0,1.0
191,-11.660021500909398,22.0,2.0
192,-13.097022258629364,22.0,3.0
193,-14.377431664119868,22.0,4.0
194,-16.26282108068388,22.0,5.0
195,-17.726742441757033,22.0,6.0
196,-19.406468745064952,22.0,7.0
197,-21.391469765108855,22.0,8.0
198,-21.820267841797577,22.0,9.0
199,-10.912490848206224,23.0,1.0
200,-11.660021500909398,23.0,2.0
201,-13.09702225862936,23.0,3.0
202,-14.377431664119863,23.0,4.0
203,-16.26282108068388,23.0,5.0
204,-17.726742441757033,23.0,6.0
205,-19.40646874506495,23.0,7.0
206,-21.391469765108848,23.0,8.0
207,-21.82026784179758,23.0,9.0
208,-10.912490848206224,24.0,1.0
209,-11.660021500909398,24.0,2.0
210,-13.097022258629359,24.0,3.0
211,-14.377431664119861,24.0,4.0
212,-16.262821080683878,24.0,5.0
213,-17.726742441757033,24.0,6.0
214,-19.3254867450519,24.0,7.0
215,-21.219444010097114,24.0,8.0
216,-21.644358321390303,24.0,9.0
217,-10.912490848206224,25.0,1.0
218,-11.745337422992135,25.0,2.0
219,-13.19311875275786,25.0,3.0
220,-14.593908825308898,25.0,4.0
221,-16.431490622476826,25.0,5.0
222,-18.021212272842444,25.0,6.0
223,-20.047165660698358,25.0,7.0
224,-21.78869471259949,25.0,8.0
225,-22.15328920899317,25.0,9.0
226,-10.912490848206224,26.0,1.0
227,-11.745337422992135,26.0,2.0
228,-13.193118752757856,26.0,3.0
229,-14.593908825308898,26.0,4.0
230,-16.431490622476826,26.0,5.0
231,-18.021212272842444,26.0,6.0
232,-20.047165660698354,26.0,7.0
233,-21.65102970498139,26.0,8.0
234,-22.025251639157016,26.0,9.0
235,-10.912490848206224,27.0,1.0
236,-11.745337422992135,27.0,2.0
237,-13.155970788598705,27.0,3.0
238,-14.536337573730112,27.0,4.0
239,-16.061012577212363,27.0,5.0
240,-17.914721186842357,27.0,6.0
241,-19.5124593427539,27.0,7.0
