,score,i,j
0,0.0,0.0,0.0
1,0.08295926146994448,1.0,1.0
2,0.21645482265147176,1.0,2.0
3,0.3068160642362183,1.0,3.0
4,0.3832264917505559,1.0,4.0
5,0.4372197204474685,1.0,5.0
6,0.4798759293184499,1.0,6.0
7,0.5149575075476922,1.0,7.0
8,0.5300776991092233,1.0,8.0
9,0.5442489181431412,1.0,9.0
10,0.07967627001104882,2.0,1.0
11,0.21350699350271618,2.0,2.0
12,0.30652935509173596,2.0,3.0
13,0.38220424189375046,2.0,4.0
14,0.4330235824689561,2.0,5.0
15,0.4797142842463661,2.0,6.0
16,0.5115341911819395,2.0,7.0
17,0.5316366712468635,2.0,8.0
18,0.5494351540379208,2.0,9.0
19,0.07967627001104882,3.0,1.0
20,0.21350699350271618,3.0,2.0
21,0.30652935509173607,3.0,3.0
22,0.38029580105453675,3.0,4.0
23,0.4333776057578824,3.0,5.0
24,0.4761681205961831,3.0,6.0
25,0.5135391067021324,3.0,7.0
26,0.5307919252980249,3.0,8.0
27,0.5476777686272518,3.0,9.0
28,0.07967627001104904,4.0,1.0
29,0.21099778531650693,4.0,2.0
30,0.30652935509173584,4.0,3.0
31,0.3806705386634812,4.0,4.0
32,0.4348045156465149,4.0,5.0
33,0.4761681205961834,4.0,6.0
34,0.5133631102433751,4.0,7.0
35,0.5318373699762851,4.0,8.0
36,0.5493042696853063,4.0,9.0
37,0.07967627001104882,5.0,1.0
38,0.21087859945421084,5.0,2.0
39,0.3040729774227676,5.0,3.0
40,0.37816162631215067,5.0,4.0
41,0.430986661422446,5.0,5.0
42,0.4763855781228866,5.0,6.0
43,0.5100677927521584,5.0,7.0
44,0.5289613337485308,5.0,8.0
45,0.5505473306301546,5.0,9.0
46,0.07967627001104904,6.0,1.0
47,0.2104456128368425,6.0,2.0
48,0.30377501816931374,6.0,3.0
49,0.3784870378445425,6.0,4.0
50,0.43148920568553817,6.0,5.0
51,0.4768216609936662,6.0,6.0
52,0.5110101093415573,6.0,7.0
53,0.5297214329033089,6.0,8.0
54,0.5512390313940884,6.0,9.0
55,0.07967627001104882,7.0,1.0
56,0.2091933619064068,7.0,2.0
57,0.3027412298201695,7.0,3.0
58,0.37642780322339653,7.0,4.0
59,0.4297121258202823,7.0,5.0
60,0.47784437688997283,7.0,6.0
61,0.5086809904308847,7.0,7.0
62,0.527491947946011,7.0,8.0
63,0.5493406704267847,7.0,9.0
64,0.07967627001104882,8.0,1.0
65,0.2091933619064068,8.0,2.0
66,0.30274122982016927,8.0,3.0
67,0.37642780322339653,8.0,4.0
68,0.4297121258202823,8.0,5.0
69,0.4778443768899726,8.0,6.0
