,score,i,j
0,0.0,0.0,0.0
1,0.16066733388583354,1.0,1.0
2,0.28964796680316474,1.0,2.0
3,0.393855547192837,1.0,3.0
4,0.479291262774586,1.0,4.0
5,0.5440290396048193,1.0,5.0
6,0.5980462908790956,1.0,6.0
7,0.6413363904623799,1.0,7.0
8,0.6748826322323663,1.0,8.0
9,0.701129458414581,1.0,9.0
10,0.16066733388583354,2.0,1.0
11,0.28964796680316474,2.0,2.0
12,0.3938555471928369,2.0,3.0
13,0.4792912627745861,2.0,4.0
14,0.5440290396048191,2.0,5.0
15,0.5980462908790956,2.0,6.0
16,0.6413363904623799,2.0,7.0
17,0.6748826322323663,2.0,8.0
18,0.7011294584145811,2.0,9.0
19,0.16066733388583376,3.0,1.0
20,0.28964796680316474,3.0,2.0
21,0.3938555471928371,3.0,3.0
22,0.479291262774586,3.0,4.0
23,0.5440290396048193,3.0,5.0
24,0.5980462908790958,3.0,6.0
25,0.6413363904623801,3.0,7.0
26,0.6748826322323663,3.0,8.0
27,0.7011294584145809,3.0,9.0
28,0.16066733388583376,4.0,1.0
29,0.2896479668031645,4.0,2.0
30,0.3938555471928369,4.0,3.0
31,0.479291262774586,4.0,4.0
32,0.5440290396048193,4.0,5.0
33,0.5980462908790956,4.0,6.0
34,0.6413363904623801,4.0,7.0
35,0.6748826322323663,4.0,8.0
36,0.7011294584145809,4.0,9.0
37,0.16066733388583354,5.0,1.0
38,0.28964796680316474,5.0,2.0
39,0.3938555471928369,5.0,3.0
40,0.47929126277458634,5.0,4.0
41,0.5440290396048193,5.0,5.0
42,0.5980462908790958,5.0,6.0
43,0.6413363904623801,5.0,7.0
44,0.6748826322323662,5.0,8.0
45,0.701129458414581,5.0,9.0
46,0.16066733388583376,6.0,1.0
47,0.2896479668031645,6.0,2.0
48,0.3938555471928369,6.0,3.0
49,0.4792912627745861,6.0,4.0
50,0.5440290396048193,6.0,5.0
51,0.5980462908790959,6.0,6.0
52,0.64133639046238,6.0,7.0
53,0.6748826322323664,6.0,8.0
54,0.7011294584145811,6.0,9.0
55,0.16066733388583354,7.0,1.0
56,0.2896479668031645,7.0,2.0
57,0.3938555471928371,7.0,3.0
58,0.479291262774586,7.0,4.0
59,0.5440290396048193,7.0,5.0
60,0.5980462908790958,7.0,6.0
61,0.6413363904623801,7.0,7.0
62,0.6748826322323663,7.0,8.0
63,0.701129458414581,7.0,9.0
64,0.16066733388583376,8.0,1.0
65,0.2896479668031645,8.0,2.0
66,0.39385554719283666,8.0,3.0
67,0.4792912627745858,8.0,4.0
68,0.5440290396048193,8.0,5.0
69,0.5980462908790953,8.0,6.0
70,0.6413363904623801,8.0,7.0
71,0.6748826322323662,8.0,8.0
72,0.701129458414581,8.0,9.0
73,0.16066733388583354,9.0,1.0
74,0.2896479668031645,9.0,2.0
75,0.3938555471928371,9.0,3.0
76,0.479291262774586,9.0,4.0
77,0.5440290396048193,9.0,5.0
78,0.5980462908790958,9.0,6.0
79,0.6413363904623801,9.0,7.0
80,0.6748826322323663,9.0,8.0
81,0.7011294584145811,9.0,9.0
82,0.16066733388583354,10.0,1.0
83,0.2896479668031646,10.0,2.0
84,0.3938555471928371,10.0,3.0
85,0.4792912627745862,10.0,4.0
86,0.5440290396048195,10.0,5.0
87,0.5980462908790956,10.0,6.0
88,0.6413363904623802,10.0,7.0
89,0.6748826322323662,10.0,8.0
90,0.701129458414581,10.0,9.0
91,0.16066733388583376,11.0,1.0
92,0.28964796680316474,11.0,2.0
93,0.3938555471928369,11.0,3.0
94,0.4792912627745859,11.0,4.0
95,0.5440290396048192,11.0,5.0
96,0.5980462908790958,11.0,6.0
97,0.6413363904623799,11.0,7.0
98,0.6748826322323663,11.0,8.0
99,0.7011294584145811,11.0,9.0
100,0.16066733388583376,12.0,1.0
101,0.2896479668031645,12.0,2.0
102,0.3938555471928371,12.0,3.0
103,0.4792912627745861,12.0,4.0
104,0.5440290396048193,12.0,5.0
105,0.5980462908790958,12.0,6.0
106,0.6413363904623801,12.0,7.0
107,0.6748826322323664,12.0,8.0
108,0.7011294584145811,12.0,9.0
109,0.16066733388583354,13.0,1.0
110,0.2896479668031645,13.0,2.0
111,0.3938555471928371,13.0,3.0
112,0.47929126277458634,13.0,4.0
113,0.5440290396048192,13.0,5.0
114,0.5980462908790958,13.0,6.0
115,0.6413363904623801,13.0,7.0
116,0.6748826322323662,13.0,8.0
117,0.7011294584145811,13.0,9.0
118,0.16066733388583354,14.0,1.0
119,0.28964796680316474,14.0,2.0
120,0.3938555471928371,14.0,3.0
121,0.479291262774586,14.0,4.0
122,0.5440290396048192,14.0,5.0
123,0.5980462908790958,14.0,6.0
124,0.6413363904623801,14.0,7.0
125,0.6748826322323662,14.0,8.0
126,0.7011294584145811,14.0,9.0
127,0.16066733388583354,15.0,1.0
128,0.28964796680316474,15.0,2.0
129,0.3938555471928371,15.0,3.0
130,0.479291262774586,15.0,4.0
131,0.5440290396048193,15.0,5.0
132,0.598046290879096,15.0,6.0
