,score,i,j
0,0.0,0.0,0.0
1,-0.0071547963107818635,1.0,1.0
2,0.00571649388949802,1.0,2.0
3,0.012170066059229767,1.0,3.0
4,0.02772474442763162,1.0,4.0
5,0.03844190526941027,1.0,5.0
6,0.08104939572437209,1.0,6.0
7,0.09017403452230022,1.0,7.0
8,0.08839954608755873,1.0,8.0
9,0.08966025253763221,1.0,9.0
10,-0.0071547963107816415,2.0,1.0
11,0.00571649388949802,2.0,2.0
12,0.01217006605922999,2.0,3.0
13,0.02772474442763162,2.0,4.0
14,0.03844190526941005,2.0,5.0
15,0.08104939572437209,2.0,6.0
16,0.09017403452230022,2.0,7.0
17,0.08839954608755873,2.0,8.0
18,0.08966025253763199,2.0,9.0
19,-0.0071547963107818635,3.0,1.0
20,0.00571649388949802,3.0,2.0
21,0.012170066059229767,3.0,3.0
22,0.02772474442763162,3.0,4.0
23,0.03844190526941005,3.0,5.0
24,0.08104939572437209,3.0,6.0
25,0.0901740345223,3.0,7.0
26,0.08839954608755873,3.0,8.0
27,0.08966025253763221,3.0,9.0
28,-0.0071547963107820856,4.0,1.0
29,0.00571649388949802,4.0,2.0
30,0.01217006605922999,4.0,3.0
31,0.027724744427631842,4.0,4.0
32,0.03844190526941027,4.0,5.0
33,0.08104939572437209,4.0,6.0
34,0.0901740345223,4.0,7.0
35,0.08839954608755873,4.0,8.0
36,0.08966025253763221,4.0,9.0
37,-0.0071547963107816415,5.0,1.0
38,0.00571649388949802,5.0,2.0
39,0.012170066059229767,5.0,3.0
40,0.027724744427631842,5.0,4.0
41,0.03844190526941027,5.0,5.0
42,0.08104939572437209,5.0,6.0
43,0.09017403452230022,5.0,7.0
44,0.08839954608755873,5.0,8.0
45,0.08966025253763221,5.0,9.0
46,-0.0071547963107818635,6.0,1.0
47,0.00571649388949802,6.0,2.0
48,0.01217006605922999,6.0,3.0
49,0.027724744427631842,6.0,4.0
50,0.03844190526941049,6.0,5.0
51,0.08104939572437209,6.0,6.0
52,0.0901740345223,6.0,7.0
53,0.08839954608755873,6.0,8.0
54,0.08966025253763199,6.0,9.0
55,-0.0071547963107820856,7.0,1.0
56,0.005716493889498131,7.0,2.0
57,0.012170066059229767,7.0,3.0
58,0.02772474442763162,7.0,4.0
59,0.03844190526941027,7.0,5.0
60,0.08104939572437209,7.0,6.0
61,0.09017403452230022,7.0,7.0
62,0.08839954608755873,7.0,8.0
63,0.08966025253763199,7.0,9.0
64,-0.0071547963107816415,8.0,1.0
65,0.005716493889498131,8.0,2.0
66,0.012170066059229545,8.0,3.0
67,0.02772474442763162,8.0,4.0
68,0.07689646869755884,8.0,5.0
69,0.09401417823605485,8.0,6.0
70,0.13162828533438997,8.0,7.0
71,0.12933959686165153,8.0,8.0
72,0.13035753493414892,8.0,9.0
73,-0.0071547963107816415,9.0,1.0
74,0.00571649388949802,9.0,2.0
75,0.012170066059229767,9.0,3.0
76,0.02772474442763162,9.0,4.0
77,0.07689646869755884,9.0,5.0
78,0.11581082264607878,9.0,6.0
79,0.1512866270776525,9.0,7.0
80,0.14875416408065412,9.0,8.0
81,0.1496546969250654,9.0,9.0
82,-0.0071547963107816415,10.0,1.0
83,0.00571649388949802,10.0,2.0
84,0.012170066059229767,10.0,3.0
85,0.02772474442763162,10.0,4.0
86,0.07689646869755884,10.0,5.0
87,0.115810822646079,10.0,6.0
88,0.15131693336245344,10.0,7.0
89,0.14877246221749896,10.0,8.0
90,0.14966947087717442,10.0,9.0
91,-0.0071547963107818635,11.0,1.0
92,0.00571649388949802,11.0,2.0
93,0.01217006605922999,11.0,3.0
94,0.02772474442763162,11.0,4.0
95,0.07689646869755884,11.0,5.0
96,0.11581082264607911,11.0,6.0
97,0.15131693336245344,11.0,7.0
98,0.14877246221749907,11.0,8.0
99,0.14966947087717453,11.0,9.0
100,-0.0071547963107818635,12.0,1.0
101,0.005716493889497798,12.0,2.0
102,0.012170066059229767,12.0,3.0
103,0.02772474442763162,12.0,4.0
104,0.07689646869755884,12.0,5.0
105,0.11581082264607889,12.0,6.0
106,0.15131693336245355,12.0,7.0
107,0.14877246221749907,12.0,8.0
108,0.1496694708771742,12.0,9.0
109,-0.0071547963107816415,13.0,1.0
110,0.005716493889497798,13.0,2.0
111,0.01217006605922999,13.0,3.0
112,0.027724744427631842,13.0,4.0
113,0.07496841132480037,13.0,5.0
114,0.11245670905554006,13.0,6.0
115,0.1331957749765742,13.0,7.0
116,0.1307598161033915,13.0,8.0
117,0.13173284212474246,13.0,9.0
118,-0.0071547963107818635,14.0,1.0
119,0.00571649388949802,14.0,2.0
120,0.012170066059229767,14.0,3.0
121,0.02772474442763162,14.0,4.0
122,0.07146689642714754,14.0,5.0
123,0.10630064941710093,14.0,6.0
124,0.12712931646597492,14.0,7.0
125,0.12474518454586914,14.0,8.0
126,0.12574765588746928,14.0,9.0
127,-0.0071547963107818635,15.0,1.0
128,0.00571649388949802,15.0,2.0
129,0.012170066059229767,15.0,3.0
130,0.02772474442763162,15.0,4.0
131,0.07146689642714754,15.0,5.0
132,0.10630064941710093,15.0,6.0
133,0.1271293164659747,15.0,7.0
134,0.12474518454586914,15.0,8.0
135,0.12574765588746917,15.0,9.0
136,-0.0071547963107818635,16.0,1.0
137,0.00571649388949802,16.0,2.0
138,0.012170066059229767,16.0,3.0
139,0.027724744427631842,16.0,4.0
140,0.07146689642714754,16.0,5.0
141,0.10630064941710105,16.0,6.0
142,0.12712931646597492,16.0,7.0
143,0.12474518454586925,16.0,8.0
144,0.12574765588746928,16.0,9.0
145,-0.0071547963107816415,17.0,1.0
146,0.00571649388949802,17.0,2.0
147,0.012170066059229545,17.0,3.0
148,0.02772474442763162,17.0,4.0
149,0.0699886199438915,17.0,5.0
150,0.10367147537628052,17.0,6.0
151,0.10620642897483823,17.0,7.0
152,0.12757669986321107,17.0,8.0
153,0.14464487659395042,17.0,9.0
154,-0.0071547963107818635,18.0,1.0
