,score,i,j
0,0.0,0.0,0.0
1,0.05910004897523835,1.0,1.0
2,0.14748394011783184,1.0,2.0
3,0.218247673764408,1.0,3.0
4,0.27535244572585393,1.0,4.0
5,0.31971304408007883,1.0,5.0
6,0.3553878783836425,1.0,6.0
7,0.3853449400672033,1.0,7.0
8,0.40657231122882254,1.0,8.0
9,0.42579544328056185,1.0,9.0
10,0.05910004897523824,2.0,1.0
11,0.1474839401178314,2.0,2.0
12,0.21824767376440823,2.0,3.0
13,0.27535244572585393,2.0,4.0
14,0.3197130440800786,2.0,5.0
15,0.3553878783836427,2.0,6.0
16,0.3853449400672033,2.0,7.0
17,0.40657231122882254,2.0,8.0
18,0.42579544328056185,2.0,9.0
19,0.05910004897523835,3.0,1.0
20,0.14748394011783184,3.0,2.0
21,0.2182476737644079,3.0,3.0
22,0.27535244572585393,3.0,4.0
23,0.31971304408007883,3.0,5.0
24,0.3553878783836425,3.0,6.0
25,0.38534494006720343,3.0,7.0
26,0.40657231122882265,3.0,8.0
27,0.42579544328056185,3.0,9.0
28,0.05910004897523835,4.0,1.0
29,0.14748394011783184,4.0,2.0
30,0.218247673764408,4.0,3.0
31,0.2753524457258537,4.0,4.0
32,0.3197130440800786,4.0,5.0
33,0.3553878783836425,4.0,6.0
34,0.38534494006720343,4.0,7.0
35,0.40657231122882265,4.0,8.0
36,0.42579544328056196,4.0,9.0
37,0.05910004897523824,5.0,1.0
38,0.14748394011783184,5.0,2.0
39,0.218247673764408,5.0,3.0
40,0.27535244572585416,5.0,4.0
41,0.3197130440800787,5.0,5.0
42,0.3553878783836427,5.0,6.0
43,0.3853449400672033,5.0,7.0
44,0.40657231122882276,5.0,8.0
45,0.42579544328056196,5.0,9.0
46,0.05910004897523835,6.0,1.0
47,0.14748394011783184,6.0,2.0
48,0.218247673764408,6.0,3.0
49,0.27535244572585416,6.0,4.0
50,0.3197130440800786,6.0,5.0
51,0.3553878783836427,6.0,6.0
52,0.3853449400672033,6.0,7.0
53,0.4065723112288224,6.0,8.0
54,0.42579544328056185,6.0,9.0
55,0.05910004897523824,7.0,1.0
56,0.14748394011783184,7.0,2.0
57,0.21824767376440835,7.0,3.0
58,0.27535244572585404,7.0,4.0
59,0.3197130440800786,7.0,5.0
60,0.3553878783836427,7.0,6.0
61,0.3853449400672032,7.0,7.0
62,0.40657231122882254,7.0,8.0
63,0.42579544328056196,7.0,9.0
64,0.05910004897523824,8.0,1.0
65,0.14748394011783184,8.0,2.0
66,0.218247673764408,8.0,3.0
67,0.27535244572585393,8.0,4.0
68,0.31971304408007895,8.0,5.0
69,0.3553878783836425,8.0,6.0
70,0.3853449400672032,8.0,7.0
71,0.40657231122882265,8.0,8.0
72,0.42579544328056196,8.0,9.0
73,0.05910004897523835,9.0,1.0
74,0.14748394011783184,9.0,2.0
75,0.218247673764408,9.0,3.0
76,0.27535244572585404,9.0,4.0
77,0.3197130440800786,9.0,5.0
78,0.35538787838364283,9.0,6.0
79,0.3853449400672033,9.0,7.0
80,0.4065723112288224,9.0,8.0
81,0.42579544328056185,9.0,9.0
82,0.05910004897523835,10.0,1.0
83,0.14748394011783184,10.0,2.0
84,0.218247673764408,10.0,3.0
85,0.2752577590996631,10.0,4.0
86,0.31963156074259025,10.0,5.0
87,0.3553374222379716,10.0,6.0
88,0.3853077551033408,10.0,7.0
89,0.4065778372718739,10.0,8.0
90,0.42582715284134276,10.0,9.0
91,0.05910004897523835,11.0,1.0
92,0.14734899773413046,11.0,2.0
93,0.21812636186462098,11.0,3.0
94,0.2750937154716864,11.0,4.0
95,0.31948854911566793,11.0,5.0
96,0.3552113539738194,11.0,6.0
97,0.3852083845751547,11.0,7.0
98,0.40654296716071014,11.0,8.0
99,0.42581358684147497,11.0,9.0
100,0.05910004897523824,12.0,1.0
101,0.14724083666543353,12.0,2.0
102,0.21803763301432755,12.0,3.0
103,0.2750015045631795,12.0,4.0
104,0.31942628566009157,12.0,5.0
105,0.35521251370650875,12.0,6.0
106,0.38524772126114837,12.0,7.0
107,0.40666857222234776,12.0,8.0
108,0.4259688327226131,12.0,9.0
109,0.05910004897523824,13.0,1.0
110,0.14580066886046705,13.0,2.0
111,0.21788156742642506,13.0,3.0
112,0.2745466760630765,13.0,4.0
113,0.3193709145879424,13.0,5.0
114,0.3552256478927319,13.0,6.0
115,0.3853112969357647,13.0,7.0
116,0.40685993244794094,13.0,8.0
117,0.4262041964719443,13.0,9.0
118,0.05910004897523835,14.0,1.0
119,0.14580066886046705,14.0,2.0
120,0.21784921105683808,14.0,3.0
121,0.27452891071370455,14.0,4.0
122,0.3193936073586583,14.0,5.0
123,0.35534856247188484,14.0,6.0
124,0.38585072863349634,14.0,7.0
125,0.4082457599320356,14.0,8.0
126,0.4264394902786124,14.0,9.0
127,0.05910004897523835,15.0,1.0
128,0.14580066886046705,15.0,2.0
129,0.21775829688664572,15.0,3.0
130,0.2744653865955933,15.0,4.0
131,0.31915174058854356,15.0,5.0
132,0.355584219540211,15.0,6.0
133,0.3859410417853183,15.0,7.0
134,0.4091411299610763,15.0,8.0
135,0.4277073569887403,15.0,9.0
136,0.05910004897523835,16.0,1.0
137,0.14580066886046705,16.0,2.0
138,0.2167848082116247,16.0,3.0
139,0.27433488672388473,16.0,4.0
140,0.3190367952755565,16.0,5.0
141,0.3554989988766245,16.0,6.0
142,0.38587709164115414,16.0,7.0
