,score,i,j
0,0.0,0.0,0.0
1,0.0714901675984797,1.0,1.0
2,0.13328022250773863,1.0,2.0
3,0.18645529384325354,1.0,3.0
4,0.22438769390819002,1.0,4.0
5,0.2580653236074196,1.0,5.0
6,0.28047157154357094,1.0,6.0
7,0.3080578177883483,1.0,7.0
8,0.31997641359418605,1.0,8.0
9,0.33219933122291856,1.0,9.0
10,0.0714901675984797,2.0,1.0
11,0.13328022250773863,2.0,2.0
12,0.18645529384325354,2.0,3.0
13,0.22438769390819002,2.0,4.0
14,0.2580653236074195,2.0,5.0
15,0.28047157154357094,2.0,6.0
16,0.3080578177883483,2.0,7.0
17,0.3199764135941858,2.0,8.0
18,0.33219933122291856,2.0,9.0
19,0.0714901675984797,3.0,1.0
20,0.13328022250773863,3.0,2.0
21,0.18645529384325343,3.0,3.0
22,0.22438769390819002,3.0,4.0
23,0.2580653236074195,3.0,5.0
24,0.28047157154357094,3.0,6.0
25,0.3080578177883483,3.0,7.0
26,0.31997641359418605,3.0,8.0
27,0.33219933122291856,3.0,9.0
28,0.0714901675984797,4.0,1.0
29,0.13328022250773863,4.0,2.0
30,0.18645529384325343,4.0,3.0
31,0.22438769390819002,4.0,4.0
32,0.2580653236074194,4.0,5.0
33,0.28047157154357094,4.0,6.0
34,0.3080578177883483,4.0,7.0
35,0.3199764135941858,4.0,8.0
36,0.33219933122291856,4.0,9.0
37,0.0714901675984797,5.0,1.0
38,0.13328022250773874,5.0,2.0
39,0.18645529384325343,5.0,3.0
40,0.22438769390819002,5.0,4.0
41,0.2580653236074196,5.0,5.0
42,0.28047157154357083,5.0,6.0
43,0.3080578177883483,5.0,7.0
44,0.3199764135941858,5.0,8.0
45,0.33219933122291856,5.0,9.0
46,0.0714901675984797,6.0,1.0
47,0.13328022250773863,6.0,2.0
48,0.18645529384325354,6.0,3.0
49,0.22438769390819002,6.0,4.0
50,0.2580653236074196,6.0,5.0
51,0.28047157154357083,6.0,6.0
52,0.3080578177883483,6.0,7.0
53,0.3199764135941858,6.0,8.0
54,0.33219933122291867,6.0,9.0
55,0.0714901675984797,7.0,1.0
56,0.1332802225077384,7.0,2.0
57,0.18645529384325354,7.0,3.0
58,0.22438769390819013,7.0,4.0
59,0.25806532360741985,7.0,5.0
60,0.28047157154357094,7.0,6.0
61,0.30454765795590455,7.0,7.0
62,0.3237397236273759,7.0,8.0
63,0.3333003524577489,7.0,9.0
64,0.0714901675984797,8.0,1.0
65,0.1332802225077384,8.0,2.0
66,0.18645529384325354,8.0,3.0
67,0.22438769390819002,8.0,4.0
68,0.25806532360741996,8.0,5.0
69,0.28047157154357094,8.0,6.0
70,0.30454765795590466,8.0,7.0
71,0.3237397236273757,8.0,8.0
72,0.3333003524577489,8.0,9.0
73,0.0714901675984797,9.0,1.0
74,0.13328022250773874,9.0,2.0
75,0.18645529384325354,9.0,3.0
76,0.22438769390819013,9.0,4.0
77,0.2580653236074196,9.0,5.0
78,0.28047157154357094,9.0,6.0
79,0.30454765795590466,9.0,7.0
80,0.3237397236273759,9.0,8.0
81,0.3333003524577489,9.0,9.0
82,0.0714901675984797,10.0,1.0
83,0.13328022250773863,10.0,2.0
84,0.18645529384325377,10.0,3.0
85,0.22438769390819002,10.0,4.0
86,0.2580653236074196,10.0,5.0
87,0.28047157154357094,10.0,6.0
88,0.3051216203095861,10.0,7.0
89,0.3171734098721717,10.0,8.0
90,0.3281173110474105,10.0,9.0
91,0.0714901675984797,11.0,1.0
92,0.13328022250773863,11.0,2.0
93,0.18645529384325343,11.0,3.0
94,0.22438769390819013,11.0,4.0
95,0.2580653236074196,11.0,5.0
96,0.28047157154357094,11.0,6.0
97,0.305121620309586,11.0,7.0
98,0.319796577461261,11.0,8.0
99,0.3307672576401304,11.0,9.0
100,0.0714901675984797,12.0,1.0
101,0.13328022250773874,12.0,2.0
102,0.18645529384325343,12.0,3.0
103,0.22438769390819002,12.0,4.0
104,0.2580653236074196,12.0,5.0
105,0.28047157154357094,12.0,6.0
106,0.305121620309586,12.0,7.0
107,0.3197965774612609,12.0,8.0
108,0.3307672576401304,12.0,9.0
109,0.0714901675984797,13.0,1.0
110,0.13328022250773863,13.0,2.0
111,0.18645529384325354,13.0,3.0
112,0.22438769390819002,13.0,4.0
113,0.2580653236074196,13.0,5.0
114,0.28047157154357094,13.0,6.0
115,0.305121620309586,13.0,7.0
116,0.319796577461261,13.0,8.0
117,0.3307672576401304,13.0,9.0
118,0.0714901675984797,14.0,1.0
119,0.13328022250773863,14.0,2.0
120,0.18645529384325354,14.0,3.0
121,0.22438769390819013,14.0,4.0
122,0.2580653236074196,14.0,5.0
123,0.28047157154357083,14.0,6.0
124,0.3051216203095859,14.0,7.0
125,0.3197965774612609,14.0,8.0
126,0.3307672576401304,14.0,9.0
127,0.0714901675984797,15.0,1.0
128,0.13328022250773863,15.0,2.0
129,0.18645529384325343,15.0,3.0
130,0.22438769390819002,15.0,4.0
131,0.2580653236074196,15.0,5.0
132,0.28047157154357094,15.0,6.0
133,0.3051216203095859,15.0,7.0
134,0.3197965774612609,15.0,8.0
135,0.3307672576401304,15.0,9.0
136,0.0714901675984797,16.0,1.0
137,0.13328022250773863,16.0,2.0
138,0.18645529384325343,16.0,3.0
139,0.22438769390819002,16.0,4.0
140,0.2580653236074196,16.0,5.0
141,0.28047157154357094,16.0,6.0
142,0.3051216203095859,16.0,7.0
143,0.3197965774612609,16.0,8.0
144,0.3307672576401304,16.0,9.0
145,0.0714901675984797,17.0,1.0
146,0.13328022250773874,17.0,2.0
147,0.18645529384325343,17.0,3.0
148,0.22438769390819002,17.0,4.0
149,0.2580653236074195,17.0,5.0
150,0.2816006372358998,17.0,6.0
151,0.3060034929648623,17.0,7.0
152,0.3197000778399358,17.0,8.0
153,0.3313962028637809,17.0,9.0
154,0.0714901675984797,18.0,1.0
155,0.13328022250773863,18.0,2.0
156,0.18645529384325343,18.0,3.0
157,0.22438769390819013,18.0,4.0
158,0.2580653236074195,18.0,5.0
159,0.2816006372358999,18.0,6.0
160,0.3060034929648624,18.0,7.0
161,0.3197000778399356,18.0,8.0
162,0.3313962028637809,18.0,9.0
163,0.0714901675984797,19.0,1.0
164,0.13328022250773863,19.0,2.0
165,0.18645529384325354,19.0,3.0
166,0.22438769390819013,19.0,4.0
167,0.2580653236074195,19.0,5.0
168,0.2816006372358998,19.0,6.0
169,0.3060034929648623,19.0,7.0
170,0.3197000778399358,19.0,8.0
171,0.3313962028637809,19.0,9.0
172,0.0714901675984797,20.0,1.0
173,0.13328022250773863,20.0,2.0
174,0.18645529384325343,20.0,3.0
175,0.22438769390819002,20.0,4.0
176,0.25806532360741985,20.0,5.0
177,0.2816006372358998,20.0,6.0
178,0.3060034929648623,20.0,7.0
179,0.3197000778399356,20.0,8.0
180,0.3313962028637809,20.0,9.0
181,0.0714901675984797,21.0,1.0
182,0.13328022250773863,21.0,2.0
183,0.18645529384325343,21.0,3.0
