,score,i,j
0,0.0,0.0,0.0
1,-0.17775165383936709,30.0,11.0
2,-0.17271012612180137,35.0,12.0
3,-0.16979969834818398,40.0,13.0
4,-0.16416697400235636,45.0,14.0
5,-0.16074922317987883,50.0,15.0
6,-0.15755139397362283,55.0,16.0
7,-0.15153233823066725,60.0,17.0
8,-0.14615120407587057,65.0,18.0
9,-0.1445665353620864,70.0,19.0
10,-0.14161315516944928,75.0,20.0
11,-0.1406182245916343,80.0,21.0
12,-0.13807201354955523,85.0,22.0
13,-0.13483574387533537,90.0,23.0
14,-0.1337433314840868,95.0,24.0
15,-0.13077711833540273,100.0,25.0
16,-0.1302870933229785,105.0,26.0
17,-0.1315509354157005,110.0,27.0
18,-0.12955304912861698,115.0,28.0
19,-0.12636016753513557,120.0,29.0
20,-0.17775165383936709,31.0,11.0
21,-0.17271012612180137,36.0,12.0
22,-0.16979969834818398,41.0,13.0
23,-0.16416697400235636,46.0,14.0
24,-0.16074922317987883,51.0,15.0
25,-0.15755139397362283,56.0,16.0
26,-0.15153233823066725,61.0,17.0
27,-0.14615120407587057,66.0,18.0
28,-0.1445665353620864,71.0,19.0
29,-0.14161315516944928,76.0,20.0
30,-0.1406182245916343,81.0,21.0
31,-0.13807201354955523,86.0,22.0
32,-0.13483574387533537,91.0,23.0
33,-0.1337433314840868,96.0,24.0
34,-0.13077711833540273,101.0,25.0
35,-0.1302870933229785,106.0,26.0
36,-0.1315509354157005,111.0,27.0
37,-0.12955304912861698,116.0,28.0
38,-0.12636016753513557,121.0,29.0
39,-0.17775165383936709,32.0,11.0
40,-0.17271012612180137,37.0,12.0
41,-0.16979969834818398,42.0,13.0
42,-0.16416697400235636,47.0,14.0
43,-0.16074922317987883,52.0,15.0
44,-0.15755139397362283,57.0,16.0
45,-0.15153233823066725,62.0,17.0
46,-0.14615120407587057,67.0,18.0
47,-0.1445665353620864,72.0,19.0
48,-0.14161315516944928,77.0,20.0
49,-0.1406182245916343,82.0,21.0
50,-0.13807201354955523,87.0,22.0
51,-0.13483574387533537,92.0,23.0
52,-0.1337433314840868,97.0,24.0
53,-0.13077711833540273,102.0,25.0
54,-0.1302870933229785,107.0,26.0
55,-0.1315509354157005,112.0,27.0
56,-0.12955304912861698,117.0,28.0
57,-0.12636016753513557,122.0,29.0
58,-0.17775165383936709,33.0,11.0
59,-0.17271012612180137,38.0,12.0
60,-0.16979969834818398,43.0,13.0
61,-0.16416697400235636,48.0,14.0
62,-0.16074922317987883,53.0,15.0
63,-0.15755139397362283,58.0,16.0
64,-0.15153233823066725,63.0,17.0
65,-0.14615120407587057,68.0,18.0
66,-0.1445665353620864,73.0,19.0
67,-0.14161315516944928,78.0,20.0
68,-0.1406182245916343,83.0,21.0
69,-0.13807201354955523,88.0,22.0
70,-0.13483574387533537,93.0,23.0
71,-0.1337433314840868,98.0,24.0
72,-0.13077711833540273,103.0,25.0
73,-0.1302870933229785,108.0,26.0
74,-0.1315509354157005,113.0,27.0
75,-0.12955304912861698,118.0,28.0
76,-0.12636016753513557,123.0,29.0
77,-0.17775165383936709,34.0,11.0
78,-0.17271012612180137,39.0,12.0
79,-0.16979969834818398,44.0,13.0
80,-0.16416697400235636,49.0,14.0
81,-0.16074922317987883,54.0,15.0
82,-0.15755139397362283,59.0,16.0
83,-0.15153233823066725,64.0,17.0
84,-0.14615120407587057,69.0,18.0
85,-0.1445665353620864,74.0,19.0
86,-0.14161315516944928,79.0,20.0
87,-0.1406182245916343,84.0,21.0
88,-0.13807201354955523,89.0,22.0
89,-0.13483574387533537,94.0,23.0
90,-0.1337433314840868,99.0,24.0
91,-0.13077711833540273,104.0,25.0
92,-0.1302870933229785,109.0,26.0
93,-0.1315509354157005,114.0,27.0
94,-0.12955304912861698,119.0,28.0
95,-0.12636016753513557,124.0,29.0
96,-0.17775165383936709,35.0,11.0
97,-0.17271012612180137,40.0,12.0
98,-0.16979969834818398,45.0,13.0
99,-0.16416697400235636,50.0,14.0
100,-0.16074922317987883,55.0,15.0
101,-0.15755139397362283,60.0,16.0
102,-0.15153233823066725,65.0,17.0
103,-0.14615120407587057,70.0,18.0
104,-0.1445665353620864,75.0,19.0
105,-0.14161315516944928,80.0,20.0
106,-0.1406182245916343,85.0,21.0
107,-0.13807201354955523,90.0,22.0
108,-0.13483574387533537,95.0,23.0
109,-0.1337433314840868,100.0,24.0
110,-0.13077711833540273,105.0,25.0
111,-0.1302870933229785,110.0,26.0
112,-0.1315509354157005,115.0,27.0
113,-0.12955304912861698,120.0,28.0
114,-0.12636016753513557,125.0,29.0
115,-0.17775165383936709,36.0,11.0
116,-0.17271012612180137,41.0,12.0
117,-0.16979969834818398,46.0,13.0
118,-0.16416697400235636,51.0,14.0
119,-0.16074922317987883,56.0,15.0
120,-0.15755139397362283,61.0,16.0
121,-0.15153233823066725,66.0,17.0
122,-0.14615120407587057,71.0,18.0
123,-0.1445665353620864,76.0,19.0
124,-0.14161315516944928,81.0,20.0
125,-0.1406182245916343,86.0,21.0
126,-0.13807201354955523,91.0,22.0
127,-0.13483574387533537,96.0,23.0
128,-0.1337433314840868,101.0,24.0
129,-0.13077711833540273,106.0,25.0
130,-0.1302870933229785,111.0,26.0
131,-0.1315509354157005,116.0,27.0
132,-0.12955304912861698,121.0,28.0
133,-0.12636016753513557,126.0,29.0
134,-0.17775165383936709,37.0,11.0
135,-0.17271012612180137,42.0,12.0
136,-0.16979969834818398,47.0,13.0
137,-0.16416697400235636,52.0,14.0
138,-0.16074922317987883,57.0,15.0
139,-0.15755139397362283,62.0,16.0
140,-0.15153233823066725,67.0,17.0
141,-0.14615120407587057,72.0,18.0
142,-0.1445665353620864,77.0,19.0
143,-0.14161315516944928,82.0,20.0
144,-0.1406182245916343,87.0,21.0
145,-0.13807201354955523,92.0,22.0
