,score,i,j
0,0.0,0.0,0.0
1,0.3435870212481501,30.0,11.0
2,0.3516934374913476,35.0,12.0
3,0.3550287220559989,40.0,13.0
4,0.35836708581856846,45.0,14.0
5,0.36107292167890204,50.0,15.0
6,0.36804898620402404,55.0,16.0
7,0.3725098312555638,60.0,17.0
8,0.3766029608968954,65.0,18.0
9,0.37825001054449103,70.0,19.0
10,0.3789898476239828,75.0,20.0
11,0.3814939424420468,80.0,21.0
12,0.38724562233955473,85.0,22.0
13,0.3889901737158957,90.0,23.0
14,0.39073117881275066,95.0,24.0
15,0.3912069834954872,100.0,25.0
16,0.39102973329563784,105.0,26.0
17,0.3917824803262888,110.0,27.0
18,0.39230202164378614,115.0,28.0
19,0.3948565862010791,120.0,29.0
20,0.3435870212481501,31.0,11.0
21,0.3516934374913476,36.0,12.0
22,0.3550287220559989,41.0,13.0
23,0.35836708581856846,46.0,14.0
24,0.36107292167890204,51.0,15.0
25,0.36804898620402404,56.0,16.0
26,0.3725098312555638,61.0,17.0
27,0.3766029608968954,66.0,18.0
28,0.37825001054449103,71.0,19.0
29,0.3789898476239828,76.0,20.0
30,0.3814939424420468,81.0,21.0
31,0.38724562233955473,86.0,22.0
32,0.3889901737158957,91.0,23.0
33,0.39073117881275066,96.0,24.0
34,0.3912069834954872,101.0,25.0
35,0.39102973329563784,106.0,26.0
36,0.3917824803262888,111.0,27.0
37,0.39230202164378614,116.0,28.0
38,0.3948565862010791,121.0,29.0
39,0.3435870212481501,32.0,11.0
40,0.3516934374913476,37.0,12.0
41,0.3550287220559989,42.0,13.0
42,0.35836708581856846,47.0,14.0
43,0.36107292167890204,52.0,15.0
44,0.36804898620402404,57.0,16.0
45,0.3725098312555638,62.0,17.0
46,0.3766029608968954,67.0,18.0
47,0.37825001054449103,72.0,19.0
48,0.3789898476239828,77.0,20.0
49,0.3814939424420468,82.0,21.0
50,0.38724562233955473,87.0,22.0
51,0.3889901737158957,92.0,23.0
52,0.39073117881275066,97.0,24.0
53,0.3912069834954872,102.0,25.0
54,0.39102973329563784,107.0,26.0
55,0.3917824803262888,112.0,27.0
56,0.39230202164378614,117.0,28.0
57,0.3948565862010791,122.0,29.0
58,0.3435870212481501,33.0,11.0
59,0.3516934374913476,38.0,12.0
60,0.3550287220559989,43.0,13.0
61,0.35836708581856846,48.0,14.0
62,0.36107292167890204,53.0,15.0
63,0.36804898620402404,58.0,16.0
64,0.3725098312555638,63.0,17.0
65,0.3766029608968954,68.0,18.0
66,0.37825001054449103,73.0,19.0
67,0.3789898476239828,78.0,20.0
68,0.3814939424420468,83.0,21.0
69,0.38724562233955473,88.0,22.0
70,0.3889901737158957,93.0,23.0
71,0.39073117881275066,98.0,24.0
72,0.3912069834954872,103.0,25.0
73,0.39102973329563784,108.0,26.0
74,0.3917824803262888,113.0,27.0
75,0.39230202164378614,118.0,28.0
76,0.3948565862010791,123.0,29.0
77,0.3435870212481501,34.0,11.0
78,0.3516934374913476,39.0,12.0
79,0.3550287220559989,44.0,13.0
80,0.35836708581856846,49.0,14.0
81,0.36107292167890204,54.0,15.0
82,0.36804898620402404,59.0,16.0
83,0.3725098312555638,64.0,17.0
84,0.3766029608968954,69.0,18.0
85,0.37825001054449103,74.0,19.0
86,0.3789898476239828,79.0,20.0
87,0.3814939424420468,84.0,21.0
88,0.38724562233955473,89.0,22.0
89,0.3889901737158957,94.0,23.0
90,0.39073117881275066,99.0,24.0
91,0.3912069834954872,104.0,25.0
92,0.39102973329563784,109.0,26.0
93,0.3917824803262888,114.0,27.0
94,0.39230202164378614,119.0,28.0
95,0.3948565862010791,124.0,29.0
96,0.3435870212481501,35.0,11.0
97,0.3516934374913476,40.0,12.0
98,0.3550287220559989,45.0,13.0
99,0.35836708581856846,50.0,14.0
100,0.36107292167890204,55.0,15.0
101,0.36804898620402404,60.0,16.0
102,0.3725098312555638,65.0,17.0
103,0.3766029608968954,70.0,18.0
104,0.37825001054449103,75.0,19.0
