,score,i,j
0,0.0,0.0,0.0
1,-60.23143951977566,1.0,1.0
2,-60.23975118574584,1.0,2.0
3,-60.31401802540465,1.0,3.0
4,-60.32250567129058,1.0,4.0
5,-60.23912645002947,1.0,5.0
6,-60.22059243199725,1.0,6.0
7,-60.23299162574933,1.0,7.0
8,-60.285458637242854,1.0,8.0
9,-60.25018627408988,1.0,9.0
10,-59.56214748586645,2.0,1.0
11,-59.572788218615365,2.0,2.0
12,-59.625681183112235,2.0,3.0
13,-59.59501794479563,2.0,4.0
14,-59.65523236112373,2.0,5.0
15,-59.58847024358667,2.0,6.0
16,-59.59051129352901,2.0,7.0
17,-59.60829608297898,2.0,8.0
18,-59.65694600227253,2.0,9.0
19,-60.26178107915542,3.0,1.0
20,-60.25098481455786,3.0,2.0
21,-60.25439113451164,3.0,3.0
22,-60.264462303240585,3.0,4.0
23,-60.144928974629316,3.0,5.0
24,-60.12086461860507,3.0,6.0
25,-60.20438640857932,3.0,7.0
26,-60.19049174839354,3.0,8.0
27,-60.24877916897733,3.0,9.0
28,-60.488717464683575,4.0,1.0
29,-60.47275962188224,4.0,2.0
30,-60.51712141438762,4.0,3.0
31,-60.45656427042646,4.0,4.0
32,-60.42857687634408,4.0,5.0
33,-60.44833905511195,4.0,6.0
34,-60.45449120555417,4.0,7.0
35,-60.43513823593791,4.0,8.0
36,-60.35567242836384,4.0,9.0
37,-61.099802058738604,5.0,1.0
38,-61.16142621212527,5.0,2.0
39,-61.12961824774654,5.0,3.0
40,-61.12687416973853,5.0,4.0
41,-61.11085297262437,5.0,5.0
42,-61.15707889502295,5.0,6.0
43,-61.13508252341118,5.0,7.0
44,-61.129006099351614,5.0,8.0
45,-61.05343591838592,5.0,9.0
46,-59.71800656175999,6.0,1.0
47,-59.64034127367148,6.0,2.0
48,-59.69186943730209,6.0,3.0
49,-59.75536218787297,6.0,4.0
50,-59.7803428128983,6.0,5.0
51,-59.71180372589982,6.0,6.0
52,-59.6979461811041,6.0,7.0
53,-59.73753369625312,6.0,8.0
54,-59.759496230780535,6.0,9.0
55,-61.74508988287723,7.0,1.0
56,-61.619607848057974,7.0,2.0
57,-61.630005546412896,7.0,3.0
58,-61.640107640671545,7.0,4.0
59,-61.63371230942567,7.0,5.0
60,-61.58778938945485,7.0,6.0
61,-61.56688620018623,7.0,7.0
62,-61.479069139704414,7.0,8.0
63,-61.48554535223898,7.0,9.0
64,-60.851199306342764,8.0,1.0
65,-60.686798731482824,8.0,2.0
66,-60.691937856317175,8.0,3.0
67,-60.6084665098197,8.0,4.0
68,-60.61211416774745,8.0,5.0
69,-60.637953309372705,8.0,6.0
70,-60.60001439969177,8.0,7.0
71,-60.66864691082305,8.0,8.0
72,-60.57554792136497,8.0,9.0
73,-59.72027549971219,9.0,1.0
74,-59.70205426598272,9.0,2.0
75,-59.723562861772,9.0,3.0
76,-59.64583782966196,9.0,4.0
77,-59.570306783904584,9.0,5.0
78,-59.55418666538498,9.0,6.0
79,-59.559006497200706,9.0,7.0
80,-59.47593937839707,9.0,8.0
81,-59.46416423157464,9.0,9.0
