,score,i,j
0,0.0,0.0,0.0
1,0.5382554380430725,1.0,1.0
2,0.5376467939458356,1.0,2.0
3,0.5371279677593135,1.0,3.0
4,0.5365325538075654,1.0,4.0
5,0.5367309510847452,1.0,5.0
6,0.5364992604136204,1.0,6.0
7,0.5369554584072402,1.0,7.0
8,0.5365055171565988,1.0,8.0
9,0.5361380038656841,1.0,9.0
10,0.5375601573717605,2.0,1.0
11,0.5371099876911485,2.0,2.0
12,0.5367222797712774,2.0,3.0
13,0.5365397578164354,2.0,4.0
14,0.537031853941266,2.0,5.0
15,0.5361058902761877,2.0,6.0
16,0.5338597387289159,2.0,7.0
17,0.5337476743542044,2.0,8.0
18,0.5329148818852363,2.0,9.0
19,0.5372448167867572,3.0,1.0
20,0.5369894520332799,3.0,2.0
21,0.5352834851105216,3.0,3.0
22,0.5355216310771151,3.0,4.0
23,0.5351918590589958,3.0,5.0
24,0.5350259761217853,3.0,6.0
25,0.5360186241758328,3.0,7.0
26,0.5358436719734481,3.0,8.0
27,0.5360797330000935,3.0,9.0
28,0.5351164328683207,4.0,1.0
29,0.5351783400882187,4.0,2.0
30,0.5355320665218042,4.0,3.0
31,0.5349694610176976,4.0,4.0
32,0.5346731348120188,4.0,5.0
33,0.5343924381098971,4.0,6.0
34,0.5345878373791442,4.0,7.0
35,0.5349402533539469,4.0,8.0
36,0.5348788168446981,4.0,9.0
37,0.5344890537221925,5.0,1.0
38,0.5342456792086667,5.0,2.0
39,0.533016568363174,5.0,3.0
40,0.533181353617709,5.0,4.0
41,0.5324160379061419,5.0,5.0
42,0.5319993563078583,5.0,6.0
43,0.5314791423646364,5.0,7.0
44,0.531403033747857,5.0,8.0
45,0.5311979169174945,5.0,9.0
46,0.5308390797469933,6.0,1.0
47,0.5311814465222546,6.0,2.0
48,0.5308545210616744,6.0,3.0
49,0.5305418776256303,6.0,4.0
50,0.5287013012862449,6.0,5.0
51,0.5284581893782562,6.0,6.0
52,0.5284078973187614,6.0,7.0
53,0.5280047878852597,6.0,8.0
54,0.5286211574068704,6.0,9.0
55,0.523364499484241,7.0,1.0
56,0.5239043760325355,7.0,2.0
57,0.5235209363300084,7.0,3.0
58,0.5236115806148588,7.0,4.0
59,0.5233550266666016,7.0,5.0
60,0.5242235696795694,7.0,6.0
61,0.5231693587787987,7.0,7.0
62,0.5233062134857611,7.0,8.0
63,0.5232191956194019,7.0,9.0
64,0.5361960204993454,8.0,1.0
65,0.5357088273566806,8.0,2.0
66,0.5358664377959188,8.0,3.0
67,0.5349755552109328,8.0,4.0
68,0.5348546118815697,8.0,5.0
69,0.5341550183220662,8.0,6.0
70,0.5337054212046686,8.0,7.0
71,0.5334877525129291,8.0,8.0
72,0.533128419066736,8.0,9.0
73,0.525680391006912,9.0,1.0
74,0.5258569696933145,9.0,2.0
75,0.5250704913457456,9.0,3.0
76,0.5248556403437559,9.0,4.0
77,0.5249877369476779,9.0,5.0
78,0.5241131104665916,9.0,6.0
79,0.5236529491126878,9.0,7.0
80,0.5233419444153862,9.0,8.0
81,0.5235248251168458,9.0,9.0
