,score,i,j
0,0.0,0.0,0.0
1,0.7356260206303703,1.0,1.0
2,0.7357127624774353,1.0,2.0
3,0.7355734733682338,1.0,3.0
4,0.7352714896376362,1.0,4.0
5,0.7351680665077106,1.0,5.0
6,0.7351075119967638,1.0,6.0
7,0.735119302801774,1.0,7.0
8,0.734654327383409,1.0,8.0
9,0.7348666166878681,1.0,9.0
10,0.7335168201237313,2.0,1.0
11,0.7327359705143682,2.0,2.0
12,0.7319703151183887,2.0,3.0
13,0.7314825054314854,2.0,4.0
14,0.7307291782773068,2.0,5.0
15,0.7305703280223216,2.0,6.0
16,0.7305650397095196,2.0,7.0
17,0.7300793130161991,2.0,8.0
18,0.7294222513497782,2.0,9.0
19,0.7296705937481627,3.0,1.0
20,0.7298287106430229,3.0,2.0
21,0.729786743719591,3.0,3.0
22,0.7300469037207127,3.0,4.0
23,0.7298732045716325,3.0,5.0
24,0.7298711326048077,3.0,6.0
25,0.7298465081266003,3.0,7.0
26,0.7294835147911775,3.0,8.0
27,0.7285592801032651,3.0,9.0
28,0.7277981750384511,4.0,1.0
29,0.7280686676518604,4.0,2.0
30,0.7278583192722707,4.0,3.0
31,0.7278378966087703,4.0,4.0
32,0.7276149148209288,4.0,5.0
33,0.727160084165328,4.0,6.0
34,0.7269479163620378,4.0,7.0
35,0.7264153399299798,4.0,8.0
36,0.7263584547631318,4.0,9.0
37,0.7304203539867354,5.0,1.0
38,0.7298965556639551,5.0,2.0
39,0.7296568532497352,5.0,3.0
40,0.7295802295033934,5.0,4.0
41,0.7287968955422357,5.0,5.0
42,0.7285983110118033,5.0,6.0
43,0.7282733032681823,5.0,7.0
44,0.727933689846649,5.0,8.0
45,0.7277310266515766,5.0,9.0
46,0.7284063389662183,6.0,1.0
47,0.7283139152321674,6.0,2.0
48,0.7280091522128962,6.0,3.0
49,0.7279250424942029,6.0,4.0
50,0.7281089355146055,6.0,5.0
51,0.7279472302675061,6.0,6.0
52,0.7272580339991306,6.0,7.0
53,0.7272599732335165,6.0,8.0
54,0.7272625765789041,6.0,9.0
55,0.7283004082500875,7.0,1.0
56,0.7280064506489424,7.0,2.0
57,0.7278967091711045,7.0,3.0
58,0.7280713677988314,7.0,4.0
59,0.7273982059552919,7.0,5.0
60,0.7267573572579864,7.0,6.0
61,0.7265883830312811,7.0,7.0
62,0.7264113173243094,7.0,8.0
63,0.7261109584135192,7.0,9.0
64,0.7301428170738494,8.0,1.0
65,0.7301042946491351,8.0,2.0
66,0.7302032202211013,8.0,3.0
67,0.7300037169008142,8.0,4.0
68,0.7292606389775281,8.0,5.0
69,0.7288778830695783,8.0,6.0
70,0.7287312063818312,8.0,7.0
71,0.7283098561486636,8.0,8.0
72,0.7283187343624897,8.0,9.0
73,0.728373780076628,9.0,1.0
74,0.7282838212175857,9.0,2.0
75,0.7280511377602629,9.0,3.0
76,0.7279646771121231,9.0,4.0
77,0.7273909288871002,9.0,5.0
78,0.7271403951045416,9.0,6.0
79,0.7260263244411311,9.0,7.0
80,0.7252473596179307,9.0,8.0
81,0.7252261632093365,9.0,9.0
