,score,i,j
0,0.0,0.0,0.0
1,0.05570765274856937,1.0,1.0
2,0.05662668815476668,1.0,2.0
3,0.05350676654891906,1.0,3.0
4,0.054667243475442606,1.0,4.0
5,0.055675126498622385,1.0,5.0
6,0.05634834122583621,1.0,6.0
7,0.056357129963468644,1.0,7.0
8,0.05711560781901548,1.0,8.0
9,0.05513602225949121,1.0,9.0
10,0.062422648332017494,2.0,1.0
11,0.06354165938921252,2.0,2.0
12,0.06386290110314519,2.0,3.0
13,0.06427685744601119,2.0,4.0
14,0.06555091554993886,2.0,5.0
15,0.06756889738165872,2.0,6.0
16,0.06875173613070895,2.0,7.0
17,0.07015772629445471,2.0,8.0
18,0.07118090074378036,2.0,9.0
19,0.05710729018660343,3.0,1.0
20,0.05823888950579503,3.0,2.0
21,0.05700584315751045,3.0,3.0
22,0.05727021100738505,3.0,4.0
23,0.05757740493734831,3.0,5.0
24,0.05787462206979732,3.0,6.0
25,0.05850281887750819,3.0,7.0
26,0.05658907964210913,3.0,8.0
27,0.05570737239447199,3.0,9.0
28,0.06661044770027247,4.0,1.0
29,0.06918256187946381,4.0,2.0
30,0.06756378494528348,4.0,3.0
31,0.06722621756543046,4.0,4.0
32,0.0671888186420132,4.0,5.0
33,0.06534648989833358,4.0,6.0
34,0.06309330467279195,4.0,7.0
35,0.0633538562020014,4.0,8.0
36,0.06318677645947512,4.0,9.0
37,0.06367710083393785,5.0,1.0
38,0.06278409645846894,5.0,2.0
39,0.06362232713464622,5.0,3.0
40,0.0645637801150083,5.0,4.0
41,0.06210229261453781,5.0,5.0
42,0.06137398959647056,5.0,6.0
43,0.06179512446029123,5.0,7.0
44,0.05938900779129641,5.0,8.0
45,0.060241887402029515,5.0,9.0
46,0.057423945661279285,6.0,1.0
47,0.05674495908787491,6.0,2.0
48,0.056478462162913634,6.0,3.0
49,0.05592185573914643,6.0,4.0
50,0.05695446546852667,6.0,5.0
51,0.0576525045985572,6.0,6.0
52,0.05854757605529781,6.0,7.0
53,0.05835304374083883,6.0,8.0
54,0.060040659945183705,6.0,9.0
55,0.06393575885104674,7.0,1.0
56,0.06477662111501648,7.0,2.0
57,0.06445869474610888,7.0,3.0
58,0.06431537928849662,7.0,4.0
59,0.0640463221352583,7.0,5.0
60,0.06541187275375826,7.0,6.0
61,0.06614364231431902,7.0,7.0
62,0.06583553169983247,7.0,8.0
63,0.06614837121075945,7.0,9.0
64,0.04529579126782124,8.0,1.0
65,0.04530855756376562,8.0,2.0
66,0.046067186721524434,8.0,3.0
67,0.04506167528211924,8.0,4.0
68,0.04466644528446262,8.0,5.0
69,0.045295178299694205,8.0,6.0
70,0.04342710710264175,8.0,7.0
71,0.04261105048595715,8.0,8.0
72,0.04344666408617537,8.0,9.0
73,0.042541633013146174,9.0,1.0
74,0.04281854382014494,9.0,2.0
75,0.0409223225119677,9.0,3.0
76,0.04174082600047868,9.0,4.0
77,0.040471925491524674,9.0,5.0
78,0.03927421634188932,9.0,6.0
79,0.04190969222491581,9.0,7.0
80,0.042067270667366485,9.0,8.0
81,0.04139449866242151,9.0,9.0
