,score,i,j
0,0.0,0.0,0.0
1,0.48313222495165387,1.0,1.0
2,0.48299009066212373,1.0,2.0
3,0.4831238587346187,1.0,3.0
4,0.4827643550521826,1.0,4.0
5,0.48252006969243677,1.0,5.0
6,0.4815313610813965,1.0,6.0
7,0.4812598390217516,1.0,7.0
8,0.48117001494812095,1.0,8.0
9,0.48104489606047285,1.0,9.0
10,0.47776051990776125,2.0,1.0
11,0.4771184965541506,2.0,2.0
12,0.477317265103974,2.0,3.0
13,0.4772253928252558,2.0,4.0
14,0.4772566828945206,2.0,5.0
15,0.4773821990434386,2.0,6.0
16,0.47653788475654224,2.0,7.0
17,0.47632772152426806,2.0,8.0
18,0.4760983415898592,2.0,9.0
19,0.4784943623158969,3.0,1.0
20,0.4781653784386317,3.0,2.0
21,0.4782077754503412,3.0,3.0
22,0.47785861645612426,3.0,4.0
23,0.47750894438117686,3.0,5.0
24,0.47713321508110274,3.0,6.0
25,0.47695749307434443,3.0,7.0
26,0.476517248819588,3.0,8.0
27,0.4763123961561492,3.0,9.0
28,0.4834529190391116,4.0,1.0
29,0.4828653866919278,4.0,2.0
30,0.4824385999106916,4.0,3.0
31,0.4821346501867546,4.0,4.0
32,0.4817666102749876,4.0,5.0
33,0.4813489393178636,4.0,6.0
34,0.48141228538796843,4.0,7.0
35,0.48108040362073556,4.0,8.0
36,0.4799014411241517,4.0,9.0
37,0.4756584639108562,5.0,1.0
38,0.4759493363969767,5.0,2.0
39,0.4756773331235994,5.0,3.0
40,0.4757644151709216,5.0,4.0
41,0.4755409816266494,5.0,5.0
42,0.475866768895001,5.0,6.0
43,0.47549983863097944,5.0,7.0
44,0.47529022995847914,5.0,8.0
45,0.47503985349717215,5.0,9.0
46,0.478487553839128,6.0,1.0
47,0.4784538208444127,6.0,2.0
48,0.47821109342417,6.0,3.0
49,0.4786792293248451,6.0,4.0
50,0.47807259581146044,6.0,5.0
51,0.4775538527686489,6.0,6.0
52,0.4774122719850188,6.0,7.0
53,0.4765229565464726,6.0,8.0
54,0.47660803863115186,6.0,9.0
55,0.48109538539619523,7.0,1.0
56,0.4807464768397698,7.0,2.0
57,0.4802469754153964,7.0,3.0
58,0.4799203637663543,7.0,4.0
59,0.4795137213950307,7.0,5.0
60,0.47899571928483853,7.0,6.0
61,0.4787892298401375,7.0,7.0
62,0.4785206255770643,7.0,8.0
63,0.4779145755199151,7.0,9.0
64,0.47764415585495346,8.0,1.0
65,0.4776766656462107,8.0,2.0
66,0.47768320560846045,8.0,3.0
67,0.4773633088595033,8.0,4.0
68,0.4766596870341089,8.0,5.0
69,0.4755739106827924,8.0,6.0
70,0.4747525944310359,8.0,7.0
71,0.47475495776200716,8.0,8.0
72,0.4750916665340983,8.0,9.0
73,0.4678895771718141,9.0,1.0
74,0.4676253278337733,9.0,2.0
75,0.4672297305698505,9.0,3.0
76,0.4669364462104114,9.0,4.0
77,0.4667044362520695,9.0,5.0
78,0.4665616532981237,9.0,6.0
79,0.46626807290578465,9.0,7.0
80,0.46632221024946785,9.0,8.0
81,0.46627352272202827,9.0,9.0
