,score,i,j
0,0.0,0.0,0.0
1,0.23324391218540352,1.0,1.0
2,0.23234159190215375,1.0,2.0
3,0.23172897775214907,1.0,3.0
4,0.2303750149698156,1.0,4.0
5,0.23009793093955544,1.0,5.0
6,0.22883665208916815,1.0,6.0
7,0.22868642718317922,1.0,7.0
8,0.22763743739157638,1.0,8.0
9,0.22726163252838016,1.0,9.0
10,0.2365009730850547,2.0,1.0
11,0.23598614412351415,2.0,2.0
12,0.23047231919755584,2.0,3.0
13,0.22991339119287313,2.0,4.0
14,0.23002309880904948,2.0,5.0
15,0.23052396002167141,2.0,6.0
16,0.23019073493379405,2.0,7.0
17,0.22574988280001218,2.0,8.0
18,0.22581131273216037,2.0,9.0
19,0.22765224115747296,3.0,1.0
20,0.22706901507493227,3.0,2.0
21,0.2262980797187879,3.0,3.0
22,0.22538044011214475,3.0,4.0
23,0.2244297705346141,3.0,5.0
24,0.22062755592392203,3.0,6.0
25,0.22109313110777373,3.0,7.0
26,0.21905543053696808,3.0,8.0
27,0.21915865383446054,3.0,9.0
28,0.24564993356860443,4.0,1.0
29,0.24500908602412919,4.0,2.0
30,0.24439504933991607,4.0,3.0
31,0.24234482111126432,4.0,4.0
32,0.24214913867871946,4.0,5.0
33,0.24158445586621113,4.0,6.0
34,0.24117445865476406,4.0,7.0
35,0.23813773247052472,4.0,8.0
36,0.2338357421943983,4.0,9.0
37,0.23761344494469505,5.0,1.0
38,0.23664911650990106,5.0,2.0
39,0.23426046326985672,5.0,3.0
40,0.23442463449405193,5.0,4.0
41,0.2340448399996199,5.0,5.0
42,0.23482049526828963,5.0,6.0
43,0.23491624654803833,5.0,7.0
44,0.23349570073695225,5.0,8.0
45,0.23352457845291186,5.0,9.0
46,0.2494621544454566,6.0,1.0
47,0.24934896456135247,6.0,2.0
48,0.24856910391399756,6.0,3.0
49,0.24740980661803236,6.0,4.0
50,0.24490477692117207,6.0,5.0
51,0.24534696915732868,6.0,6.0
52,0.24551353659442576,6.0,7.0
53,0.24555897202644716,6.0,8.0
54,0.24449719620226829,6.0,9.0
55,0.20885019133413718,7.0,1.0
56,0.20797979660111598,7.0,2.0
57,0.20771005995011393,7.0,3.0
58,0.20517685683157727,7.0,4.0
59,0.20515717823822255,7.0,5.0
60,0.2049203841213587,7.0,6.0
61,0.2043624827309144,7.0,7.0
62,0.2044333302831859,7.0,8.0
63,0.20420181103057755,7.0,9.0
64,0.24538936343018825,8.0,1.0
65,0.24363321435599428,8.0,2.0
66,0.242336090135011,8.0,3.0
67,0.24272129812449972,8.0,4.0
68,0.24050615745361548,8.0,5.0
69,0.24036636302187697,8.0,6.0
70,0.23688342922491024,8.0,7.0
71,0.23657462719641464,8.0,8.0
72,0.23641268129783544,8.0,9.0
73,0.2507452235738086,9.0,1.0
74,0.24970236704614512,9.0,2.0
75,0.24900707249644183,9.0,3.0
76,0.2483993476011379,9.0,4.0
77,0.2479514131776488,9.0,5.0
78,0.24657492498168554,9.0,6.0
79,0.24605129266076642,9.0,7.0
80,0.24538558444985625,9.0,8.0
81,0.24771948699569146,9.0,9.0
