,score,i,j
0,0.0,0.0,0.0
1,-4.350000524430005,1.0,0.0
2,-6.852186772751448,2.0,0.0
3,-314.17459956209973,3.0,0.0
4,-1059.7398319825659,4.0,0.0
5,-230.35630335279976,5.0,0.0
6,-3.161123431391994,6.0,0.0
7,-1687.3827511478426,7.0,0.0
8,-82.34814229829234,8.0,0.0
9,-167.22766384529731,9.0,0.0
10,-40.72916546132523,10.0,0.0
11,-609.3573900563919,11.0,0.0
12,-67.36671565518547,12.0,0.0
13,-0.3735676728018673,13.0,0.0
14,-974.5656618210982,14.0,0.0
15,-4.093216236171166,15.0,0.0
16,-444.50295415928304,16.0,0.0
17,-2.178637861331835,17.0,0.0
18,-49.01493997833455,18.0,0.0
19,-2.055433466394796,19.0,0.0
20,-1081.765127211822,20.0,0.0
21,-0.41116134226971623,21.0,0.0
22,-6.4935417296551465,22.0,0.0
23,-2864.444053348398,23.0,0.0
24,-999.218870726586,24.0,0.0
25,-114.43465465147446,25.0,0.0
26,-122.81986307190179,26.0,0.0
27,-9.497993176322641,27.0,0.0
28,-2.415674601886913,28.0,0.0
29,-686.6459661717753,29.0,0.0
30,-1.293713799533751,30.0,0.0
31,-0.12376700945177621,31.0,0.0
32,-837.9664302895709,32.0,0.0
33,-205.65665491540227,33.0,0.0
34,-222.7158624372643,34.0,0.0
35,-6.81730671117014,35.0,0.0
36,-2.190273911412254,36.0,0.0
37,0.11645689599469655,37.0,0.0
38,-11.735325738380183,38.0,0.0
39,-0.4703859692446153,39.0,0.0
40,-139.37855619287666,40.0,0.0
41,-879.1134837115289,41.0,0.0
42,-0.10046630656929989,42.0,0.0
43,-3.599722836579109,43.0,0.0
44,-0.9739265735775968,44.0,0.0
45,-571.955881612948,45.0,0.0
46,-19.729294368539087,46.0,0.0
47,-67.57603569170898,47.0,0.0
48,-29.24306060868112,48.0,0.0
49,-185.17022185822125,49.0,0.0
50,-682.8416608479822,50.0,0.0
51,-314.58649913540233,51.0,0.0
52,-2.9037391899798126,52.0,0.0
53,-183.6444790800775,53.0,0.0
54,-2.600448335626883,54.0,0.0
55,-703.2068533282874,55.0,0.0
56,-5.952323141315763,56.0,0.0
57,-1625.6926878133445,57.0,0.0
58,-5171.677898738037,58.0,0.0
59,-136.40310299642184,59.0,0.0
60,-1098.6466072860235,60.0,0.0
61,-1032.3648077219718,61.0,0.0
62,-427.3371735666337,62.0,0.0
63,-108.87502909408529,63.0,0.0
64,-45.6148682655812,64.0,0.0
65,-8405.300540784567,65.0,0.0
66,0.0740179695200538,66.0,0.0
67,-0.6466103248924711,67.0,0.0
68,-970.9477685476569,68.0,0.0
69,-3.321399827381419,69.0,0.0
70,-232.03734226863645,70.0,0.0
71,-414.4875245932864,71.0,0.0
72,-28425.61076610689,72.0,0.0
73,-20.048853214925128,73.0,0.0
74,-778.5557411468201,74.0,0.0
75,-31.420892476542377,75.0,0.0
76,-76.04230092180904,76.0,0.0
77,-338.5202193547124,77.0,0.0
78,-0.03300431871866749,78.0,0.0
79,-617.6715546006271,79.0,0.0
80,-1469.066547923599,80.0,0.0
81,-74.70884676706838,81.0,0.0
82,-30.87792197610114,82.0,0.0
83,-0.8846100256632585,83.0,0.0
84,-82.62407799405025,84.0,0.0
85,-824.2578832867526,85.0,0.0
86,-87.40951693881881,86.0,0.0
87,-6.839309208038489,87.0,0.0
88,-366.3027846467932,88.0,0.0
89,-898.5301888440367,89.0,0.0
90,-99.40096792781794,90.0,0.0
91,-12.216736490548886,91.0,0.0
92,-1016.3160415133693,92.0,0.0
93,-2710.059643018413,93.0,0.0
94,-0.34671149566920634,94.0,0.0
95,-300.6233638831389,95.0,0.0
96,-0.4491409646242037,96.0,0.0
97,-48.48904689710973,97.0,0.0
98,-411.17578393434565,98.0,0.0
99,-2.519316086068327,99.0,0.0
100,-216.3388551818206,100.0,0.0
