,score,i,j
0,0.0,0.0,0.0
1,0.08048193996520503,1.0,31.0
2,0.043863738395189755,1.0,32.0
3,0.07849641872298752,1.0,33.0
4,0.09188492997098474,1.0,34.0
5,0.1461214136337876,1.0,35.0
6,0.03608394146060989,1.0,36.0
7,0.06345789801984214,1.0,37.0
8,0.048923786973658956,1.0,38.0
9,0.11344029857209181,1.0,39.0
10,0.190596188038061,2.0,31.0
11,0.2180941310884419,2.0,32.0
12,0.21658596935740249,2.0,33.0
13,0.22024647319401525,2.0,34.0
14,0.22125212288761997,2.0,35.0
15,0.21324712273807334,2.0,36.0
16,0.22401224785749807,2.0,37.0
17,0.21425786582356277,2.0,38.0
18,0.20558833052524828,2.0,39.0
19,0.3111838988674286,3.0,31.0
20,0.3224954082713425,3.0,32.0
21,0.301250721229133,3.0,33.0
22,0.3258463059481348,3.0,34.0
23,0.31975288730396567,3.0,35.0
24,0.330796444332906,3.0,36.0
25,0.33257918797791497,3.0,37.0
26,0.3189995694924367,3.0,38.0
27,0.31341499395625905,3.0,39.0
28,0.40838094766801725,4.0,31.0
29,0.4218974376051484,4.0,32.0
30,0.4259012245588918,4.0,33.0
31,0.3975125646850113,4.0,34.0
32,0.40677714118478703,4.0,35.0
33,0.41648349401835083,4.0,36.0
34,0.4084887048682444,4.0,37.0
35,0.42380362405532424,4.0,38.0
36,0.41964237902053614,4.0,39.0
37,0.4411345645684126,5.0,31.0
38,0.43923962513949455,5.0,32.0
39,0.44831271818413565,5.0,33.0
40,0.438055649155065,5.0,34.0
41,0.44848445831023054,5.0,35.0
42,0.444872705773133,5.0,36.0
43,0.4431502188690498,5.0,37.0
44,0.4406389290074565,5.0,38.0
45,0.44575504758812323,5.0,39.0
46,0.4467650474164837,6.0,31.0
47,0.4614127370490415,6.0,32.0
48,0.46476410145576097,6.0,33.0
49,0.4535566150175875,6.0,34.0
50,0.45813844569162754,6.0,35.0
51,0.4475453469661568,6.0,36.0
52,0.45779986292837316,6.0,37.0
53,0.45317777321864716,6.0,38.0
54,0.4602382165425096,6.0,39.0
55,0.47067402882094267,7.0,31.0
56,0.46081514851813177,7.0,32.0
57,0.46762942845913713,7.0,33.0
58,0.4722005805636119,7.0,34.0
59,0.46836667517759745,7.0,35.0
60,0.46188755237818113,7.0,36.0
61,0.47149938654517565,7.0,37.0
62,0.4785962881431084,7.0,38.0
63,0.46923787709550957,7.0,39.0
64,0.47703836181462367,8.0,31.0
65,0.4826237566310545,8.0,32.0
66,0.47710015760062185,8.0,33.0
67,0.48407569291362973,8.0,34.0
