,score,i,j
0,0.0,0.0,0.0
1,0.29407939556911256,1.0,31.0
2,0.28602574726238283,1.0,32.0
3,0.2895361732602263,1.0,33.0
4,0.2874500414048846,1.0,34.0
5,0.2863611056866867,1.0,35.0
6,0.28596152935517494,1.0,36.0
7,0.2822839751080678,1.0,37.0
8,0.2947303415386945,1.0,38.0
9,0.28211525612941035,1.0,39.0
10,0.5806712869098476,2.0,31.0
11,0.5827580200975342,2.0,32.0
12,0.5859848821729938,2.0,33.0
13,0.5819418768540143,2.0,34.0
14,0.5854993126068238,2.0,35.0
15,0.5841748645445881,2.0,36.0
16,0.58491936422261,2.0,37.0
17,0.582079680632767,2.0,38.0
18,0.5845277616901183,2.0,39.0
19,0.6801323117095084,3.0,31.0
20,0.6828481375317088,3.0,32.0
21,0.6820481231481734,3.0,33.0
22,0.6816167718059649,3.0,34.0
23,0.6849831183782327,3.0,35.0
24,0.6820673672173397,3.0,36.0
25,0.6861678087600658,3.0,37.0
26,0.6847292923191626,3.0,38.0
27,0.6773821239406917,3.0,39.0
28,0.720414895375167,4.0,31.0
29,0.7218581174224556,4.0,32.0
30,0.7242207995986698,4.0,33.0
31,0.7182609215163915,4.0,34.0
32,0.7228428485317482,4.0,35.0
33,0.7214550242589682,4.0,36.0
34,0.7222433514740738,4.0,37.0
35,0.7222942768134131,4.0,38.0
36,0.7201316291234642,4.0,39.0
37,0.7411328861179063,5.0,31.0
38,0.7419983223104122,5.0,32.0
39,0.7431833252966374,5.0,33.0
40,0.7380344636363133,5.0,34.0
41,0.7456036245160191,5.0,35.0
42,0.7372447285314332,5.0,36.0
43,0.7416937993198995,5.0,37.0
44,0.7417385012884313,5.0,38.0
45,0.7399403868385304,5.0,39.0
46,0.7449658817855427,6.0,31.0
47,0.7510824495341172,6.0,32.0
48,0.7475258134929293,6.0,33.0
49,0.7472680390500805,6.0,34.0
50,0.7456232504368399,6.0,35.0
51,0.7476687424939792,6.0,36.0
52,0.7446455071636809,6.0,37.0
53,0.7464866812675668,6.0,38.0
54,0.7447949631016363,6.0,39.0
55,0.7421523455191937,7.0,31.0
56,0.7417291320776764,7.0,32.0
57,0.7420934961956458,7.0,33.0
58,0.7401398368325254,7.0,34.0
59,0.7387719241733881,7.0,35.0
60,0.7442264367534326,7.0,36.0
61,0.7423189573943351,7.0,37.0
62,0.744640824090115,7.0,38.0
63,0.7420171469925904,7.0,39.0
64,0.7262401189322942,8.0,31.0
65,0.7311069463882924,8.0,32.0
66,0.7316886137582701,8.0,33.0
67,0.7300425009991229,8.0,34.0
68,0.7316382583705338,8.0,35.0
69,0.7244736677383484,8.0,36.0
70,0.730807242595805,8.0,37.0
71,0.7251287159290801,8.0,38.0
72,0.7333335020280488,8.0,39.0
73,0.7271885754244922,9.0,31.0
74,0.7245216122936278,9.0,32.0
75,0.7268395242375849,9.0,33.0
76,0.7235722569220795,9.0,34.0
77,0.724791835547071,9.0,35.0
78,0.7263895701699981,9.0,36.0
79,0.7252935327989807,9.0,37.0
80,0.728103657242267,9.0,38.0
81,0.7255765584409679,9.0,39.0
82,0.7263044404652905,10.0,31.0
83,0.7232920330819375,10.0,32.0
84,0.7227201325036041,10.0,33.0
85,0.7218321496320649,10.0,34.0
86,0.7188056298037948,10.0,35.0
87,0.7227006668740437,10.0,36.0
88,0.7217045287610253,10.0,37.0
89,0.719284879427526,10.0,38.0
90,0.7221442306039327,10.0,39.0
91,0.714681835432492,11.0,31.0
92,0.7127311397517861,11.0,32.0
93,0.7157732373112987,11.0,33.0
94,0.7137055387524591,11.0,34.0
95,0.7170290142938456,11.0,35.0
96,0.7156000840169956,11.0,36.0
97,0.7198881913468028,11.0,37.0
98,0.7121755787103223,11.0,38.0
99,0.7116383437024123,11.0,39.0
100,0.7208422266858465,12.0,31.0
101,0.7163934255300717,12.0,32.0
102,0.7125234835578204,12.0,33.0
103,0.7128318836563001,12.0,34.0
104,0.7110843077066522,12.0,35.0
105,0.7133357057230488,12.0,36.0
106,0.7100626388331347,12.0,37.0
107,0.7080456790961787,12.0,38.0
108,0.7137781750445573,12.0,39.0
109,0.7113277599928738,13.0,31.0
110,0.7066324851512263,13.0,32.0
111,0.7121542770951681,13.0,33.0
112,0.7078727480584142,13.0,34.0
113,0.7105414369686129,13.0,35.0
114,0.7090913338945277,13.0,36.0
115,0.7136314837898572,13.0,37.0
116,0.7119289740745403,13.0,38.0
117,0.7128966247684497,13.0,39.0
118,0.6975466441061945,14.0,31.0
119,0.7043629404575071,14.0,32.0
120,0.7056063118708795,14.0,33.0
121,0.7096816130524652,14.0,34.0
122,0.7139348637163412,14.0,35.0
123,0.7111536602990757,14.0,36.0
124,0.7034837000367519,14.0,37.0
125,0.706686344367216,14.0,38.0
126,0.7006153997897939,14.0,39.0
127,0.7078725653928044,15.0,31.0
128,0.7099290312480809,15.0,32.0
129,0.7021950894280303,15.0,33.0
130,0.7015797668954358,15.0,34.0
131,0.7119433711111967,15.0,35.0
132,0.7112976876590588,15.0,36.0
133,0.70403969273215,15.0,37.0
134,0.7001060571595636,15.0,38.0
135,0.7086681932262451,15.0,39.0
136,0.7013056586942328,16.0,31.0
137,0.7054512160454534,16.0,32.0
138,0.7034452008132996,16.0,33.0
139,0.7089829502268331,16.0,34.0
140,0.7064974637399801,16.0,35.0
141,0.7108757566296364,16.0,36.0
142,0.7012700062942804,16.0,37.0
143,0.7077364099020356,16.0,38.0
144,0.7033698386137011,16.0,39.0
145,0.7108594739060856,17.0,31.0
146,0.7046062460237161,17.0,32.0
147,0.7031356009863451,17.0,33.0
148,0.7090213774422749,17.0,34.0
149,0.703430425651972,17.0,35.0
150,0.702611841535953,17.0,36.0
151,0.7033673943104148,17.0,37.0
152,0.7085174291387197,17.0,38.0
153,0.7015016666223601,17.0,39.0
154,0.7017192817702818,18.0,31.0
155,0.7072263435358507,18.0,32.0
156,0.7052859806592988,18.0,33.0
157,0.7030227240080322,18.0,34.0
158,0.7068517532445244,18.0,35.0
159,0.703381594977178,18.0,36.0
160,0.7068085934321857,18.0,37.0
161,0.7069608639104372,18.0,38.0
162,0.7005746764945957,18.0,39.0
163,0.7052153873442526,19.0,31.0
164,0.7014902588053745,19.0,32.0
165,0.7021946422128151,19.0,33.0
166,0.704329009278021,19.0,34.0
167,0.703768048760772,19.0,35.0
168,0.7028493427384872,19.0,36.0
169,0.7019567314265643,19.0,37.0
170,0.7037274938867628,19.0,38.0
171,0.7010549979465386,19.0,39.0
172,0.6963700498832486,20.0,31.0
173,0.7031800655209384,20.0,32.0
174,0.7062638407446725,20.0,33.0
175,0.7022931164858606,20.0,34.0
176,0.6982974367068833,20.0,35.0
177,0.7053728648818922,20.0,36.0
178,0.7086624870037924,20.0,37.0
179,0.6998247411345552,20.0,38.0
180,0.7043243008522411,20.0,39.0
181,0.6985781683495893,21.0,31.0
182,0.70623346193966,21.0,32.0
183,0.7019364189332871,21.0,33.0
184,0.7057342898733594,21.0,34.0
185,0.7095516443955487,21.0,35.0
186,0.7078290248854483,21.0,36.0
187,0.7050780261817413,21.0,37.0
188,0.700528632474184,21.0,38.0
189,0.7084674143659508,21.0,39.0
190,0.7034552795622389,22.0,31.0
191,0.7047115185092081,22.0,32.0
192,0.7047794927803278,22.0,33.0
193,0.7005160099396845,22.0,34.0
194,0.703747184678899,22.0,35.0
195,0.7038103649290111,22.0,36.0
196,0.7076824806646729,22.0,37.0
197,0.6992567590795828,22.0,38.0
198,0.7032870820735515,22.0,39.0
199,0.7056784657875111,23.0,31.0
200,0.7012058340157438,23.0,32.0
201,0.703605635456927,23.0,33.0
202,0.6972138843994533,23.0,34.0
203,0.7026273753295837,23.0,35.0
204,0.7043800656390845,23.0,36.0
205,0.7012446774108055,23.0,37.0
206,0.7056558029288099,23.0,38.0
207,0.7043856651751327,23.0,39.0
208,0.7023382978221702,24.0,31.0
209,0.6982512625849854,24.0,32.0
210,0.699842537636473,24.0,33.0
211,0.7099026100195136,24.0,34.0
212,0.704701092208751,24.0,35.0
213,0.7092851565775395,24.0,36.0
214,0.7006395210716388,24.0,37.0
215,0.7019682527975395,24.0,38.0
216,0.7109850967921827,24.0,39.0
217,0.7041272512441755,25.0,31.0
218,0.7057547892231074,25.0,32.0
219,0.708081800244239,25.0,33.0
220,0.7082410748420225,25.0,34.0
221,0.7046642939120121,25.0,35.0
222,0.7053243447483297,25.0,36.0
223,0.7087577383655758,25.0,37.0
224,0.7077327396316835,25.0,38.0
225,0.7069354679600945,25.0,39.0
226,0.7090721077404105,26.0,31.0
227,0.7077067806021675,26.0,32.0
228,0.6979851877039707,26.0,33.0
229,0.7094155222114149,26.0,34.0
230,0.7043487412195861,26.0,35.0
231,0.7027041325362713,26.0,36.0
232,0.7046683927388011,26.0,37.0
233,0.7036081196834698,26.0,38.0
234,0.7073116480509194,26.0,39.0
235,0.7030755794874617,27.0,31.0
236,0.6981363593743142,27.0,32.0
237,0.7091000716188527,27.0,33.0
238,0.7017389777050057,27.0,34.0
239,0.706913777443303,27.0,35.0
240,0.7059629952979354,27.0,36.0
241,0.7042720295341887,27.0,37.0
242,0.7053850187481269,27.0,38.0
243,0.702310301169874,27.0,39.0
244,0.6996059408627944,28.0,31.0
245,0.7013516078841009,28.0,32.0
246,0.7008135899441295,28.0,33.0
247,0.7009641811883515,28.0,34.0
248,0.7073584867828039,28.0,35.0
249,0.7087536927596844,28.0,36.0
250,0.7078114010014384,28.0,37.0
251,0.6963813475549576,28.0,38.0
252,0.712319263729581,28.0,39.0
253,0.7015701745643335,29.0,31.0
254,0.6992008417110654,29.0,32.0
255,0.6946243565820687,29.0,33.0
256,0.698869184718081,29.0,34.0
257,0.7048894238787033,29.0,35.0
258,0.7032202340800349,29.0,36.0
259,0.7074383346716777,29.0,37.0
260,0.7017599863474053,29.0,38.0
261,0.700612317329302,29.0,39.0
262,0.7014840057042663,30.0,31.0
263,0.7002932233012427,30.0,32.0
264,0.7007847042133618,30.0,33.0
265,0.7038085822065963,30.0,34.0
266,0.7041537333203969,30.0,35.0
267,0.6975122839397376,30.0,36.0
268,0.7037947282512267,30.0,37.0
269,0.7000500064654902,30.0,38.0
270,0.7064889111282506,30.0,39.0
271,0.7015939906826969,31.0,31.0
272,0.7038253893407259,31.0,32.0
273,0.7023970817552978,31.0,33.0
274,0.7046854658498275,31.0,34.0
275,0.7070924286747489,31.0,35.0
276,0.701919994014436,31.0,36.0
277,0.7007503551020331,31.0,37.0
278,0.7010506533392877,31.0,38.0
279,0.7016293550869257,31.0,39.0
280,0.6993828082474589,32.0,31.0
281,0.6998311458150552,32.0,32.0
282,0.7035171108978846,32.0,33.0
283,0.707950254618255,32.0,34.0
284,0.7078999232537391,32.0,35.0
285,0.7037042494657473,32.0,36.0
286,0.7019586112042587,32.0,37.0
287,0.7065554821822606,32.0,38.0
288,0.7025915568267054,32.0,39.0
289,0.7054482837791597,33.0,31.0
290,0.7063881287938659,33.0,32.0
291,0.70647951024351,33.0,33.0
292,0.7028895474163603,33.0,34.0
293,0.7002413537531226,33.0,35.0
294,0.7091254767206108,33.0,36.0
295,0.6992604638231106,33.0,37.0
296,0.7072259143211517,33.0,38.0
297,0.7073503402520578,33.0,39.0
298,0.706684564117495,34.0,31.0
299,0.7029715634030068,34.0,32.0
300,0.7031276853962203,34.0,33.0
301,0.7046448124386018,34.0,34.0
302,0.7007958571541658,34.0,35.0
303,0.7006519874676946,34.0,36.0
304,0.7044986560863029,34.0,37.0
305,0.6972761402363922,34.0,38.0
306,0.7052552433856389,34.0,39.0
307,0.7131805907461142,35.0,31.0
308,0.7021920342350352,35.0,32.0
309,0.7054037228624142,35.0,33.0
310,0.7003799915973319,35.0,34.0
311,0.7035647121348336,35.0,35.0
312,0.7037862816270808,35.0,36.0
313,0.7003014121512288,35.0,37.0
314,0.7040518813374181,35.0,38.0
315,0.7030570874025734,35.0,39.0
316,0.7065333984626511,36.0,31.0
317,0.7039108441945268,36.0,32.0
318,0.7013933038395564,36.0,33.0
319,0.7063016045284445,36.0,34.0
320,0.7014545294344263,36.0,35.0
321,0.7011530321017043,36.0,36.0
322,0.7010881284105309,36.0,37.0
323,0.7025541192731741,36.0,38.0
324,0.7060710601796637,36.0,39.0
325,0.705295294718187,37.0,31.0
326,0.6972958173002646,37.0,32.0
327,0.7084482106598482,37.0,33.0
328,0.7055739431807406,37.0,34.0
329,0.7089675435184417,37.0,35.0
330,0.7050102888043901,37.0,36.0
331,0.6983340530932838,37.0,37.0
332,0.7006147042719413,37.0,38.0
333,0.7075415508958067,37.0,39.0
334,0.704466476849194,38.0,31.0
335,0.700013020909525,38.0,32.0
336,0.704638476124948,38.0,33.0
337,0.7115617173807697,38.0,34.0
338,0.6999231676682847,38.0,35.0
339,0.704982117678606,38.0,36.0
340,0.7041619631993463,38.0,37.0
341,0.7032325025297549,38.0,38.0
342,0.7037940905306574,38.0,39.0
343,0.7050027533541459,39.0,31.0
344,0.7027166399765518,39.0,32.0
345,0.70140960936967,39.0,33.0
346,0.7042188680108005,39.0,34.0
347,0.7076946226344387,39.0,35.0
348,0.7032563804473223,39.0,36.0
349,0.7018904661702972,39.0,37.0
350,0.703272842124399,39.0,38.0
351,0.7088080536098069,39.0,39.0
352,0.701533660309849,40.0,31.0
353,0.6975274609582547,40.0,32.0
354,0.7050769952372204,40.0,33.0
355,0.7069198177414795,40.0,34.0
356,0.7049123478371275,40.0,35.0
357,0.7035484694346062,40.0,36.0
358,0.7039377457082611,40.0,37.0
359,0.7104500372665434,40.0,38.0
360,0.7101001293168543,40.0,39.0
361,0.7062888758201994,41.0,31.0
362,0.7004435424923947,41.0,32.0
363,0.7053179588301055,41.0,33.0
364,0.7049988793131694,41.0,34.0
365,0.708642015070724,41.0,35.0
366,0.7041389392280266,41.0,36.0
367,0.7046333281507542,41.0,37.0
368,0.6971284183354702,41.0,38.0
369,0.7014073018926152,41.0,39.0
370,0.703369231400681,42.0,31.0
371,0.6993146172951314,42.0,32.0
372,0.7035981268229178,42.0,33.0
373,0.6999301564664394,42.0,34.0
374,0.7006322828179259,42.0,35.0
375,0.708542132394183,42.0,36.0
376,0.7036004056401947,42.0,37.0
377,0.7050288767312605,42.0,38.0
378,0.7045986947913631,42.0,39.0
379,0.6986148274306422,43.0,31.0
380,0.7015981329175467,43.0,32.0
381,0.7043233916012587,43.0,33.0
382,0.6998819770995401,43.0,34.0
383,0.7048377840137354,43.0,35.0
384,0.6985075255048764,43.0,36.0
385,0.7039275672954155,43.0,37.0
386,0.7003024555597475,43.0,38.0
387,0.7012927758150592,43.0,39.0
388,0.7047412180555115,44.0,31.0
389,0.7090592243020348,44.0,32.0
390,0.7014847399310398,44.0,33.0
391,0.7001145354438741,44.0,34.0
392,0.706578354114971,44.0,35.0
393,0.7033826706603914,44.0,36.0
394,0.7023433271030353,44.0,37.0
395,0.699522196446398,44.0,38.0
396,0.7082389329054068,44.0,39.0
397,0.6970583920450346,45.0,31.0
398,0.708380190133806,45.0,32.0
399,0.6982179851026081,45.0,33.0
400,0.7046531590125309,45.0,34.0
401,0.6992267841809845,45.0,35.0
402,0.7089150306346141,45.0,36.0
403,0.6997937008523667,45.0,37.0
404,0.7069411663075904,45.0,38.0
405,0.7028969941648037,45.0,39.0
406,0.7028440370978439,46.0,31.0
407,0.6952173962974403,46.0,32.0
408,0.7048653155039256,46.0,33.0
409,0.707270947113178,46.0,34.0
410,0.6973703748964077,46.0,35.0
411,0.7028556192332891,46.0,36.0
412,0.7073939899506629,46.0,37.0
413,0.7040363324803145,46.0,38.0
414,0.7029280602252379,46.0,39.0
415,0.7042096089695187,47.0,31.0
416,0.7093884392760992,47.0,32.0
417,0.7017027796938378,47.0,33.0
418,0.6969041739449806,47.0,34.0
