,score,i,j
0,0.0,0.0,0.0
1,-0.21137321557403643,1.0,60.0
2,-0.21137321557403643,1.0,61.0
3,-0.21137321557403643,1.0,62.0
4,-0.21137321557403643,1.0,63.0
5,-0.21137321557403643,1.0,64.0
6,-0.21137321557403643,1.0,65.0
7,-0.21137321557403643,1.0,66.0
8,-0.21137321557403643,1.0,67.0
9,-0.21137321557403643,1.0,68.0
10,-0.21137321557403643,1.0,69.0
11,0.04422762948123116,2.0,60.0
12,0.04422762948123116,2.0,61.0
13,0.04422762948123116,2.0,62.0
14,0.04422762948123116,2.0,63.0
15,0.04422762948123116,2.0,64.0
16,0.04422762948123116,2.0,65.0
17,0.04422762948123116,2.0,66.0
18,0.04422762948123116,2.0,67.0
19,0.04422762948123116,2.0,68.0
20,0.04422762948123116,2.0,69.0
21,0.040172387795695985,3.0,60.0
22,0.040172387795695985,3.0,61.0
23,0.040172387795695985,3.0,62.0
24,0.040172387795695985,3.0,63.0
25,0.040172387795695985,3.0,64.0
26,0.040172387795695985,3.0,65.0
27,0.040172387795695985,3.0,66.0
28,0.040172387795695985,3.0,67.0
29,0.040172387795695985,3.0,68.0
30,0.040172387795695985,3.0,69.0
31,0.06187104686908684,4.0,60.0
32,0.06187104686908684,4.0,61.0
33,0.06187104686908684,4.0,62.0
34,0.05918282671917918,4.0,63.0
35,0.05918282671917918,4.0,64.0
36,0.05920926136217941,4.0,65.0
37,0.05920926136217941,4.0,66.0
38,0.05920926136217941,4.0,67.0
39,0.05920926136217941,4.0,68.0
40,0.05920926136217941,4.0,69.0
41,0.1453244751362841,5.0,60.0
42,0.1453244751362841,5.0,61.0
43,0.1453244751362841,5.0,62.0
44,0.14263625498637644,5.0,63.0
45,0.14263625498637644,5.0,64.0
46,0.14265457110544233,5.0,65.0
47,0.14265510336447818,5.0,66.0
48,0.1426306227424129,5.0,67.0
49,0.1426306227424129,5.0,68.0
50,0.1425568180786254,5.0,69.0
51,0.1722011463418066,6.0,60.0
52,0.16854922190606336,6.0,61.0
53,0.16718850640741967,6.0,62.0
54,0.16450028625751212,6.0,63.0
55,0.16438076979570437,6.0,64.0
