,score,i,j
0,0.0,0.0,0.0
1,-0.011473203443092883,50.0,31.0
2,-0.009959399610031783,50.0,32.0
3,-0.008700136615658938,50.0,33.0
4,-0.007515586875564084,50.0,34.0
5,-0.008720350104203689,50.0,35.0
6,-0.009255714029406503,50.0,36.0
7,-0.01013617201201722,50.0,37.0
8,-0.009146625422071786,50.0,38.0
9,-0.00870610887553891,50.0,39.0
10,-0.010691223386992244,51.0,31.0
11,-0.009192899995392967,51.0,32.0
12,-0.007955484680413072,51.0,33.0
13,-0.006783099126710379,51.0,34.0
14,-0.007989991181328149,51.0,35.0
15,-0.008894577963883155,51.0,36.0
16,-0.007914595100200428,51.0,37.0
17,-0.008367860000067395,51.0,38.0
18,-0.0076658903395590006,51.0,39.0
19,-0.009220624399798538,52.0,31.0
20,-0.007934149009411584,52.0,32.0
21,-0.006590302936481329,52.0,33.0
22,-0.008375588594700556,52.0,34.0
23,-0.009378213701144222,52.0,35.0
24,-0.007979209271313792,52.0,36.0
25,-0.008429514182975328,52.0,37.0
26,-0.008201211894523164,52.0,38.0
27,-0.009180188391880506,52.0,39.0
28,-0.009286556293369053,53.0,31.0
29,-0.008015758552404773,53.0,32.0
30,-0.006647218625984275,53.0,33.0
31,-0.0056698998291837555,53.0,34.0
32,-0.006059781287397037,53.0,35.0
33,-0.00719295867841252,53.0,36.0
34,-0.008185842528656506,53.0,37.0
35,-0.007155788252706685,53.0,38.0
36,-0.007903367714141352,53.0,39.0
37,-0.009334238488822866,54.0,31.0
38,-0.008045315825936816,54.0,32.0
39,-0.00668108893012942,54.0,33.0
40,-0.005703468974797232,54.0,34.0
41,-0.006078481810483094,54.0,35.0
42,-0.007196698610057339,54.0,36.0
43,-0.008189160665349915,54.0,37.0
44,-0.007155334236693456,54.0,38.0
45,-0.008924174068408508,54.0,39.0
46,-0.00933752302123314,55.0,31.0
47,-0.008048101679185127,55.0,32.0
48,-0.006686304119419395,55.0,33.0
49,-0.005710311725133144,55.0,34.0
50,-0.006080584986799087,55.0,35.0
51,-0.006200160136534016,55.0,36.0
52,-0.007222144648612039,55.0,37.0
53,-0.006193897491369116,55.0,38.0
54,-0.006181670395938088,55.0,39.0
55,-0.00933752302123314,56.0,31.0
56,-0.008048101679185127,56.0,32.0
57,-0.006686304119419395,56.0,33.0
58,-0.005710311725133144,56.0,34.0
59,-0.006080584986799087,56.0,35.0
60,-0.006200160136533794,56.0,36.0
61,-0.007222144648612039,56.0,37.0
62,-0.006193897491369116,56.0,38.0
63,-0.00618167039593831,56.0,39.0
64,-0.00925248240739407,57.0,31.0
65,-0.007927450422365423,57.0,32.0
66,-0.006567351425045276,57.0,33.0
67,-0.0055945540623878465,57.0,34.0
68,-0.0060382837210331,57.0,35.0
69,-0.007061640974906247,57.0,36.0
70,-0.00596193955306612,57.0,37.0
71,-0.005960637362676824,57.0,38.0
72,-0.005930054414748032,57.0,39.0
73,-0.00883748161811515,58.0,31.0
74,-0.007468730510608035,58.0,32.0
75,-0.006056382245349656,58.0,33.0
76,-0.004870266862218475,58.0,34.0
77,-0.005882413327644054,58.0,35.0
78,-0.004487011482045444,58.0,36.0
79,-0.004462492054524203,58.0,37.0
80,-0.003470140837750879,58.0,38.0
81,-0.004935034933372773,58.0,39.0
82,-0.00883761594295196,59.0,31.0
83,-0.00743944654124129,59.0,32.0
84,-0.006232675455252412,59.0,33.0
85,-0.004984603087544004,59.0,34.0
86,-0.005233412389975101,59.0,35.0
87,-0.00623347589743406,59.0,36.0
88,-0.004932027183345289,59.0,37.0
89,-0.006675210932546749,59.0,38.0
90,-0.006016584048704088,59.0,39.0
91,-0.007796101018493928,60.0,31.0
92,-0.006416774188401808,60.0,32.0
93,-0.005229472381173883,60.0,33.0
94,-0.003994988517273201,60.0,34.0
95,-0.004239956438498282,60.0,35.0
96,-0.0052614991815747025,60.0,36.0
97,-0.0040067369683298715,60.0,37.0
98,-0.005876650346836154,60.0,38.0
99,-0.0049020815730802525,60.0,39.0
100,-0.00745818310857449,61.0,31.0
101,-0.005950275903086277,61.0,32.0
102,-0.004731465213492658,61.0,33.0
103,-0.003542996691776157,61.0,34.0
104,-0.0035986611748035635,61.0,35.0
105,-0.002347023179036789,61.0,36.0
106,-0.0033823807948687445,61.0,37.0
107,-0.0024400485718911735,61.0,38.0
108,-0.0034536255679864514,61.0,39.0
109,-0.007759637917279072,62.0,31.0
110,-0.006233473724210681,62.0,32.0
111,-0.005016731367849081,62.0,33.0
112,-0.003811261312461456,62.0,34.0
113,-0.0038810405901028577,62.0,35.0
114,-0.0026123855140658403,62.0,36.0
115,-0.003641997842626754,62.0,37.0
116,-0.0026929058683160534,62.0,38.0
117,-0.0036760992255693292,62.0,39.0
118,-0.007759637917279072,63.0,31.0
119,-0.006233473724210681,63.0,32.0
120,-0.005016731367849081,63.0,33.0
121,-0.003811261312461234,63.0,34.0
122,-0.0038810405901030798,63.0,35.0
123,-0.0026123855140658403,63.0,36.0
124,-0.003641997842626976,63.0,37.0
125,-0.0026929058683162754,63.0,38.0
126,-0.0036760992255693292,63.0,39.0
127,-0.008569176766336062,64.0,31.0
128,-0.007134714907472972,64.0,32.0
129,-0.005622815609335641,64.0,33.0
130,-0.004269154473067305,64.0,34.0
131,-0.0037449539428733303,64.0,35.0
132,-0.002698892070812864,64.0,36.0
133,-0.0027503624465712306,64.0,37.0
134,-0.004058417729362995,64.0,38.0
135,-0.005018353180814561,64.0,39.0
136,-0.008262938427768152,65.0,31.0
137,-0.006729883916849699,65.0,32.0
138,-0.005514294240554607,65.0,33.0
139,-0.003979576425599873,65.0,34.0
140,-0.004237200603330882,65.0,35.0
141,-0.005192533968412016,65.0,36.0
142,-0.003927247276455548,65.0,37.0
143,-0.004308800840528537,65.0,38.0
144,-0.003364843107356519,65.0,39.0
145,-0.008259692536202845,66.0,31.0
146,-0.0067267702288968945,66.0,32.0
147,-0.005510974969907156,66.0,33.0
148,-0.0039763438682460794,66.0,34.0
149,-0.0042340904536393165,66.0,35.0
150,-0.005189173203373976,66.0,36.0
151,-0.003923936471940559,66.0,37.0
152,-0.004305452682356714,66.0,38.0
153,-0.0033613276472852505,66.0,39.0
154,-0.010160269714411196,67.0,31.0
155,-0.008759813540514472,67.0,32.0
156,-0.007476967482544117,67.0,33.0
157,-0.006105142222330162,67.0,34.0
158,-0.006462873883847475,67.0,35.0
159,-0.005353420837722833,67.0,36.0
160,-0.004685660604147657,67.0,37.0
161,-0.0039554730492668,67.0,38.0
162,-0.004476691848954939,67.0,39.0
163,-0.010162807507547944,68.0,31.0
164,-0.008761589079714804,68.0,32.0
165,-0.007509888222713146,68.0,33.0
166,-0.006138068551490017,68.0,34.0
167,-0.006479697707145293,68.0,35.0
168,-0.005370488601459833,68.0,36.0
169,-0.004697617177179536,68.0,37.0
170,-0.003966519606555474,68.0,38.0
171,-0.004450164068335205,68.0,39.0
172,-0.01037349852095959,69.0,31.0
173,-0.00857181886565983,69.0,32.0
174,-0.007360512989158741,69.0,33.0
175,-0.005909383311264005,69.0,34.0
176,-0.006140348550414787,69.0,35.0
177,-0.006857069328784826,69.0,36.0
178,-0.005707236579698849,69.0,37.0
179,-0.006067354320224094,69.0,38.0
180,-0.005426380539344633,69.0,39.0
181,-0.009969504062034229,70.0,31.0
182,-0.010427136910458934,70.0,32.0
183,-0.009223788887102069,70.0,33.0
184,-0.007747204321848278,70.0,34.0
185,-0.006709175453143645,70.0,35.0
186,-0.005526781381592238,70.0,36.0
187,-0.006041763856950322,70.0,37.0
188,-0.005340983721815906,70.0,38.0
189,-0.006199355808248708,70.0,39.0
190,-0.008368491385711163,71.0,31.0
191,-0.007425250439835551,71.0,32.0
192,-0.006099437146967812,71.0,33.0
193,-0.004543205359806679,71.0,34.0
194,-0.005006526887992413,71.0,35.0
195,-0.005939675522262267,71.0,36.0
196,-0.005342943196375183,71.0,37.0
197,-0.004264166871010611,71.0,38.0
198,-0.004742392391332784,71.0,39.0
199,-0.005848784081610825,72.0,31.0
200,-0.004115064386709166,72.0,32.0
201,-0.002897073381365134,72.0,33.0
202,-0.0015065573856665182,72.0,34.0
203,-0.0017122635833040079,72.0,35.0
204,-0.0008940374251722449,72.0,36.0
205,-0.0016448030019031723,72.0,37.0
206,-0.0003836354751358684,72.0,38.0
207,-0.0014023025315355042,72.0,39.0
208,-0.0055045420576098625,73.0,31.0
209,-0.004210384280502133,73.0,32.0
210,-0.0026957773174398625,73.0,33.0
211,-0.0019885464478410775,73.0,34.0
212,-0.0021912482583599235,73.0,35.0
213,-0.0013887000498253865,73.0,36.0
214,-0.0021541871020602787,73.0,37.0
215,-0.0010677598770827412,73.0,38.0
216,-0.0021199970568737125,73.0,39.0
217,-0.007680573955509695,74.0,31.0
218,-0.0064781160374587365,74.0,32.0
219,-0.006881496032224987,74.0,33.0
220,-0.005787475201468828,74.0,34.0
221,-0.004565256712678156,74.0,35.0
222,-0.004989641229242947,74.0,36.0
223,-0.005846082079309811,74.0,37.0
224,-0.00494432530624378,74.0,38.0
225,-0.003739941304655714,74.0,39.0
226,-0.009480787886091857,75.0,31.0
227,-0.008089087695256847,75.0,32.0
228,-0.006556956730031649,75.0,33.0
229,-0.005186927086993531,75.0,34.0
230,-0.005322167634876918,75.0,35.0
231,-0.004294410023523598,75.0,36.0
232,-0.003055552890418589,75.0,37.0
233,-0.003987379174785088,75.0,38.0
234,-0.003221945831762829,75.0,39.0
235,-0.009480787886092079,76.0,31.0
236,-0.008089087695256847,76.0,32.0
237,-0.006556956730031649,76.0,33.0
238,-0.005186927086993531,76.0,34.0
239,-0.005322167634876918,76.0,35.0
240,-0.004294410023523598,76.0,36.0
241,-0.003055552890418589,76.0,37.0
242,-0.003987379174785088,76.0,38.0
243,-0.003221945831762829,76.0,39.0
244,-0.009480787886092079,77.0,31.0
245,-0.008089087695256847,77.0,32.0
246,-0.006636390376675294,77.0,33.0
247,-0.00533797847472961,77.0,34.0
248,-0.005472233656289793,77.0,35.0
249,-0.004440845081669087,77.0,36.0
250,-0.0032036566017790147,77.0,37.0
251,-0.004138561817973674,77.0,38.0
252,-0.0033736052471451394,77.0,39.0
253,-0.009476296756536051,78.0,31.0
254,-0.008084480529788385,78.0,32.0
255,-0.006631864999298465,78.0,33.0
256,-0.005333526881568851,78.0,34.0
257,-0.005467881268455432,78.0,35.0
258,-0.004436338793945005,78.0,36.0
259,-0.003199183392103011,78.0,37.0
260,-0.004134122649531058,78.0,38.0
261,-0.0033692043460404886,78.0,39.0
262,-0.009471421716824358,79.0,31.0
263,-0.008079505377047047,79.0,32.0
264,-0.00662693199922848,79.0,33.0
265,-0.005328631832981712,79.0,34.0
266,-0.005463027302299528,79.0,35.0
267,-0.004431360677233265,79.0,36.0
268,-0.003194227297932617,79.0,37.0
269,-0.004129172807174841,79.0,38.0
270,-0.003364282627973836,79.0,39.0
271,-0.011205728665586667,80.0,31.0
272,-0.009786224148593092,80.0,32.0
273,-0.008286686086511397,80.0,33.0
274,-0.00841869194357181,80.0,34.0
275,-0.007278571721249794,80.0,35.0
276,-0.005858541704413911,80.0,36.0
277,-0.0067935521246547115,80.0,37.0
278,-0.005883693985925698,80.0,38.0
279,-0.006155012727000031,80.0,39.0
280,-0.011362255786787179,81.0,31.0
281,-0.009952147194616456,81.0,32.0
282,-0.008448434072473532,81.0,33.0
283,-0.00885620936404452,81.0,34.0
284,-0.007805661837063216,81.0,35.0
285,-0.006760043825057904,81.0,36.0
286,-0.007646846552585185,81.0,37.0
287,-0.006358438506698372,81.0,38.0
288,-0.005664105542394715,81.0,39.0
289,-0.011542129366665765,82.0,31.0
290,-0.010132122226198526,82.0,32.0
291,-0.008709579900032516,82.0,33.0
292,-0.00886275635723588,82.0,34.0
293,-0.007812418961417045,82.0,35.0
294,-0.006843096856266717,82.0,36.0
295,-0.007714732473733221,82.0,37.0
296,-0.006486726487662908,82.0,38.0
297,-0.005804581957254307,82.0,39.0
298,-0.0075823437479869416,83.0,31.0
299,-0.00612437862721138,83.0,32.0
300,-0.004719825484241991,83.0,33.0
301,-0.00402379043665535,83.0,34.0
302,-0.004534747214981261,83.0,35.0
303,-0.003453965703067219,83.0,36.0
304,-0.0026030744479323964,83.0,37.0
305,-0.0030670135459511805,83.0,38.0
306,-0.003086716506119025,83.0,39.0
307,-0.007583529062533456,84.0,31.0
308,-0.006123961902812836,84.0,32.0
309,-0.0048161187772131075,84.0,33.0
310,-0.0040903768756916925,84.0,34.0
311,-0.004530423124981642,84.0,35.0
312,-0.0034491259491953308,84.0,36.0
313,-0.002708423008498162,84.0,37.0
314,-0.0031208083724849622,84.0,38.0
315,-0.003979479458219304,84.0,39.0
316,-0.007465712632876764,85.0,31.0
317,-0.0072539103901927415,85.0,32.0
318,-0.0057229082739831405,85.0,33.0
319,-0.005884644918776605,85.0,34.0
320,-0.004707916945946966,85.0,35.0
321,-0.005212656261870174,85.0,36.0
322,-0.004273296530185933,85.0,37.0
323,-0.003567116028575734,85.0,38.0
324,-0.0025670132027011405,85.0,39.0
325,-0.006907167134869718,86.0,31.0
326,-0.005439349856585229,86.0,32.0
327,-0.004626820186593772,86.0,33.0
328,-0.004952234458732496,86.0,34.0
329,-0.003837399230960159,86.0,35.0
330,-0.004121804599021672,86.0,36.0
331,-0.0033622300975084674,86.0,37.0
332,-0.002289621340538117,86.0,38.0
333,-0.003301940134229797,86.0,39.0
334,-0.00698085102118462,87.0,31.0
335,-0.005512578537921531,87.0,32.0
336,-0.004708714539327419,87.0,33.0
337,-0.005033941835725919,87.0,34.0
338,-0.003918591774817681,87.0,35.0
339,-0.004202142086154659,87.0,36.0
340,-0.0034842215708166258,87.0,37.0
341,-0.002444799080001614,87.0,38.0
342,-0.003458659482844073,87.0,39.0
343,-0.006951360506244786,88.0,31.0
344,-0.005502326411273684,88.0,32.0
345,-0.004698988927321457,88.0,33.0
346,-0.004999765879004858,88.0,34.0
347,-0.003884665909112517,88.0,35.0
348,-0.004165717709199823,88.0,36.0
349,-0.0034112610610537164,88.0,37.0
350,-0.0023364733897506262,88.0,38.0
351,-0.003353172668326021,88.0,39.0
352,-0.00826829592517897,89.0,31.0
353,-0.006801584172143382,89.0,32.0
354,-0.005840920973974262,89.0,33.0
355,-0.0061290218734957325,89.0,34.0
356,-0.005151035302461304,89.0,35.0
357,-0.004361531907262739,89.0,36.0
358,-0.005004478539090806,89.0,37.0
359,-0.003914070819401427,89.0,38.0
360,-0.004709778824016686,89.0,39.0
361,-0.008221229869171065,90.0,31.0
362,-0.0067553908986921485,90.0,32.0
363,-0.005795189261945888,90.0,33.0
364,-0.006083169936568655,90.0,34.0
365,-0.005106405314019069,90.0,35.0
366,-0.004279041343890899,90.0,36.0
367,-0.004921777352632439,90.0,37.0
368,-0.0038040374347019235,90.0,38.0
369,-0.004599507918928936,90.0,39.0
370,-0.010487852838794387,91.0,31.0
371,-0.00901035110884818,91.0,32.0
372,-0.007507443993411522,91.0,33.0
373,-0.00797112274432421,91.0,34.0
374,-0.00714959977915397,91.0,35.0
375,-0.006383677815044786,91.0,36.0
376,-0.005428442685561752,91.0,37.0
377,-0.004416900150237435,91.0,38.0
378,-0.005211902647070499,91.0,39.0
379,-0.009705270348815409,92.0,31.0
380,-0.008650444277386704,92.0,32.0
381,-0.00874305979351675,92.0,33.0
382,-0.0075646052121012275,92.0,34.0
383,-0.005796979459269602,92.0,35.0
384,-0.006276742787785672,92.0,36.0
385,-0.005328940413836802,92.0,37.0
386,-0.004233146969265578,92.0,38.0
387,-0.005352428037151746,92.0,39.0
388,-0.00960790065387318,93.0,31.0
389,-0.00858318115250789,93.0,32.0
390,-0.008693773634468549,93.0,33.0
391,-0.007668888720459455,93.0,34.0
392,-0.007892860541657276,93.0,35.0
393,-0.00768012465102319,93.0,36.0
394,-0.00820437330552215,93.0,37.0
395,-0.009010039387652213,93.0,38.0
396,-0.007887468994665303,93.0,39.0
397,-0.010000718351007354,94.0,31.0
398,-0.008245580151835519,94.0,32.0
399,-0.008529399860220277,94.0,33.0
400,-0.007365005711466477,94.0,34.0
401,-0.007692383978760375,94.0,35.0
402,-0.008168602308217254,94.0,36.0
403,-0.0072415610363425476,94.0,37.0
404,-0.006530978662709241,94.0,38.0
405,-0.007604434113214431,94.0,39.0
406,-0.006894552447404445,95.0,31.0
407,-0.006605464228035762,95.0,32.0
408,-0.0053411316909433015,95.0,33.0
409,-0.003471319623369995,95.0,34.0
410,-0.003993912140280109,95.0,35.0
411,-0.004358098035757374,95.0,36.0
412,-0.004207361699631873,95.0,37.0
413,-0.0032337616839919203,95.0,38.0
414,-0.004010133947869088,95.0,39.0
415,-0.006854272207168055,96.0,31.0
416,-0.006564939995206576,96.0,32.0
417,-0.004598511433900221,96.0,33.0
418,-0.004893141476401297,96.0,34.0
419,-0.0036489499231948663,96.0,35.0
420,-0.0027280270376004445,96.0,36.0
421,-0.003116020910196138,96.0,37.0
422,-0.004181498202976863,96.0,38.0
423,-0.003158340263446746,96.0,39.0
424,-0.006823424553638047,97.0,31.0
425,-0.00572950734829436,97.0,32.0
426,-0.0061012414332626275,97.0,33.0
427,-0.004805200955763755,97.0,34.0
428,-0.0039643264962350155,97.0,35.0
429,-0.0050005295633199776,97.0,36.0
430,-0.004375511423688083,97.0,37.0
431,-0.005225094722983936,97.0,38.0
432,-0.0036553647481536444,97.0,39.0
433,-0.009128034684712683,98.0,31.0
434,-0.00806921776509828,98.0,32.0
435,-0.00671286985652797,98.0,33.0
436,-0.00663503436168944,98.0,34.0
437,-0.005510256957671489,98.0,35.0
438,-0.004730095177218452,98.0,36.0
439,-0.0040909926096968086,98.0,37.0
440,-0.005130140848239373,98.0,38.0
441,-0.004090189499114771,98.0,39.0
442,-0.008014054481179533,99.0,31.0
