,score,i,j
0,0.0,0.0,0.0
1,0.3727718410378945,50.0,31.0
2,0.3723686492706073,50.0,32.0
3,0.3693683664343389,50.0,33.0
4,0.37725768717596564,50.0,34.0
5,0.3738734576525078,50.0,35.0
6,0.3735371266700164,50.0,36.0
7,0.3783710842382181,50.0,37.0
8,0.37594137464029487,50.0,38.0
9,0.37414089828112296,50.0,39.0
10,0.3715921090288302,51.0,31.0
11,0.3702375457886077,51.0,32.0
12,0.3726843497674449,51.0,33.0
13,0.3694505294150149,51.0,34.0
14,0.3763109662993628,51.0,35.0
15,0.3737067981799619,51.0,36.0
16,0.37121000279194705,51.0,37.0
17,0.37115202302653594,51.0,38.0
18,0.3699393529680923,51.0,39.0
19,0.38503174539175034,52.0,31.0
20,0.38702178834028955,52.0,32.0
21,0.38459942437247263,52.0,33.0
22,0.3814925935442177,52.0,34.0
23,0.3792131197052512,52.0,35.0
24,0.3770734050072132,52.0,36.0
25,0.38387487620068417,52.0,37.0
26,0.38067894920717404,52.0,38.0
27,0.37835446979800524,52.0,39.0
28,0.38379555946249444,53.0,31.0
29,0.38622869747806,53.0,32.0
30,0.3839341338971426,53.0,33.0
31,0.38355044148583284,53.0,34.0
32,0.3857748298975139,53.0,35.0
33,0.3834018525743299,53.0,36.0
34,0.3821583320223675,53.0,37.0
35,0.3891627639201668,53.0,38.0
36,0.388092913659827,53.0,39.0
37,0.3853491139604025,54.0,31.0
38,0.3851806113328652,54.0,32.0
39,0.38198697122170966,54.0,33.0
40,0.38451656769966036,54.0,34.0
41,0.38217359000815654,54.0,35.0
42,0.3819777325107142,54.0,36.0
43,0.38638352758055927,54.0,37.0
44,0.38384310737480376,54.0,38.0
45,0.39102102697215313,54.0,39.0
46,0.38323432178290495,55.0,31.0
47,0.3825205535073247,55.0,32.0
48,0.3808651602531017,55.0,33.0
49,0.3886815477076916,55.0,34.0
50,0.3864334141792114,55.0,35.0
51,0.38405774003895266,55.0,36.0
52,0.3813595486096161,55.0,37.0
53,0.3788651157296453,55.0,38.0
54,0.3819031144077203,55.0,39.0
55,0.3875611838380544,56.0,31.0
56,0.38498435420567556,56.0,32.0
57,0.38808073461586434,56.0,33.0
58,0.3875428990555868,56.0,34.0
59,0.3854294140698481,56.0,35.0
60,0.382931414400848,56.0,36.0
61,0.3802572090367582,56.0,37.0
62,0.3876765568791125,56.0,38.0
63,0.38644816146698757,56.0,39.0
64,0.39241970980787766,57.0,31.0
65,0.3919805451331264,57.0,32.0
66,0.3902797329356835,57.0,33.0
67,0.39324916199259496,57.0,34.0
68,0.39091230794885945,57.0,35.0
69,0.3881096488667629,57.0,36.0
70,0.38711721948826705,57.0,37.0
71,0.3938897956329789,57.0,38.0
72,0.39228825313911886,57.0,39.0
73,0.3797492109114232,58.0,31.0
74,0.38770367932156014,58.0,32.0
75,0.3848790348524903,58.0,33.0
76,0.3824561728649313,58.0,34.0
77,0.3856082808459028,58.0,35.0
78,0.3843567174877177,58.0,36.0
79,0.3841222444139192,58.0,37.0
80,0.38873877710031124,58.0,38.0
81,0.38725901872189894,58.0,39.0
82,0.3866655142563955,59.0,31.0
83,0.38625533145291124,59.0,32.0
84,0.3845401766563429,59.0,33.0
85,0.39096891934236533,59.0,34.0
86,0.3882755568894829,59.0,35.0
87,0.3854600535676139,59.0,36.0
88,0.38526074723443626,59.0,37.0
89,0.3901167573270704,59.0,38.0
90,0.3890002909737095,59.0,39.0
91,0.3858199259791901,60.0,31.0
92,0.38908963508434935,60.0,32.0
93,0.38628795510570124,60.0,33.0
94,0.3839030694718911,60.0,34.0
95,0.3925021448716096,60.0,35.0
96,0.390793213778992,60.0,36.0
97,0.3890612276680704,60.0,37.0
98,0.3950509905459736,60.0,38.0
99,0.3927047061547657,60.0,39.0
100,0.40191927354661683,61.0,31.0
101,0.3994833394731766,61.0,32.0
102,0.40180557338544276,61.0,33.0
103,0.4011583583385585,61.0,34.0
104,0.39864158653604187,61.0,35.0
105,0.4033866083360462,61.0,36.0
106,0.40056126403127945,61.0,37.0
107,0.40680957894155956,61.0,38.0
108,0.4051561856962188,61.0,39.0
109,0.3956465359698277,62.0,31.0
110,0.4003728598180558,62.0,32.0
111,0.4000477499519117,62.0,33.0
112,0.40312753981468896,62.0,34.0
113,0.40172973858545424,62.0,35.0
114,0.39943971202967343,62.0,36.0
115,0.4022092709042998,62.0,37.0
116,0.4010038597227433,62.0,38.0
117,0.40539788706572744,62.0,39.0
118,0.403178345984485,63.0,31.0
119,0.40307134057679106,63.0,32.0
120,0.4093913882763791,63.0,33.0
121,0.4078787698438703,63.0,34.0
122,0.4072189523168649,63.0,35.0
123,0.4057472403272847,63.0,36.0
124,0.41046598150823943,63.0,37.0
125,0.4085542258069944,63.0,38.0
126,0.4143866280197894,63.0,39.0
127,0.40437614990819826,64.0,31.0
128,0.4023938581644525,64.0,32.0
129,0.39980573178950085,64.0,33.0
130,0.4023206726323596,64.0,34.0
131,0.4019793266107655,64.0,35.0
132,0.4003161659920117,64.0,36.0
133,0.40304576863176655,64.0,37.0
134,0.4018205461138109,64.0,38.0
135,0.406811417146726,64.0,39.0
136,0.3996197522997137,65.0,31.0
137,0.4058051396521519,65.0,32.0
138,0.40532833571203963,65.0,33.0
139,0.4036287991138334,65.0,34.0
140,0.40900565016974766,65.0,35.0
141,0.40492801434460624,65.0,36.0
142,0.40269840099675713,65.0,37.0
143,0.40312426488030406,65.0,38.0
144,0.40920499220816153,65.0,39.0
145,0.39992721164172484,66.0,31.0
146,0.40611545061553245,66.0,32.0
147,0.4056232705679653,66.0,33.0
148,0.4039199817404915,66.0,34.0
149,0.4093021043372205,66.0,35.0
150,0.40521104094768956,66.0,36.0
151,0.40298619098271315,66.0,37.0
152,0.40339852662018383,66.0,38.0
153,0.4094608001696438,66.0,39.0
154,0.3994909533190666,67.0,31.0
155,0.40565650493527516,67.0,32.0
156,0.4051718478694498,67.0,33.0
157,0.4035166660257622,67.0,34.0
158,0.408883356098664,67.0,35.0
159,0.4047624650253975,67.0,36.0
160,0.40249391809697943,67.0,37.0
161,0.4028983881338738,67.0,38.0
162,0.40900189330588677,67.0,39.0
163,0.40747719219249023,68.0,31.0
164,0.4042113776232379,68.0,32.0
165,0.40239037393966726,68.0,33.0
166,0.4036598978480246,68.0,34.0
167,0.40140015983696054,68.0,35.0
168,0.40099204465000327,68.0,36.0
169,0.4037833235134122,68.0,37.0
170,0.400277874364964,68.0,38.0
171,0.40594902667300636,68.0,39.0
172,0.4025433908329462,69.0,31.0
173,0.3997472957017377,69.0,32.0
174,0.40140062659509157,69.0,33.0
175,0.40108391660820675,69.0,34.0
176,0.4039284145558788,69.0,35.0
177,0.40352957557602653,69.0,36.0
178,0.4092110252497032,69.0,37.0
179,0.40754029858728125,69.0,38.0
180,0.4045435745715209,69.0,39.0
181,0.40410433746043983,70.0,31.0
182,0.4022428487750642,70.0,32.0
183,0.4035868698575583,70.0,33.0
184,0.4034252604711239,70.0,34.0
185,0.4009782503486965,70.0,35.0
186,0.4039103712954133,70.0,36.0
187,0.4022667357438324,70.0,37.0
188,0.4089315239191924,70.0,38.0
189,0.4051528164295558,70.0,39.0
190,0.40580871697408827,71.0,31.0
191,0.40401367161967283,71.0,32.0
192,0.4062186132613652,71.0,33.0
193,0.4058061196743439,71.0,34.0
194,0.4053955877252453,71.0,35.0
195,0.4103699527452638,71.0,36.0
196,0.4063973177008029,71.0,37.0
197,0.40429761452818413,71.0,38.0
198,0.41057415381165696,71.0,39.0
199,0.41696405620246113,72.0,31.0
200,0.4139565229383332,72.0,32.0
201,0.4166458771043481,72.0,33.0
202,0.4141421284941542,72.0,34.0
203,0.4170682389220345,72.0,35.0
204,0.4149587985680576,72.0,36.0
205,0.4196921965455105,72.0,37.0
206,0.41582343722229176,72.0,38.0
207,0.41210261192317765,72.0,39.0
208,0.41304711981945486,73.0,31.0
209,0.4159694199286782,73.0,32.0
210,0.4156857105170503,73.0,33.0
211,0.41824017533764557,73.0,34.0
212,0.41760388020539196,73.0,35.0
213,0.4160921202818174,73.0,36.0
214,0.4191344080619661,73.0,37.0
215,0.41535332960859805,73.0,38.0
216,0.41387363899974217,73.0,39.0
217,0.42417084031584773,74.0,31.0
218,0.4225100221645609,74.0,32.0
219,0.42501061074848856,74.0,33.0
220,0.4218083596368353,74.0,34.0
221,0.42024808590049445,74.0,35.0
222,0.42218295155805685,74.0,36.0
223,0.4197400359080209,74.0,37.0
224,0.4194184338939754,74.0,38.0
225,0.4215445926404733,74.0,39.0
226,0.41529822194991173,75.0,31.0
227,0.41345482023904756,75.0,32.0
228,0.41348733469848187,75.0,33.0
229,0.4167287628019427,75.0,34.0
230,0.41427644076870895,75.0,35.0
231,0.4127836107258146,75.0,36.0
232,0.4175343285210664,75.0,37.0
233,0.4152522516559558,75.0,38.0
234,0.41563239562688536,75.0,39.0
235,0.4200010798449686,76.0,31.0
236,0.41824847812252397,76.0,32.0
237,0.41801869441512973,76.0,33.0
238,0.4195320518440754,76.0,34.0
239,0.417850655662767,76.0,35.0
240,0.4221970102600453,76.0,36.0
241,0.4197581245626715,76.0,37.0
242,0.4192179571114728,76.0,38.0
243,0.41701340027829525,76.0,39.0
244,0.4162819621112611,77.0,31.0
245,0.421290523217301,77.0,32.0
246,0.417331797250739,77.0,33.0
247,0.4170833655899011,77.0,34.0
248,0.41866891364570136,77.0,35.0
249,0.4148674685440521,77.0,36.0
250,0.41908271512813255,77.0,37.0
251,0.4166562655532432,77.0,38.0
252,0.41299305660490215,77.0,39.0
253,0.4257723296801257,78.0,31.0
254,0.4262890642953483,78.0,32.0
255,0.42550054936454984,78.0,33.0
256,0.4238757627722367,78.0,34.0
257,0.42621686131717174,78.0,35.0
258,0.4238974783884273,78.0,36.0
259,0.4216292279808491,78.0,37.0
