,score,i,j
0,0.0,0.0,0.0
1,0.43322292683925934,50.0,11.0
2,0.431014695220145,55.0,12.0
3,0.4326674358190592,60.0,13.0
4,0.43420741482750325,65.0,14.0
5,0.4330672503719172,70.0,15.0
6,0.43283050793865163,75.0,16.0
7,0.43328184275222537,80.0,17.0
8,0.4324029273281217,85.0,18.0
9,0.43419277953158664,90.0,19.0
10,0.43322292683925934,51.0,11.0
11,0.431014695220145,56.0,12.0
12,0.4326674358190592,61.0,13.0
13,0.43420741482750325,66.0,14.0
14,0.4330672503719172,71.0,15.0
15,0.43283050793865163,76.0,16.0
16,0.43328184275222537,81.0,17.0
17,0.4324029273281217,86.0,18.0
18,0.43419277953158664,91.0,19.0
19,0.43322292683925934,52.0,11.0
20,0.431014695220145,57.0,12.0
21,0.4326674358190592,62.0,13.0
22,0.43420741482750325,67.0,14.0
23,0.4330672503719172,72.0,15.0
24,0.43283050793865163,77.0,16.0
25,0.43328184275222537,82.0,17.0
26,0.4324029273281217,87.0,18.0
27,0.43419277953158664,92.0,19.0
28,0.43322292683925934,53.0,11.0
29,0.431014695220145,58.0,12.0
30,0.4326674358190592,63.0,13.0
31,0.43420741482750325,68.0,14.0
32,0.4330672503719172,73.0,15.0
33,0.43283050793865163,78.0,16.0
34,0.43328184275222537,83.0,17.0
35,0.4324029273281217,88.0,18.0
36,0.43419277953158664,93.0,19.0
37,0.43322292683925934,54.0,11.0
38,0.431014695220145,59.0,12.0
39,0.4326674358190592,64.0,13.0
40,0.43420741482750325,69.0,14.0
41,0.4330672503719172,74.0,15.0
42,0.43283050793865163,79.0,16.0
43,0.43328184275222537,84.0,17.0
44,0.4324029273281217,89.0,18.0
45,0.43419277953158664,94.0,19.0
46,0.43322292683925934,55.0,11.0
47,0.431014695220145,60.0,12.0
48,0.4326674358190592,65.0,13.0
49,0.43420741482750325,70.0,14.0
50,0.4330672503719172,75.0,15.0
51,0.43283050793865163,80.0,16.0
52,0.43328184275222537,85.0,17.0
53,0.4324029273281217,90.0,18.0
54,0.43419277953158664,95.0,19.0
55,0.43322292683925934,56.0,11.0
56,0.431014695220145,61.0,12.0
57,0.4326674358190592,66.0,13.0
58,0.43420741482750325,71.0,14.0
59,0.4330672503719172,76.0,15.0
60,0.43283050793865163,81.0,16.0
61,0.43328184275222537,86.0,17.0
62,0.4324029273281217,91.0,18.0
63,0.43419277953158664,96.0,19.0
64,0.43322292683925934,57.0,11.0
65,0.431014695220145,62.0,12.0
66,0.4326674358190592,67.0,13.0
67,0.43420741482750325,72.0,14.0
68,0.4330672503719172,77.0,15.0
69,0.43283050793865163,82.0,16.0
70,0.43328184275222537,87.0,17.0
71,0.4324029273281217,92.0,18.0
72,0.43419277953158664,97.0,19.0
73,0.43322292683925934,58.0,11.0
74,0.431014695220145,63.0,12.0
75,0.4326674358190592,68.0,13.0
76,0.43420741482750325,73.0,14.0
77,0.4330672503719172,78.0,15.0
78,0.43283050793865163,83.0,16.0
79,0.43328184275222537,88.0,17.0
80,0.4324029273281217,93.0,18.0
81,0.43419277953158664,98.0,19.0
82,0.43322292683925934,59.0,11.0
83,0.431014695220145,64.0,12.0
84,0.4326674358190592,69.0,13.0
85,0.43420741482750325,74.0,14.0
86,0.4330672503719172,79.0,15.0
87,0.43283050793865163,84.0,16.0
88,0.43328184275222537,89.0,17.0
89,0.4324029273281217,94.0,18.0
90,0.43419277953158664,99.0,19.0
91,0.43322292683925934,60.0,11.0
92,0.431014695220145,65.0,12.0
93,0.4326674358190592,70.0,13.0
94,0.43420741482750325,75.0,14.0
95,0.4330672503719172,80.0,15.0
96,0.43283050793865163,85.0,16.0
97,0.43328184275222537,90.0,17.0
98,0.4324029273281217,95.0,18.0
99,0.43419277953158664,100.0,19.0
100,0.43322292683925934,61.0,11.0
101,0.431014695220145,66.0,12.0
102,0.4326674358190592,71.0,13.0
103,0.43420741482750325,76.0,14.0
104,0.4330672503719172,81.0,15.0
105,0.43283050793865163,86.0,16.0
106,0.43328184275222537,91.0,17.0
107,0.4324029273281217,96.0,18.0
108,0.43419277953158664,101.0,19.0
109,0.43322292683925934,62.0,11.0
110,0.431014695220145,67.0,12.0
111,0.4326674358190592,72.0,13.0
112,0.43420741482750325,77.0,14.0
113,0.4330672503719172,82.0,15.0
114,0.43283050793865163,87.0,16.0
115,0.43328184275222537,92.0,17.0
116,0.4324029273281217,97.0,18.0
117,0.43419277953158664,102.0,19.0
118,0.43322292683925934,63.0,11.0
119,0.431014695220145,68.0,12.0
120,0.4326674358190592,73.0,13.0
121,0.43420741482750325,78.0,14.0
122,0.4330672503719172,83.0,15.0
123,0.43283050793865163,88.0,16.0
124,0.43328184275222537,93.0,17.0
125,0.4324029273281217,98.0,18.0
126,0.43419277953158664,103.0,19.0
127,0.43322292683925934,64.0,11.0
128,0.431014695220145,69.0,12.0
129,0.4326674358190592,74.0,13.0
130,0.43420741482750325,79.0,14.0
131,0.4330672503719172,84.0,15.0
132,0.43283050793865163,89.0,16.0
133,0.43328184275222537,94.0,17.0
134,0.4324029273281217,99.0,18.0
135,0.43419277953158664,104.0,19.0
136,0.43322292683925934,65.0,11.0
137,0.431014695220145,70.0,12.0
138,0.4326674358190592,75.0,13.0
139,0.43420741482750325,80.0,14.0
140,0.4330672503719172,85.0,15.0
141,0.43283050793865163,90.0,16.0
142,0.43328184275222537,95.0,17.0
143,0.4324029273281217,100.0,18.0
144,0.43419277953158664,105.0,19.0
145,0.43322292683925934,66.0,11.0
146,0.431014695220145,71.0,12.0
147,0.4326674358190592,76.0,13.0
148,0.43420741482750325,81.0,14.0
149,0.4330672503719172,86.0,15.0
150,0.43283050793865163,91.0,16.0
151,0.43328184275222537,96.0,17.0
152,0.4324029273281217,101.0,18.0
153,0.43419277953158664,106.0,19.0
154,0.43322292683925934,67.0,11.0
155,0.431014695220145,72.0,12.0
156,0.4326674358190592,77.0,13.0
157,0.43420741482750325,82.0,14.0
158,0.4330672503719172,87.0,15.0
159,0.43283050793865163,92.0,16.0
160,0.43328184275222537,97.0,17.0
161,0.4324029273281217,102.0,18.0
162,0.43419277953158664,107.0,19.0
163,0.43322292683925934,68.0,11.0
164,0.431014695220145,73.0,12.0
165,0.4326674358190592,78.0,13.0
166,0.43420741482750325,83.0,14.0
167,0.4330672503719172,88.0,15.0
168,0.43283050793865163,93.0,16.0
169,0.43328184275222537,98.0,17.0
170,0.4324029273281217,103.0,18.0
171,0.43419277953158664,108.0,19.0
172,0.43322292683925934,69.0,11.0
173,0.431014695220145,74.0,12.0
174,0.4326674358190592,79.0,13.0
175,0.43420741482750325,84.0,14.0
176,0.4330672503719172,89.0,15.0
177,0.43283050793865163,94.0,16.0
178,0.43328184275222537,99.0,17.0
179,0.4324029273281217,104.0,18.0
180,0.43419277953158664,109.0,19.0
181,0.43322292683925934,70.0,11.0
182,0.431014695220145,75.0,12.0
183,0.4326674358190592,80.0,13.0
184,0.43420741482750325,85.0,14.0
185,0.4330672503719172,90.0,15.0
186,0.43283050793865163,95.0,16.0
187,0.43328184275222537,100.0,17.0
188,0.4324029273281217,105.0,18.0
189,0.43419277953158664,110.0,19.0
190,0.43322292683925934,71.0,11.0
191,0.431014695220145,76.0,12.0
192,0.4326674358190592,81.0,13.0
193,0.43420741482750325,86.0,14.0
194,0.4330672503719172,91.0,15.0
195,0.43283050793865163,96.0,16.0
196,0.43328184275222537,101.0,17.0
197,0.4324029273281217,106.0,18.0
198,0.43419277953158664,111.0,19.0
199,0.43322292683925934,72.0,11.0
200,0.431014695220145,77.0,12.0
201,0.4326674358190592,82.0,13.0
202,0.43420741482750325,87.0,14.0
203,0.4330672503719172,92.0,15.0
204,0.43283050793865163,97.0,16.0
205,0.43328184275222537,102.0,17.0
206,0.4324029273281217,107.0,18.0
207,0.43419277953158664,112.0,19.0
208,0.43322292683925934,73.0,11.0
209,0.431014695220145,78.0,12.0
210,0.4326674358190592,83.0,13.0
211,0.43420741482750325,88.0,14.0
212,0.4330672503719172,93.0,15.0
213,0.43283050793865163,98.0,16.0
214,0.43328184275222537,103.0,17.0
215,0.4324029273281217,108.0,18.0
216,0.43419277953158664,113.0,19.0
217,0.43322292683925934,74.0,11.0
218,0.431014695220145,79.0,12.0
219,0.4326674358190592,84.0,13.0
220,0.43420741482750325,89.0,14.0
221,0.4330672503719172,94.0,15.0
222,0.43283050793865163,99.0,16.0
223,0.43328184275222537,104.0,17.0
224,0.4324029273281217,109.0,18.0
225,0.43419277953158664,114.0,19.0
226,0.43322292683925934,75.0,11.0
227,0.431014695220145,80.0,12.0
228,0.4326674358190592,85.0,13.0
229,0.43420741482750325,90.0,14.0
230,0.4330672503719172,95.0,15.0
231,0.43283050793865163,100.0,16.0
232,0.43328184275222537,105.0,17.0
233,0.4324029273281217,110.0,18.0
234,0.43419277953158664,115.0,19.0
235,0.43322292683925934,76.0,11.0
236,0.431014695220145,81.0,12.0
237,0.4326674358190592,86.0,13.0
238,0.43420741482750325,91.0,14.0
239,0.4330672503719172,96.0,15.0
240,0.43283050793865163,101.0,16.0
241,0.43328184275222537,106.0,17.0
242,0.4324029273281217,111.0,18.0
243,0.43419277953158664,116.0,19.0
244,0.43322292683925934,77.0,11.0
245,0.431014695220145,82.0,12.0
246,0.4326674358190592,87.0,13.0
247,0.43420741482750325,92.0,14.0
248,0.4330672503719172,97.0,15.0
249,0.43283050793865163,102.0,16.0
250,0.43328184275222537,107.0,17.0
251,0.4324029273281217,112.0,18.0
252,0.43419277953158664,117.0,19.0
253,0.43322292683925934,78.0,11.0
254,0.431014695220145,83.0,12.0
255,0.4326674358190592,88.0,13.0
256,0.43420741482750325,93.0,14.0
257,0.4330672503719172,98.0,15.0
258,0.43283050793865163,103.0,16.0
259,0.43328184275222537,108.0,17.0
260,0.4324029273281217,113.0,18.0
261,0.43419277953158664,118.0,19.0
262,0.43322292683925934,79.0,11.0
263,0.431014695220145,84.0,12.0
264,0.4326674358190592,89.0,13.0
265,0.43420741482750325,94.0,14.0
266,0.4330672503719172,99.0,15.0
267,0.43283050793865163,104.0,16.0
268,0.43328184275222537,109.0,17.0
269,0.4324029273281217,114.0,18.0
270,0.43419277953158664,119.0,19.0
271,0.43322292683925934,80.0,11.0
272,0.431014695220145,85.0,12.0
273,0.4326674358190592,90.0,13.0
274,0.43420741482750325,95.0,14.0
275,0.4330672503719172,100.0,15.0
276,0.43283050793865163,105.0,16.0
277,0.43328184275222537,110.0,17.0
278,0.4324029273281217,115.0,18.0
279,0.43419277953158664,120.0,19.0
280,0.43322292683925934,81.0,11.0
281,0.431014695220145,86.0,12.0
282,0.4326674358190592,91.0,13.0
283,0.43420741482750325,96.0,14.0
284,0.4330672503719172,101.0,15.0
285,0.43283050793865163,106.0,16.0
286,0.43328184275222537,111.0,17.0
287,0.4324029273281217,116.0,18.0
288,0.43419277953158664,121.0,19.0
289,0.43322292683925934,82.0,11.0
290,0.431014695220145,87.0,12.0
291,0.4326674358190592,92.0,13.0
292,0.43420741482750325,97.0,14.0
293,0.4330672503719172,102.0,15.0
294,0.43283050793865163,107.0,16.0
295,0.43328184275222537,112.0,17.0
296,0.4324029273281217,117.0,18.0
297,0.43419277953158664,122.0,19.0
298,0.43322292683925934,83.0,11.0
299,0.431014695220145,88.0,12.0
300,0.4326674358190592,93.0,13.0
301,0.43420741482750325,98.0,14.0
302,0.4330672503719172,103.0,15.0
303,0.43283050793865163,108.0,16.0
304,0.43328184275222537,113.0,17.0
305,0.4324029273281217,118.0,18.0
306,0.43419277953158664,123.0,19.0
307,0.43322292683925934,84.0,11.0
308,0.431014695220145,89.0,12.0
309,0.4326674358190592,94.0,13.0
310,0.43420741482750325,99.0,14.0
311,0.4330672503719172,104.0,15.0
312,0.43283050793865163,109.0,16.0
313,0.43328184275222537,114.0,17.0
314,0.4324029273281217,119.0,18.0
315,0.43419277953158664,124.0,19.0
316,0.43322292683925934,85.0,11.0
317,0.431014695220145,90.0,12.0
318,0.4326674358190592,95.0,13.0
319,0.43420741482750325,100.0,14.0
320,0.4330672503719172,105.0,15.0
321,0.43283050793865163,110.0,16.0
322,0.43328184275222537,115.0,17.0
323,0.4324029273281217,120.0,18.0
324,0.43419277953158664,125.0,19.0
325,0.43322292683925934,86.0,11.0
326,0.431014695220145,91.0,12.0
327,0.4326674358190592,96.0,13.0
328,0.43420741482750325,101.0,14.0
329,0.4330672503719172,106.0,15.0
330,0.43283050793865163,111.0,16.0
331,0.43328184275222537,116.0,17.0
332,0.4324029273281217,121.0,18.0
333,0.43419277953158664,126.0,19.0
334,0.43322292683925934,87.0,11.0
335,0.431014695220145,92.0,12.0
336,0.4326674358190592,97.0,13.0
337,0.43420741482750325,102.0,14.0
338,0.4330672503719172,107.0,15.0
339,0.43283050793865163,112.0,16.0
340,0.43328184275222537,117.0,17.0
341,0.4324029273281217,122.0,18.0
342,0.43419277953158664,127.0,19.0
343,0.43322292683925934,88.0,11.0
344,0.431014695220145,93.0,12.0
345,0.4326674358190592,98.0,13.0
346,0.43420741482750325,103.0,14.0
347,0.4330672503719172,108.0,15.0
348,0.43283050793865163,113.0,16.0
349,0.43328184275222537,118.0,17.0
350,0.4324029273281217,123.0,18.0
351,0.43419277953158664,128.0,19.0
352,0.43322292683925934,89.0,11.0
353,0.431014695220145,94.0,12.0
354,0.4326674358190592,99.0,13.0
355,0.43420741482750325,104.0,14.0
356,0.4330672503719172,109.0,15.0
357,0.43283050793865163,114.0,16.0
358,0.43328184275222537,119.0,17.0
359,0.4324029273281217,124.0,18.0
360,0.43419277953158664,129.0,19.0
361,0.43322292683925934,90.0,11.0
362,0.431014695220145,95.0,12.0
363,0.4326674358190592,100.0,13.0
364,0.43420741482750325,105.0,14.0
365,0.4330672503719172,110.0,15.0
366,0.43283050793865163,115.0,16.0
367,0.43328184275222537,120.0,17.0
368,0.4324029273281217,125.0,18.0
369,0.43419277953158664,130.0,19.0
370,0.43322292683925934,91.0,11.0
371,0.431014695220145,96.0,12.0
372,0.4326674358190592,101.0,13.0
373,0.43420741482750325,106.0,14.0
374,0.4330672503719172,111.0,15.0
375,0.43283050793865163,116.0,16.0
376,0.43328184275222537,121.0,17.0
377,0.4324029273281217,126.0,18.0
378,0.43419277953158664,131.0,19.0
379,0.43322292683925934,92.0,11.0
380,0.431014695220145,97.0,12.0
381,0.4326674358190592,102.0,13.0
382,0.43420741482750325,107.0,14.0
383,0.4330672503719172,112.0,15.0
384,0.43283050793865163,117.0,16.0
385,0.43328184275222537,122.0,17.0
386,0.4324029273281217,127.0,18.0
387,0.43419277953158664,132.0,19.0
388,0.43322292683925934,93.0,11.0
389,0.431014695220145,98.0,12.0
390,0.4326674358190592,103.0,13.0
