,score,i,j
0,0.0,0.0,0.0
1,0.1725008451118999,50.0,11.0
2,0.17453604551469892,55.0,12.0
3,0.17719413920092753,60.0,13.0
4,0.18173665968134933,65.0,14.0
5,0.18838080665307755,70.0,15.0
6,0.191354488481003,75.0,16.0
7,0.19197172062674084,80.0,17.0
8,0.1960017014424934,85.0,18.0
9,0.1995138536322998,90.0,19.0
10,0.1725008451118999,51.0,11.0
11,0.17453604551469892,56.0,12.0
12,0.17719413920092753,61.0,13.0
13,0.18173665968134933,66.0,14.0
14,0.18838080665307755,71.0,15.0
15,0.191354488481003,76.0,16.0
16,0.19197172062674084,81.0,17.0
17,0.1960017014424934,86.0,18.0
18,0.1995138536322998,91.0,19.0
19,0.1725008451118999,52.0,11.0
20,0.17453604551469892,57.0,12.0
21,0.17719413920092753,62.0,13.0
22,0.18173665968134933,67.0,14.0
23,0.18838080665307755,72.0,15.0
24,0.191354488481003,77.0,16.0
25,0.19197172062674084,82.0,17.0
26,0.1960017014424934,87.0,18.0
27,0.1995138536322998,92.0,19.0
28,0.1725008451118999,53.0,11.0
29,0.17453604551469892,58.0,12.0
30,0.17719413920092753,63.0,13.0
31,0.18173665968134933,68.0,14.0
32,0.18838080665307755,73.0,15.0
33,0.191354488481003,78.0,16.0
34,0.19197172062674084,83.0,17.0
35,0.1960017014424934,88.0,18.0
36,0.1995138536322998,93.0,19.0
37,0.1725008451118999,54.0,11.0
38,0.17453604551469892,59.0,12.0
39,0.17719413920092753,64.0,13.0
40,0.18173665968134933,69.0,14.0
41,0.18838080665307755,74.0,15.0
42,0.191354488481003,79.0,16.0
43,0.19197172062674084,84.0,17.0
44,0.1960017014424934,89.0,18.0
45,0.1995138536322998,94.0,19.0
46,0.1725008451118999,55.0,11.0
47,0.17453604551469892,60.0,12.0
48,0.17719413920092753,65.0,13.0
49,0.18173665968134933,70.0,14.0
50,0.18838080665307755,75.0,15.0
51,0.191354488481003,80.0,16.0
52,0.19197172062674084,85.0,17.0
53,0.1960017014424934,90.0,18.0
54,0.1995138536322998,95.0,19.0
55,0.1725008451118999,56.0,11.0
56,0.17453604551469892,61.0,12.0
57,0.17719413920092753,66.0,13.0
58,0.18173665968134933,71.0,14.0
59,0.18838080665307755,76.0,15.0
60,0.191354488481003,81.0,16.0
61,0.19197172062674084,86.0,17.0
62,0.1960017014424934,91.0,18.0
63,0.1995138536322998,96.0,19.0
64,0.1725008451118999,57.0,11.0
65,0.17453604551469892,62.0,12.0
66,0.17719413920092753,67.0,13.0
