,score,i,j
0,0.0,0.0,0.0
1,0.47578204786744405,50.0,11.0
2,0.4791218314491198,55.0,12.0
3,0.48030023452673287,60.0,13.0
4,0.4808190573856529,65.0,14.0
5,0.4824643769899768,70.0,15.0
6,0.48176210631034155,75.0,16.0
7,0.479951855016597,80.0,17.0
8,0.48168336912534127,85.0,18.0
9,0.48368273753569946,90.0,19.0
10,0.47578204786744405,51.0,11.0
11,0.4791218314491198,56.0,12.0
12,0.48030023452673287,61.0,13.0
13,0.4808190573856529,66.0,14.0
14,0.4824643769899768,71.0,15.0
15,0.48176210631034155,76.0,16.0
16,0.479951855016597,81.0,17.0
17,0.48168336912534127,86.0,18.0
18,0.48368273753569946,91.0,19.0
19,0.47578204786744405,52.0,11.0
20,0.4791218314491198,57.0,12.0
21,0.48030023452673287,62.0,13.0
22,0.4808190573856529,67.0,14.0
23,0.4824643769899768,72.0,15.0
24,0.48176210631034155,77.0,16.0
25,0.479951855016597,82.0,17.0
26,0.48168336912534127,87.0,18.0
27,0.48368273753569946,92.0,19.0
28,0.47578204786744405,53.0,11.0
29,0.4791218314491198,58.0,12.0
30,0.48030023452673287,63.0,13.0
31,0.4808190573856529,68.0,14.0
32,0.4824643769899768,73.0,15.0
33,0.48176210631034155,78.0,16.0
34,0.479951855016597,83.0,17.0
35,0.48168336912534127,88.0,18.0
36,0.48368273753569946,93.0,19.0
37,0.47578204786744405,54.0,11.0
38,0.4791218314491198,59.0,12.0
39,0.48030023452673287,64.0,13.0
40,0.4808190573856529,69.0,14.0
41,0.4824643769899768,74.0,15.0
42,0.48176210631034155,79.0,16.0
43,0.479951855016597,84.0,17.0
44,0.48168336912534127,89.0,18.0
45,0.48368273753569946,94.0,19.0
46,0.47578204786744405,55.0,11.0
47,0.4791218314491198,60.0,12.0
48,0.48030023452673287,65.0,13.0
49,0.4808190573856529,70.0,14.0
50,0.4824643769899768,75.0,15.0
51,0.48176210631034155,80.0,16.0
52,0.479951855016597,85.0,17.0
53,0.48168336912534127,90.0,18.0
54,0.48368273753569946,95.0,19.0
55,0.47578204786744405,56.0,11.0
56,0.4791218314491198,61.0,12.0
57,0.48030023452673287,66.0,13.0
58,0.4808190573856529,71.0,14.0
59,0.4824643769899768,76.0,15.0
60,0.48176210631034155,81.0,16.0
61,0.479951855016597,86.0,17.0
62,0.48168336912534127,91.0,18.0
63,0.48368273753569946,96.0,19.0
64,0.47578204786744405,57.0,11.0
65,0.4791218314491198,62.0,12.0
66,0.48030023452673287,67.0,13.0
67,0.4808190573856529,72.0,14.0
68,0.4824643769899768,77.0,15.0
69,0.48176210631034155,82.0,16.0
70,0.479951855016597,87.0,17.0
71,0.48168336912534127,92.0,18.0
72,0.48368273753569946,97.0,19.0
73,0.47578204786744405,58.0,11.0
74,0.4791218314491198,63.0,12.0
75,0.48030023452673287,68.0,13.0
76,0.4808190573856529,73.0,14.0
77,0.4824643769899768,78.0,15.0
78,0.48176210631034155,83.0,16.0
79,0.479951855016597,88.0,17.0
80,0.48168336912534127,93.0,18.0
81,0.48368273753569946,98.0,19.0
82,0.47578204786744405,59.0,11.0
83,0.4791218314491198,64.0,12.0
84,0.48030023452673287,69.0,13.0
85,0.4808190573856529,74.0,14.0
