,score,i,j
0,0.0,0.0,0.0
1,0.4533004333730072,50.0,11.0
2,0.4600254052649997,55.0,12.0
3,0.4567048589802234,60.0,13.0
4,0.4535965136728214,65.0,14.0
5,0.452313006025052,70.0,15.0
6,0.4515295046352348,75.0,16.0
7,0.4502938777442044,80.0,17.0
8,0.44937779478720064,85.0,18.0
9,0.4505288057682504,90.0,19.0
10,0.4533004333730072,51.0,11.0
11,0.4600254052649997,56.0,12.0
12,0.4567048589802234,61.0,13.0
13,0.4535965136728214,66.0,14.0
14,0.452313006025052,71.0,15.0
15,0.4515295046352348,76.0,16.0
16,0.4502938777442044,81.0,17.0
17,0.44937779478720064,86.0,18.0
18,0.4505288057682504,91.0,19.0
19,0.4533004333730072,52.0,11.0
20,0.4600254052649997,57.0,12.0
21,0.4567048589802234,62.0,13.0
22,0.4535965136728214,67.0,14.0
23,0.452313006025052,72.0,15.0
24,0.4515295046352348,77.0,16.0
25,0.4502938777442044,82.0,17.0
26,0.44937779478720064,87.0,18.0
27,0.4505288057682504,92.0,19.0
28,0.4533004333730072,53.0,11.0
29,0.4600254052649997,58.0,12.0
30,0.4567048589802234,63.0,13.0
31,0.4535965136728214,68.0,14.0
32,0.452313006025052,73.0,15.0
33,0.4515295046352348,78.0,16.0
34,0.4502938777442044,83.0,17.0
35,0.44937779478720064,88.0,18.0
36,0.4505288057682504,93.0,19.0
37,0.4533004333730072,54.0,11.0
38,0.4600254052649997,59.0,12.0
39,0.4567048589802234,64.0,13.0
40,0.4535965136728214,69.0,14.0
41,0.452313006025052,74.0,15.0
42,0.4515295046352348,79.0,16.0
43,0.4502938777442044,84.0,17.0
44,0.44937779478720064,89.0,18.0
45,0.4505288057682504,94.0,19.0
46,0.4533004333730072,55.0,11.0
47,0.4600254052649997,60.0,12.0
48,0.4567048589802234,65.0,13.0
49,0.4535965136728214,70.0,14.0
50,0.452313006025052,75.0,15.0
51,0.4515295046352348,80.0,16.0
52,0.4502938777442044,85.0,17.0
53,0.44937779478720064,90.0,18.0
54,0.4505288057682504,95.0,19.0
55,0.4533004333730072,56.0,11.0
56,0.4600254052649997,61.0,12.0
57,0.4567048589802234,66.0,13.0
58,0.4535965136728214,71.0,14.0
59,0.452313006025052,76.0,15.0
60,0.4515295046352348,81.0,16.0
61,0.4502938777442044,86.0,17.0
62,0.44937779478720064,91.0,18.0
63,0.4505288057682504,96.0,19.0
64,0.4533004333730072,57.0,11.0
65,0.4600254052649997,62.0,12.0
66,0.4567048589802234,67.0,13.0
67,0.4535965136728214,72.0,14.0
68,0.452313006025052,77.0,15.0
69,0.4515295046352348,82.0,16.0
70,0.4502938777442044,87.0,17.0
71,0.44937779478720064,92.0,18.0
72,0.4505288057682504,97.0,19.0
73,0.4533004333730072,58.0,11.0
74,0.4600254052649997,63.0,12.0
75,0.4567048589802234,68.0,13.0
76,0.4535965136728214,73.0,14.0
77,0.452313006025052,78.0,15.0
78,0.4515295046352348,83.0,16.0
79,0.4502938777442044,88.0,17.0
80,0.44937779478720064,93.0,18.0
81,0.4505288057682504,98.0,19.0
82,0.4533004333730072,59.0,11.0
83,0.4600254052649997,64.0,12.0
84,0.4567048589802234,69.0,13.0
85,0.4535965136728214,74.0,14.0
86,0.452313006025052,79.0,15.0
87,0.4515295046352348,84.0,16.0
88,0.4502938777442044,89.0,17.0
89,0.44937779478720064,94.0,18.0
90,0.4505288057682504,99.0,19.0
91,0.4533004333730072,60.0,11.0
92,0.4600254052649997,65.0,12.0
93,0.4567048589802234,70.0,13.0
94,0.4535965136728214,75.0,14.0
95,0.452313006025052,80.0,15.0
96,0.4515295046352348,85.0,16.0
97,0.4502938777442044,90.0,17.0
98,0.44937779478720064,95.0,18.0
99,0.4505288057682504,100.0,19.0
100,0.4533004333730072,61.0,11.0
101,0.4600254052649997,66.0,12.0
102,0.4567048589802234,71.0,13.0
103,0.4535965136728214,76.0,14.0
104,0.452313006025052,81.0,15.0
105,0.4515295046352348,86.0,16.0
106,0.4502938777442044,91.0,17.0
107,0.44937779478720064,96.0,18.0
108,0.4505288057682504,101.0,19.0
109,0.4533004333730072,62.0,11.0
110,0.4600254052649997,67.0,12.0
111,0.4567048589802234,72.0,13.0
112,0.4535965136728214,77.0,14.0
113,0.452313006025052,82.0,15.0
114,0.4515295046352348,87.0,16.0
115,0.4502938777442044,92.0,17.0
116,0.44937779478720064,97.0,18.0
117,0.4505288057682504,102.0,19.0
118,0.4533004333730072,63.0,11.0
119,0.4600254052649997,68.0,12.0
120,0.4567048589802234,73.0,13.0
121,0.4535965136728214,78.0,14.0
122,0.452313006025052,83.0,15.0
123,0.4515295046352348,88.0,16.0
124,0.4502938777442044,93.0,17.0
125,0.44937779478720064,98.0,18.0
126,0.4505288057682504,103.0,19.0
127,0.4533004333730072,64.0,11.0
128,0.4600254052649997,69.0,12.0
129,0.4567048589802234,74.0,13.0
130,0.4535965136728214,79.0,14.0
131,0.452313006025052,84.0,15.0
132,0.4515295046352348,89.0,16.0
133,0.4502938777442044,94.0,17.0
134,0.44937779478720064,99.0,18.0
135,0.4505288057682504,104.0,19.0
136,0.4533004333730072,65.0,11.0
137,0.4600254052649997,70.0,12.0
138,0.4567048589802234,75.0,13.0
139,0.4535965136728214,80.0,14.0
140,0.452313006025052,85.0,15.0
141,0.4515295046352348,90.0,16.0
142,0.4502938777442044,95.0,17.0
143,0.44937779478720064,100.0,18.0
144,0.4505288057682504,105.0,19.0
145,0.4533004333730072,66.0,11.0
146,0.4600254052649997,71.0,12.0
147,0.4567048589802234,76.0,13.0
148,0.4535965136728214,81.0,14.0
149,0.452313006025052,86.0,15.0
