,score,i,j
0,0.0,0.0,0.0
1,0.43889075043196546,11.0,1.0
2,0.43923757233596317,11.0,2.0
3,0.43918178170778244,11.0,3.0
4,0.4386759976406912,11.0,4.0
5,0.43939752457747927,11.0,5.0
6,0.43970109781554356,11.0,6.0
7,0.4397034879972054,11.0,7.0
8,0.43934279948387345,11.0,8.0
9,0.4396849480366779,11.0,9.0
10,0.4203620772129525,12.0,1.0
11,0.42052801317256183,12.0,2.0
12,0.4204790759871082,12.0,3.0
13,0.4203254237103444,12.0,4.0
14,0.4201596841856664,12.0,5.0
15,0.42006957128002587,12.0,6.0
16,0.4213950754116417,12.0,7.0
17,0.42129331363315314,12.0,8.0
18,0.4210279919726553,12.0,9.0
19,0.4169846723988546,13.0,1.0
20,0.4179468272094391,13.0,2.0
21,0.41821708180902417,13.0,3.0
22,0.41848390656402223,13.0,4.0
23,0.41842447044673414,13.0,5.0
24,0.4185734287364046,13.0,6.0
25,0.41851563993732444,13.0,7.0
26,0.41843283616744353,13.0,8.0
27,0.4186001325875076,13.0,9.0
28,0.4269743779919425,14.0,1.0
29,0.42770680017562857,14.0,2.0
30,0.42764813701990345,14.0,3.0
31,0.42822800669461614,14.0,4.0
32,0.42859680847015735,14.0,5.0
33,0.4280870091949813,14.0,6.0
34,0.42796035756959416,14.0,7.0
35,0.427445895308287,14.0,8.0
36,0.42721080595086125,14.0,9.0
37,0.4270656269519,15.0,1.0
38,0.4276868568592743,15.0,2.0
39,0.4276256664914446,15.0,3.0
40,0.4275864008114999,15.0,4.0
41,0.4277744006232149,15.0,5.0
42,0.42740994318734105,15.0,6.0
43,0.4270362124017246,15.0,7.0
44,0.4281332632752539,15.0,8.0
45,0.4278120076516221,15.0,9.0
46,0.42490895871202083,16.0,1.0
47,0.4251118724445485,16.0,2.0
48,0.42520250214851585,16.0,3.0
49,0.4253397711281519,16.0,4.0
50,0.4254879091167444,16.0,5.0
51,0.42542581604767826,16.0,6.0
52,0.4256376171940225,16.0,7.0
53,0.42613387636821776,16.0,8.0
54,0.425815125418171,16.0,9.0
55,0.425774358891603,17.0,1.0
56,0.42623741036894536,17.0,2.0
57,0.42567454730532006,17.0,3.0
58,0.4254436754418226,17.0,4.0
59,0.4254861701535049,17.0,5.0
60,0.4250543050173936,17.0,6.0
61,0.42503174507312413,17.0,7.0
62,0.42538005801733814,17.0,8.0
63,0.42564851731832587,17.0,9.0
64,0.42208603767223685,18.0,1.0
65,0.4221373130527786,18.0,2.0
66,0.4220900950941252,18.0,3.0
67,0.42248435881882607,18.0,4.0
68,0.4227298168551673,18.0,5.0
69,0.42228731646462847,18.0,6.0
70,0.4223899160223493,18.0,7.0
71,0.4216633435454924,18.0,8.0
72,0.4215730589770621,18.0,9.0
73,0.420433986310094,19.0,1.0
74,0.4207148582141359,19.0,2.0
75,0.4205564734512912,19.0,3.0
76,0.4205032304844283,19.0,4.0
77,0.4202482788580515,19.0,5.0
78,0.4202966860615034,19.0,6.0
79,0.4202471857475124,19.0,7.0
80,0.41993515482268906,19.0,8.0
81,0.41985044090617796,19.0,9.0
