,score,i,j
0,0.0,0.0,0.0
1,-0.08440187446526393,11.0,1.0
2,-0.08502857148066179,11.0,2.0
3,-0.08475173267341218,11.0,3.0
4,-0.08490953049458172,11.0,4.0
5,-0.08548300698941769,11.0,5.0
6,-0.08634744323245958,11.0,6.0
7,-0.08721831012131576,11.0,7.0
8,-0.08710392138369727,11.0,8.0
9,-0.08689739680341746,11.0,9.0
10,-0.08588377143928883,12.0,1.0
11,-0.08599881934335474,12.0,2.0
12,-0.08588356885143922,12.0,3.0
13,-0.08547446845904205,12.0,4.0
14,-0.08527280363165124,12.0,5.0
15,-0.08617269501515579,12.0,6.0
16,-0.0864715820249482,12.0,7.0
17,-0.08590144537009925,12.0,8.0
18,-0.08609630409205349,12.0,9.0
19,-0.0857461576699532,13.0,1.0
20,-0.08573155020378387,13.0,2.0
21,-0.08596329623550059,13.0,3.0
22,-0.0857716052623354,13.0,4.0
23,-0.08609445412901229,13.0,5.0
24,-0.08563248200419094,13.0,6.0
25,-0.08594413692363823,13.0,7.0
26,-0.08633930489599284,13.0,8.0
27,-0.08653867226238421,13.0,9.0
28,-0.0893451519020092,14.0,1.0
29,-0.08932774537124111,14.0,2.0
30,-0.08976607096470501,14.0,3.0
31,-0.09015422117133176,14.0,4.0
32,-0.09003757985456295,14.0,5.0
33,-0.09007791561990408,14.0,6.0
34,-0.09001427735820777,14.0,7.0
35,-0.09012670949858204,14.0,8.0
36,-0.09036367517615296,14.0,9.0
37,-0.08048867365928336,15.0,1.0
38,-0.08043348869150724,15.0,2.0
39,-0.08077248085625177,15.0,3.0
40,-0.07983498128816513,15.0,4.0
41,-0.0793212669085479,15.0,5.0
42,-0.07999392816996687,15.0,6.0
43,-0.07997901905419291,15.0,7.0
44,-0.07917994402518769,15.0,8.0
45,-0.07956509983371585,15.0,9.0
46,-0.08783917098660687,16.0,1.0
47,-0.08799423384772997,16.0,2.0
48,-0.08822770982767492,16.0,3.0
49,-0.08867738499101674,16.0,4.0
50,-0.09058150146160071,16.0,5.0
51,-0.09065115421029368,16.0,6.0
52,-0.09167941140844826,16.0,7.0
53,-0.09153326659505479,16.0,8.0
54,-0.09214160381827186,16.0,9.0
55,-0.08420736594347988,17.0,1.0
56,-0.08545803071777303,17.0,2.0
57,-0.08447313807473877,17.0,3.0
58,-0.08490186652932907,17.0,4.0
59,-0.08466116979920013,17.0,5.0
60,-0.08468139252757911,17.0,6.0
61,-0.08518235774073757,17.0,7.0
62,-0.08403944882062797,17.0,8.0
63,-0.08569849929281093,17.0,9.0
64,-0.08636763844562445,18.0,1.0
65,-0.08648147487443714,18.0,2.0
66,-0.08713925791132082,18.0,3.0
67,-0.08700937997489144,18.0,4.0
68,-0.08739161628779613,18.0,5.0
69,-0.08754595141362831,18.0,6.0
70,-0.08776063523341038,18.0,7.0
71,-0.08749779998344631,18.0,8.0
72,-0.0871720890639407,18.0,9.0
73,-0.08456977418556977,19.0,1.0
74,-0.08452193057460011,19.0,2.0
75,-0.08506981462164842,19.0,3.0
76,-0.08516972447709859,19.0,4.0
77,-0.0867203686863347,19.0,5.0
78,-0.08795699521225453,19.0,6.0
79,-0.08745180870473956,19.0,7.0
80,-0.0865632417191009,19.0,8.0
81,-0.08635506563421402,19.0,9.0
