,score,i,j
0,0.0,0.0,0.0
1,0.2544607862730487,11.0,1.0
2,0.25359375359287295,11.0,2.0
3,0.253764705930695,11.0,3.0
4,0.25360982682675426,11.0,4.0
5,0.2534830408885874,11.0,5.0
6,0.25451561795065236,11.0,6.0
7,0.25494431676125595,11.0,7.0
8,0.2546585626894272,11.0,8.0
9,0.25449124409603885,11.0,9.0
10,0.24569053013638098,12.0,1.0
11,0.245441629026109,12.0,2.0
12,0.24633668361419425,12.0,3.0
13,0.24626338952918858,12.0,4.0
14,0.24595059473002967,12.0,5.0
15,0.24603823811184256,12.0,6.0
16,0.24433847554495558,12.0,7.0
17,0.24417666945825234,12.0,8.0
18,0.24409102365834823,12.0,9.0
19,0.22842351895001567,13.0,1.0
20,0.22849561000275054,13.0,2.0
21,0.22929300106089023,13.0,3.0
22,0.22896579892969526,13.0,4.0
23,0.22845939742949928,13.0,5.0
24,0.2284689919857339,13.0,6.0
25,0.22863086139088562,13.0,7.0
26,0.22819135487773778,13.0,8.0
27,0.22690468192350188,13.0,9.0
28,0.24618551893793872,14.0,1.0
29,0.2463719761620412,14.0,2.0
30,0.24676620111013892,14.0,3.0
31,0.24698050189929266,14.0,4.0
32,0.2467852499997084,14.0,5.0
33,0.2473715064348294,14.0,6.0
34,0.24802250562096284,14.0,7.0
35,0.2481862961539062,14.0,8.0
36,0.2477812720982122,14.0,9.0
37,0.24391762024714558,15.0,1.0
38,0.24490404005593758,15.0,2.0
39,0.24443024105841338,15.0,3.0
40,0.24442820010142285,15.0,4.0
41,0.243474412379455,15.0,5.0
42,0.2432111489568689,15.0,6.0
43,0.24297947637044814,15.0,7.0
44,0.24291190652207018,15.0,8.0
45,0.24247418610423677,15.0,9.0
46,0.2556983084426626,16.0,1.0
47,0.255374228209272,16.0,2.0
48,0.25493057943141695,16.0,3.0
49,0.25403813059760905,16.0,4.0
50,0.25401977699817924,16.0,5.0
51,0.2532857234627205,16.0,6.0
52,0.2544213151757073,16.0,7.0
53,0.2542423033153557,16.0,8.0
54,0.2547929799080718,16.0,9.0
55,0.26122109876379007,17.0,1.0
56,0.26079415977702713,17.0,2.0
57,0.260907191307732,17.0,3.0
58,0.26125381183176777,17.0,4.0
59,0.26159728082701905,17.0,5.0
60,0.2618309487337842,17.0,6.0
61,0.26183218454758983,17.0,7.0
62,0.26141156739946414,17.0,8.0
63,0.2619384017867329,17.0,9.0
64,0.2542992532398587,18.0,1.0
65,0.2542133074062416,18.0,2.0
66,0.25357531954183365,18.0,3.0
67,0.25283342608463255,18.0,4.0
68,0.252502850959736,18.0,5.0
69,0.2521183849806061,18.0,6.0
70,0.25150087613165617,18.0,7.0
71,0.2515826070397641,18.0,8.0
72,0.2527963335941542,18.0,9.0
73,0.24296790909826127,19.0,1.0
74,0.24215146747027205,19.0,2.0
75,0.2417903810774693,19.0,3.0
76,0.24120725023845146,19.0,4.0
77,0.24081523125733129,19.0,5.0
78,0.24092694001114934,19.0,6.0
79,0.2405153610935581,19.0,7.0
80,0.24037166041859392,19.0,8.0
81,0.24010534377610915,19.0,9.0
