,score,i,j
0,0.0,0.0,0.0
1,-0.7096137091032493,1.0,10.0
2,-0.7096137091032493,1.0,11.0
3,-0.7096137091032493,1.0,12.0
4,-0.7096137091032493,1.0,13.0
5,-0.7096137091032493,1.0,14.0
6,-0.7096137091032493,1.0,15.0
7,-0.7096137091032493,1.0,16.0
8,-0.7096137091032493,1.0,17.0
9,-0.7096137091032493,1.0,18.0
10,-0.7096137091032493,1.0,19.0
11,-0.4606253314598754,2.0,10.0
12,-0.4606253314598754,2.0,11.0
13,-0.4606253314598754,2.0,12.0
14,-0.4606253314598754,2.0,13.0
15,-0.4606253314598754,2.0,14.0
16,-0.4606253314598754,2.0,15.0
17,-0.4606253314598754,2.0,16.0
18,-0.4606253314598754,2.0,17.0
19,-0.4606253314598754,2.0,18.0
20,-0.4606253314598754,2.0,19.0
21,-0.2719187530553415,3.0,10.0
22,-0.2719187530553415,3.0,11.0
23,-0.2719187530553415,3.0,12.0
24,-0.2719187530553415,3.0,13.0
25,-0.2719187530553415,3.0,14.0
26,-0.2719187530553415,3.0,15.0
27,-0.2719187530553415,3.0,16.0
28,-0.2719187530553415,3.0,17.0
29,-0.2719187530553415,3.0,18.0
30,-0.2719187530553415,3.0,19.0
31,-0.33119924098713716,4.0,10.0
32,-0.33119924098713716,4.0,11.0
33,-0.33119924098713716,4.0,12.0
34,-0.33119924098713716,4.0,13.0
35,-0.33119924098713716,4.0,14.0
36,-0.33119924098713716,4.0,15.0
37,-0.33119924098713716,4.0,16.0
38,-0.33119924098713716,4.0,17.0
39,-0.3351841556439963,4.0,18.0
40,-0.3370263800946727,4.0,19.0
41,-0.2995343339900858,5.0,10.0
42,-0.2999191647743633,5.0,11.0
43,-0.29798612099898136,5.0,12.0
44,-0.29798612099898136,5.0,13.0
45,-0.29798612099898136,5.0,14.0
46,-0.29798612099898136,5.0,15.0
47,-0.29798612099898136,5.0,16.0
48,-0.29798612099898136,5.0,17.0
49,-0.29206361114592916,5.0,18.0
50,-0.29390583559660555,5.0,19.0
51,-0.45147398315200005,6.0,10.0
52,-0.451858813936278,6.0,11.0
53,-0.44992577016089563,6.0,12.0
54,-0.44992577016089563,6.0,13.0
55,-0.4499731097968962,6.0,14.0
56,-0.4494558994192377,6.0,15.0
57,-0.44960448467251846,6.0,16.0
58,-0.40624415755407495,6.0,17.0
59,-0.4007336293286119,6.0,18.0
60,-0.39807510822032244,6.0,19.0
61,-0.5629751573944977,7.0,10.0
