,score,i,j
0,0.0,0.0,0.0
1,-0.20689970924047607,11.0,1.0
2,-0.2044953360470707,11.0,2.0
3,-0.20241474950818517,11.0,3.0
4,-0.20048136021040275,11.0,4.0
5,-0.21585489566087435,11.0,5.0
6,-0.2130952681724827,11.0,6.0
7,-0.2105687538078007,11.0,7.0
8,-0.20858275466675913,11.0,8.0
9,-0.2068421337961479,11.0,9.0
10,-0.207273804710141,12.0,1.0
11,-0.20492041442572528,12.0,2.0
12,-0.20283836089194685,12.0,3.0
13,-0.2009839679917662,12.0,4.0
14,-0.21640497164102745,12.0,5.0
15,-0.21364859335315134,12.0,6.0
16,-0.21122756847049873,12.0,7.0
17,-0.20914822824792578,12.0,8.0
18,-0.2071901554491986,12.0,9.0
19,-0.20794505844295208,13.0,1.0
20,-0.20572256791896448,13.0,2.0
21,-0.20369843470829352,13.0,3.0
22,-0.21932841638783485,13.0,4.0
23,-0.21658459633697125,13.0,5.0
24,-0.21426019794829254,13.0,6.0
25,-0.21197192436271362,13.0,7.0
26,-0.2101722518983915,13.0,8.0
27,-0.22549797503890012,13.0,9.0
28,-0.20869325535214256,14.0,1.0
29,-0.20618878277584973,14.0,2.0
30,-0.20394433507206866,14.0,3.0
31,-0.20212203769406867,14.0,4.0
32,-0.21791716832250274,14.0,5.0
33,-0.2151340824110266,14.0,6.0
34,-0.2126057475186749,14.0,7.0
35,-0.2108684690585596,14.0,8.0
36,-0.2090992374303322,14.0,9.0
37,-0.197009367316209,15.0,1.0
38,-0.19522681544792286,15.0,2.0
39,-0.21037795629139722,15.0,3.0
40,-0.20768399592092912,15.0,4.0
41,-0.20543614975166213,15.0,5.0
42,-0.20349874835134862,15.0,6.0
43,-0.2016884204330105,15.0,7.0
44,-0.21732455453496602,15.0,8.0
45,-0.21475301032281502,15.0,9.0
46,-0.19702996767531666,16.0,1.0
47,-0.19519979525829978,16.0,2.0
48,-0.210563132529898,16.0,3.0
49,-0.20790686292504268,16.0,4.0
50,-0.20553123973319987,16.0,5.0
51,-0.20338777756398985,16.0,6.0
52,-0.2017019308258876,16.0,7.0
53,-0.21696079226531584,16.0,8.0
54,-0.21419540971814266,16.0,9.0
55,-0.20024540593405593,17.0,1.0
56,-0.19840781852788303,17.0,2.0
57,-0.21357626025881604,17.0,3.0
58,-0.2109530868841818,17.0,4.0
59,-0.20886695744963046,17.0,5.0
60,-0.20650646661087801,17.0,6.0
61,-0.20469130564897964,17.0,7.0
62,-0.22000948564449896,17.0,8.0
63,-0.21732091106673845,17.0,9.0
64,-0.21120509562433498,18.0,1.0
65,-0.20891954242041777,18.0,2.0
66,-0.20688955405111265,18.0,3.0
67,-0.20501173033381948,18.0,4.0
68,-0.2203887497468091,18.0,5.0
69,-0.21769296220896162,18.0,6.0
70,-0.2153074393277301,18.0,7.0
71,-0.21322646597500805,18.0,8.0
72,-0.2114280655559897,18.0,9.0
73,-0.19789089602807852,19.0,1.0
74,-0.19607507681818648,19.0,2.0
75,-0.2117998806736101,19.0,3.0
76,-0.20896645911350475,19.0,4.0
77,-0.20655396314119545,19.0,5.0
78,-0.2044022809631012,19.0,6.0
79,-0.20266908183129195,19.0,7.0
80,-0.21782295013076336,19.0,8.0
81,-0.21546284717587616,19.0,9.0
