,score,i,j
0,0.0,0.0,0.0
1,-0.3100380716958002,11.0,1.0
2,-0.3103877920889735,11.0,2.0
3,-0.3097300675758674,11.0,3.0
4,-0.309514776885196,11.0,4.0
5,-0.30886662508898954,11.0,5.0
6,-0.30975599358910166,11.0,6.0
7,-0.31010871546353314,11.0,7.0
8,-0.3103499411087931,11.0,8.0
9,-0.31006117094966545,11.0,9.0
10,-0.31971222259595233,12.0,1.0
11,-0.32013570966494087,12.0,2.0
12,-0.31907497764879045,12.0,3.0
13,-0.31900637928166775,12.0,4.0
14,-0.3190697154645803,12.0,5.0
15,-0.31952090331508987,12.0,6.0
16,-0.3169955896608567,12.0,7.0
17,-0.3172390141288197,12.0,8.0
18,-0.3178721046829869,12.0,9.0
19,-0.3122434808923502,13.0,1.0
20,-0.31245571548259443,13.0,2.0
21,-0.3122340325967121,13.0,3.0
22,-0.31225182999792156,13.0,4.0
23,-0.3100982392362437,13.0,5.0
24,-0.3105021005836346,13.0,6.0
25,-0.3100307809222169,13.0,7.0
26,-0.3104514582006128,13.0,8.0
27,-0.31068361163781666,13.0,9.0
28,-0.3303862649501137,14.0,1.0
29,-0.33122593661008626,14.0,2.0
30,-0.3308127776660812,14.0,3.0
31,-0.32992737003796835,14.0,4.0
32,-0.33014819396220574,14.0,5.0
33,-0.3306625843434361,14.0,6.0
34,-0.3307547932370696,14.0,7.0
35,-0.3309452932078252,14.0,8.0
36,-0.33098706420972834,14.0,9.0
37,-0.321571083723144,15.0,1.0
38,-0.3213903520948038,15.0,2.0
39,-0.32223023624145264,15.0,3.0
40,-0.32225457575182115,15.0,4.0
41,-0.3221698695239066,15.0,5.0
42,-0.3222550843426959,15.0,6.0
43,-0.32083589987893335,15.0,7.0
44,-0.32115363582786105,15.0,8.0
45,-0.320949366487439,15.0,9.0
46,-0.31631892845485554,16.0,1.0
47,-0.31707367937126874,16.0,2.0
48,-0.3173222838662295,16.0,3.0
49,-0.31717638040632323,16.0,4.0
50,-0.3160472406234629,16.0,5.0
51,-0.31648589169239516,16.0,6.0
52,-0.3174784727028428,16.0,7.0
53,-0.31823875174066774,16.0,8.0
54,-0.3188284391107963,16.0,9.0
55,-0.3298225077346588,17.0,1.0
56,-0.3294673075062322,17.0,2.0
57,-0.32931977825090786,17.0,3.0
58,-0.32935623217574395,17.0,4.0
59,-0.32872283917581546,17.0,5.0
60,-0.3294345801368286,17.0,6.0
61,-0.3297724057685154,17.0,7.0
62,-0.32997114603479116,17.0,8.0
63,-0.33007905823791184,17.0,9.0
64,-0.32931901170849454,18.0,1.0
65,-0.3296174757192418,18.0,2.0
66,-0.32937234805775595,18.0,3.0
67,-0.32868129547516944,18.0,4.0
68,-0.3288144132235886,18.0,5.0
69,-0.32942496911859465,18.0,6.0
70,-0.32915693965412207,18.0,7.0
71,-0.32911627408008925,18.0,8.0
72,-0.32849794391288256,18.0,9.0
73,-0.31463914213893496,19.0,1.0
74,-0.3135708535492292,19.0,2.0
75,-0.3143482535953688,19.0,3.0
76,-0.3144710125884451,19.0,4.0
77,-0.3151353964353336,19.0,5.0
78,-0.3143897422653863,19.0,6.0
79,-0.31461386084958565,19.0,7.0
80,-0.3150826204498949,19.0,8.0
81,-0.31229003577491565,19.0,9.0
