,score,i,j
0,0.0,0.0,0.0
1,0.3099185236987022,11.0,1.0
2,0.30925798701026475,11.0,2.0
3,0.3093830879859585,11.0,3.0
4,0.3098457357488895,11.0,4.0
5,0.30984139475059014,11.0,5.0
6,0.3098925892681743,11.0,6.0
7,0.3099654788632936,11.0,7.0
8,0.3094098865905264,11.0,8.0
9,0.30954333280079926,11.0,9.0
10,0.29435101983297995,12.0,1.0
11,0.2939300212113878,12.0,2.0
12,0.2944954786152685,12.0,3.0
13,0.29513820444623795,12.0,4.0
14,0.2959651612340254,12.0,5.0
15,0.29608422539770485,12.0,6.0
16,0.29596271847590705,12.0,7.0
17,0.2965154078329466,12.0,8.0
18,0.2970987017904766,12.0,9.0
19,0.28419547161338554,13.0,1.0
20,0.283816967468251,13.0,2.0
21,0.28384508005778686,13.0,3.0
22,0.2839919114017577,13.0,4.0
23,0.2845619637646104,13.0,5.0
24,0.28419080055381907,13.0,6.0
25,0.28384848365182624,13.0,7.0
26,0.2842903715049594,13.0,8.0
27,0.2842702150732086,13.0,9.0
28,0.27799138594083983,14.0,1.0
29,0.27802689017753446,14.0,2.0
30,0.2779733908935349,14.0,3.0
31,0.27780291003857793,14.0,4.0
32,0.27767390672937964,14.0,5.0
33,0.2777390367173035,14.0,6.0
34,0.2771800046210131,14.0,7.0
35,0.2771961032579875,14.0,8.0
36,0.27798721674791016,14.0,9.0
37,0.26980403263387853,15.0,1.0
38,0.26975414441776246,15.0,2.0
39,0.26765744534402247,15.0,3.0
40,0.2677211228465013,15.0,4.0
41,0.2673939759702426,15.0,5.0
42,0.2672711070750118,15.0,6.0
43,0.2673133635790156,15.0,7.0
44,0.2672036398172082,15.0,8.0
45,0.26766949994883815,15.0,9.0
46,0.2859431948737786,16.0,1.0
47,0.2848878213040975,16.0,2.0
48,0.28440597917042465,16.0,3.0
49,0.28442575116607893,16.0,4.0
50,0.28471087009207996,16.0,5.0
51,0.28506271747391787,16.0,6.0
52,0.2853244111137424,16.0,7.0
53,0.2859054679242925,16.0,8.0
54,0.2858767285185462,16.0,9.0
55,0.28216289136436234,17.0,1.0
56,0.2819562857979029,17.0,2.0
57,0.2827235148723476,17.0,3.0
58,0.28276606329038134,17.0,4.0
59,0.28301616762266624,17.0,5.0
60,0.28294386670982163,17.0,6.0
61,0.2830223055244109,17.0,7.0
62,0.28254726005071007,17.0,8.0
63,0.28241457261071434,17.0,9.0
64,0.2941936777707197,18.0,1.0
65,0.2944618227060838,18.0,2.0
66,0.2944074225098988,18.0,3.0
67,0.29462340813154597,18.0,4.0
68,0.29478091888432356,18.0,5.0
69,0.2945766752664907,18.0,6.0
70,0.29528654308043945,18.0,7.0
71,0.295520470285081,18.0,8.0
72,0.29470770397087975,18.0,9.0
73,0.2886656733615093,19.0,1.0
74,0.28910836833093634,19.0,2.0
75,0.28905570259983815,19.0,3.0
76,0.28942513320305696,19.0,4.0
77,0.2889447428651515,19.0,5.0
78,0.28859402669318035,19.0,6.0
79,0.2884525822165718,19.0,7.0
80,0.28811666625675303,19.0,8.0
81,0.2881217493912457,19.0,9.0
