,score,i,j
0,0.0,0.0,0.0
1,0.02264306744740241,11.0,1.0
2,0.02275643733579924,11.0,2.0
3,0.022744592063671076,11.0,3.0
4,0.02282793436766195,11.0,4.0
5,0.02261476088795611,11.0,5.0
6,0.0225149737649879,11.0,6.0
7,0.02268938490183503,11.0,7.0
8,0.022861999605814476,11.0,8.0
9,0.023064957615708925,11.0,9.0
10,0.01990312551358464,12.0,1.0
11,0.019777254723420734,12.0,2.0
12,0.01925533040088656,12.0,3.0
13,0.019424608482439987,12.0,4.0
14,0.019942428888917174,12.0,5.0
15,0.01991172336415903,12.0,6.0
16,0.02005519703216274,12.0,7.0
17,0.0197437102710879,12.0,8.0
18,0.020182470625613846,12.0,9.0
19,0.02226534921669443,13.0,1.0
20,0.021987334574224082,13.0,2.0
21,0.022372173207474755,13.0,3.0
22,0.022267510409831104,13.0,4.0
23,0.022295809804612432,13.0,5.0
24,0.02259160542148475,13.0,6.0
25,0.02257897795894981,13.0,7.0
26,0.022778213434363037,13.0,8.0
27,0.022549207175556307,13.0,9.0
28,0.01976793727170567,14.0,1.0
29,0.02033942183716886,14.0,2.0
30,0.020364611456407777,14.0,3.0
31,0.020235073006025228,14.0,4.0
32,0.020397231382129566,14.0,5.0
33,0.020384658943699674,14.0,6.0
34,0.02045520046942295,14.0,7.0
35,0.020610110327722753,14.0,8.0
36,0.02070307806685945,14.0,9.0
37,0.02218773860977563,15.0,1.0
38,0.022291440366999482,15.0,2.0
39,0.022687366627506922,15.0,3.0
40,0.02283067334826927,15.0,4.0
41,0.022824141868658,15.0,5.0
42,0.022990335160866904,15.0,6.0
43,0.02300185384051956,15.0,7.0
44,0.02254797727236557,15.0,8.0
45,0.022685550925403808,15.0,9.0
46,0.019794955139670445,16.0,1.0
47,0.01987551568135526,16.0,2.0
48,0.019862616067070293,16.0,3.0
49,0.019878564378128294,16.0,4.0
50,0.01992634351529099,16.0,5.0
51,0.019855204068287335,16.0,6.0
52,0.019650996280336286,16.0,7.0
53,0.020003582597973302,16.0,8.0
54,0.020107238245854586,16.0,9.0
55,0.022190427666573864,17.0,1.0
56,0.022288672030616463,17.0,2.0
57,0.02227438090636691,17.0,3.0
58,0.022809985155438306,17.0,4.0
59,0.02265724125931723,17.0,5.0
60,0.022126474399451368,17.0,6.0
61,0.02264929663078652,17.0,7.0
62,0.02305778147666715,17.0,8.0
63,0.02291003306228656,17.0,9.0
64,0.022939572869211555,18.0,1.0
65,0.023358731222048235,18.0,2.0
66,0.02342103078374147,18.0,3.0
67,0.023332931767550136,18.0,4.0
68,0.02344172942052747,18.0,5.0
69,0.023546217005323,18.0,6.0
70,0.0231731795167589,18.0,7.0
71,0.023568409021725523,18.0,8.0
72,0.023779177518738037,18.0,9.0
73,0.02450852567726225,19.0,1.0
74,0.023868295600596223,19.0,2.0
75,0.024157308512757325,19.0,3.0
76,0.024668388528313656,19.0,4.0
77,0.02444977452180097,19.0,5.0
78,0.02424289907261057,19.0,6.0
79,0.02384133018961021,19.0,7.0
80,0.023867075564972806,19.0,8.0
81,0.02436336628208502,19.0,9.0
