,score,i,j
0,0.0,0.0,0.0
1,0.3674045773681299,11.0,1.0
2,0.3659718596414637,11.0,2.0
3,0.3657753961191381,11.0,3.0
4,0.36547639460889036,11.0,4.0
5,0.36518915316485756,11.0,5.0
6,0.3647112580475499,11.0,6.0
7,0.36474587892804233,11.0,7.0
8,0.3644839012387856,11.0,8.0
9,0.36477409761472845,11.0,9.0
10,0.3539013353719115,12.0,1.0
11,0.35377014739743295,12.0,2.0
12,0.35400199748702055,12.0,3.0
13,0.3539882997088112,12.0,4.0
14,0.35384006355374475,12.0,5.0
15,0.3519226356260733,12.0,6.0
16,0.35139930568146605,12.0,7.0
17,0.35126839248205,12.0,8.0
18,0.35156955074587015,12.0,9.0
19,0.3700719924221383,13.0,1.0
20,0.3705743711090095,13.0,2.0
21,0.37051673822378917,13.0,3.0
22,0.37005413593278824,13.0,4.0
23,0.3698792567641511,13.0,5.0
24,0.36826087304615973,13.0,6.0
25,0.3676607346822671,13.0,7.0
26,0.3677748858831478,13.0,8.0
27,0.367546002923009,13.0,9.0
28,0.3516210993396519,14.0,1.0
29,0.3511166070069702,14.0,2.0
30,0.3517308795349927,14.0,3.0
31,0.3518146996995891,14.0,4.0
32,0.35212011607429083,14.0,5.0
33,0.3520671380439947,14.0,6.0
34,0.3516198860279526,14.0,7.0
35,0.35125236798105297,14.0,8.0
36,0.3504198554740975,14.0,9.0
37,0.3468450484444653,15.0,1.0
38,0.3461231271398407,15.0,2.0
39,0.34584260801523314,15.0,3.0
40,0.3458580404897321,15.0,4.0
41,0.34575790330538925,15.0,5.0
42,0.34575489487039857,15.0,6.0
43,0.3453291126328023,15.0,7.0
44,0.34482434224736014,15.0,8.0
45,0.344694111221741,15.0,9.0
46,0.3509918095964851,16.0,1.0
47,0.3503358445377128,16.0,2.0
48,0.35018683446798016,16.0,3.0
49,0.349575672247877,16.0,4.0
50,0.3489546032968296,16.0,5.0
51,0.349655224666629,16.0,6.0
52,0.34877046721101135,16.0,7.0
53,0.348778803467118,16.0,8.0
54,0.3489336209463597,16.0,9.0
55,0.36288772939020764,17.0,1.0
56,0.36310532311826704,17.0,2.0
57,0.36225580134504776,17.0,3.0
58,0.3621704652017209,17.0,4.0
59,0.3622130086606601,17.0,5.0
60,0.361732750086747,17.0,6.0
61,0.36195314876744866,17.0,7.0
62,0.3619824100367466,17.0,8.0
63,0.3606937518579969,17.0,9.0
64,0.3622552480372936,18.0,1.0
65,0.3619478240741024,18.0,2.0
66,0.36169126750980196,18.0,3.0
67,0.36117761040221563,18.0,4.0
68,0.36074896572141246,18.0,5.0
69,0.3599102114432243,18.0,6.0
70,0.3596616809117634,18.0,7.0
71,0.35927229839080876,18.0,8.0
72,0.35860503344696737,18.0,9.0
73,0.3344349832158563,19.0,1.0
74,0.33365864154780034,19.0,2.0
75,0.3328501880943693,19.0,3.0
76,0.3328847147970282,19.0,4.0
77,0.33265939783017995,19.0,5.0
78,0.33277651050306245,19.0,6.0
79,0.33256621816759036,19.0,7.0
80,0.3325695473834561,19.0,8.0
81,0.3322612656297397,19.0,9.0
