,score,i,j
0,0.0,0.0,0.0
1,0.13257612652179307,11.0,1.0
2,0.13276332951914382,11.0,2.0
3,0.13313137667362895,11.0,3.0
4,0.13202828859135263,11.0,4.0
5,0.13137673302081,11.0,5.0
6,0.13030617147071022,11.0,6.0
7,0.1295748698337511,11.0,7.0
8,0.1294728451414595,11.0,8.0
9,0.12964591506930945,11.0,9.0
10,0.12164664961104121,12.0,1.0
11,0.12139114150900088,12.0,2.0
12,0.12131342216732044,12.0,3.0
13,0.12163219975522988,12.0,4.0
14,0.11977326957707901,12.0,5.0
15,0.11944620937166839,12.0,6.0
16,0.11923949337502115,12.0,7.0
17,0.11867351984071972,12.0,8.0
18,0.11845616764797695,12.0,9.0
19,0.12983978587981182,13.0,1.0
20,0.12998987854146238,13.0,2.0
21,0.1302328067868872,13.0,3.0
22,0.1300692400021013,13.0,4.0
23,0.12972994927989379,13.0,5.0
24,0.12942992631311334,13.0,6.0
25,0.13032086759654793,13.0,7.0
26,0.13095279972615137,13.0,8.0
27,0.13151667807867673,13.0,9.0
28,0.12462208890658866,14.0,1.0
29,0.1257692640595487,14.0,2.0
30,0.12585680219261852,14.0,3.0
31,0.1250523456429431,14.0,4.0
32,0.12518102198123937,14.0,5.0
33,0.1263732314862216,14.0,6.0
34,0.12523272729742574,14.0,7.0
35,0.12531623755311194,14.0,8.0
36,0.12604660463312667,14.0,9.0
37,0.12067190807174377,15.0,1.0
38,0.12051297553926488,15.0,2.0
39,0.12089106406534389,15.0,3.0
40,0.12123728584618298,15.0,4.0
41,0.12136967160266154,15.0,5.0
42,0.12136260133548438,15.0,6.0
43,0.120316934091804,15.0,7.0
44,0.11888433873102011,15.0,8.0
45,0.11802020486427844,15.0,9.0
46,0.11939535651262301,16.0,1.0
47,0.11950323232528037,16.0,2.0
48,0.11991451645679285,16.0,3.0
49,0.11995910912761298,16.0,4.0
50,0.1194565955372543,16.0,5.0
51,0.12051586907412037,16.0,6.0
52,0.1206455847271033,16.0,7.0
53,0.12040500035926771,16.0,8.0
54,0.12023837225503842,16.0,9.0
55,0.11543385084442404,17.0,1.0
56,0.11478947271495166,17.0,2.0
57,0.11502567769664607,17.0,3.0
58,0.11516614547337833,17.0,4.0
59,0.1149232238400093,17.0,5.0
60,0.11549327168443158,17.0,6.0
61,0.1151163108592842,17.0,7.0
62,0.11465960994257807,17.0,8.0
63,0.11522755191120593,17.0,9.0
64,0.12318418442675094,18.0,1.0
65,0.12294651208675567,18.0,2.0
66,0.12380517899462284,18.0,3.0
67,0.12481310731276651,18.0,4.0
68,0.12369206434970181,18.0,5.0
69,0.12319490588162973,18.0,6.0
70,0.12412263815315372,18.0,7.0
71,0.12287524412639428,18.0,8.0
72,0.12207649274735033,18.0,9.0
73,0.13365074006922817,19.0,1.0
74,0.1335308497274581,19.0,2.0
75,0.13356353526960563,19.0,3.0
76,0.13368551144304808,19.0,4.0
77,0.1328057108710472,19.0,5.0
78,0.13259702541917595,19.0,6.0
79,0.13288711718903445,19.0,7.0
80,0.1321439795128403,19.0,8.0
81,0.13234009733004748,19.0,9.0
