,score,i,j
0,0.0,0.0,0.0
1,-5.698180326281678,1.0,0.0
2,-0.2592097994860574,2.0,0.0
3,-0.27522709428684755,3.0,0.0
4,-0.5402877167184561,4.0,0.0
5,-0.6097422797661651,5.0,0.0
6,0.11051624680817618,6.0,0.0
7,-0.04484097635550044,7.0,0.0
8,-0.8011465612290813,8.0,0.0
9,-0.4981543884510713,9.0,0.0
10,-0.5882914885169832,10.0,0.0
11,-0.11115351056782141,11.0,0.0
12,0.013383894166451471,12.0,0.0
13,-0.41650355465092015,13.0,0.0
14,-0.08271115343348501,14.0,0.0
15,0.16050635087819354,15.0,0.0
16,-0.13088790768501735,16.0,0.0
17,-0.22206796674282847,17.0,0.0
18,-0.010144412632517197,18.0,0.0
19,-0.2511732409773424,19.0,0.0
20,-0.29619052834419524,20.0,0.0
21,-0.17371807342232115,21.0,0.0
22,0.11101646464214898,22.0,0.0
23,-0.1266561858377948,23.0,0.0
24,-0.3018928837932626,24.0,0.0
25,-0.048082064168167626,25.0,0.0
26,0.0876235294078197,26.0,0.0
27,-0.3868642835691698,27.0,0.0
28,-0.2851498791381717,28.0,0.0
29,0.018443092196186783,29.0,0.0
30,-0.40747277044529073,30.0,0.0
31,-0.32032160576130053,31.0,0.0
32,-0.17375521744456224,32.0,0.0
33,-0.5755194452506924,33.0,0.0
34,0.004679094056979638,34.0,0.0
35,-0.5319921295101897,35.0,0.0
36,-0.1470086152712473,36.0,0.0
37,-0.5120287591148847,37.0,0.0
38,-0.2949366771590025,38.0,0.0
39,-0.4409987905173014,39.0,0.0
40,-0.3204290938641938,40.0,0.0
41,-0.3637600995846366,41.0,0.0
42,-0.24860849904729654,42.0,0.0
43,-0.02965721212690764,43.0,0.0
44,-0.3859172423054862,44.0,0.0
45,-0.17963460295330025,45.0,0.0
46,-0.4344427430223743,46.0,0.0
47,0.03893062626047583,47.0,0.0
48,-0.42721805700435067,48.0,0.0
49,-0.5711200398020198,49.0,0.0
50,-0.44598263124493176,50.0,0.0
51,-0.21587877410682643,51.0,0.0
52,-0.28912689916995293,52.0,0.0
53,-0.3729423205839377,53.0,0.0
54,-0.3967564489361408,54.0,0.0
55,0.1210188601530453,55.0,0.0
56,-0.3128549913047687,56.0,0.0
57,-0.4432103477739955,57.0,0.0
58,-0.40018691134619044,58.0,0.0
59,-0.8158875434988151,59.0,0.0
60,-0.45655035050660997,60.0,0.0
61,-0.11708324079676258,61.0,0.0
62,-0.07628361264254435,62.0,0.0
63,-0.17989665495479135,63.0,0.0
64,-0.42010183242128574,64.0,0.0
65,-0.525519159351507,65.0,0.0
66,-0.059334673661277204,66.0,0.0
67,-0.16500680498115883,67.0,0.0
68,0.03375400286946806,68.0,0.0
69,-0.1384363534971491,69.0,0.0
70,-0.6253270621881357,70.0,0.0
71,-0.07045310820500839,71.0,0.0
72,-0.6383115399683248,72.0,0.0
73,-0.42400606084471715,73.0,0.0
74,-0.33415434278941336,74.0,0.0
75,-0.6334846435063484,75.0,0.0
76,-0.6496318648628288,76.0,0.0
77,-0.45144104934852103,77.0,0.0
78,-0.5652485020700384,78.0,0.0
79,-0.4863561045802849,79.0,0.0
80,-0.18945508374726816,80.0,0.0
81,-0.04424911924965946,81.0,0.0
82,-0.7102485349442635,82.0,0.0
83,-0.26469864102402063,83.0,0.0
84,-0.03182195904266805,84.0,0.0
85,-0.1339392622372717,85.0,0.0
86,-0.4354359238104797,86.0,0.0
87,-0.4491054671549435,87.0,0.0
88,0.17081287425663838,88.0,0.0
89,-0.4160569747566296,89.0,0.0
90,-0.02807437251193856,90.0,0.0
91,-0.1594452184191526,91.0,0.0
92,0.13425325468390703,92.0,0.0
93,0.0008597576315717559,93.0,0.0
94,-0.4868579746198123,94.0,0.0
95,-0.10787511054759369,95.0,0.0
96,-0.38603298468668723,96.0,0.0
97,-0.5582952688145659,97.0,0.0
98,-0.02961410668461073,98.0,0.0
99,-0.22235098478418713,99.0,0.0
100,-0.5083584937320025,100.0,0.0
