,score,i,j
0,0.0,0.0,0.0
1,0.03851317177223623,1.0,50.0
2,0.03880140572472812,1.0,51.0
3,0.040643277089655205,1.0,52.0
4,0.0404942033329343,1.0,53.0
5,0.04034759388397646,1.0,54.0
6,0.04006970672066368,1.0,55.0
7,0.03700415270365143,1.0,56.0
8,0.040501555948214696,1.0,57.0
9,0.03987583816170648,1.0,58.0
10,0.04225454316150501,1.0,59.0
11,0.04680940895697372,2.0,50.0
12,0.04426764785174131,2.0,51.0
13,0.0464753415984166,2.0,52.0
14,0.046622323369822305,2.0,53.0
15,0.046345729186069606,2.0,54.0
16,0.0446132391232964,2.0,55.0
17,0.04513409572406479,2.0,56.0
18,0.04848274209419323,2.0,57.0
19,0.04503298605202688,2.0,58.0
20,0.04565054615915587,2.0,59.0
21,0.022663978995987932,3.0,50.0
22,0.02354754919130897,3.0,51.0
23,0.02329084183659469,3.0,52.0
24,0.027221561318531373,3.0,53.0
25,0.02514678820707028,3.0,54.0
26,0.02279668779385402,3.0,55.0
27,0.023562252480671675,3.0,56.0
28,0.02379114819549566,3.0,57.0
29,0.020618181038499217,3.0,58.0
30,0.022833244508401407,3.0,59.0
31,0.005944329023729988,4.0,50.0
32,0.007727713777595846,4.0,51.0
33,0.010690401952834216,4.0,52.0
34,0.005558894973698658,4.0,53.0
35,0.007197518624147969,4.0,54.0
36,0.011631329791719769,4.0,55.0
37,0.007814924021617098,4.0,56.0
38,0.011232451112859976,4.0,57.0
39,0.004214919369279757,4.0,58.0
40,0.00308475939151287,4.0,59.0
41,-0.04366161391558698,5.0,50.0
42,-0.05069537426099657,5.0,51.0
43,-0.05498840645164926,5.0,52.0
44,-0.050765737077054895,5.0,53.0
45,-0.043454077094371435,5.0,54.0
46,-0.05661412766707663,5.0,55.0
47,-0.046441676335403415,5.0,56.0
48,-0.0503901114790728,5.0,57.0
49,-0.04260562820877767,5.0,58.0
50,-0.04979992809000966,5.0,59.0
51,-0.13774763883627594,6.0,50.0
52,-0.1357508435736905,6.0,51.0
53,-0.12252811132944608,6.0,52.0
54,-0.11918826759962986,6.0,53.0
55,-0.1189749879748947,6.0,54.0
56,-0.1240945512906606,6.0,55.0
57,-0.11615290299239889,6.0,56.0
58,-0.1237191793179595,6.0,57.0
