,score,i,j
0,0.0,0.0,0.0
1,0.020790325753578753,1.0,1.0
2,0.020790325753578753,1.0,2.0
3,0.020790325753578753,1.0,3.0
4,0.020790325753578753,1.0,4.0
5,0.020790325753578753,1.0,5.0
6,0.020790325753578753,1.0,6.0
7,0.020790325753578753,1.0,7.0
8,0.020790325753578753,1.0,8.0
9,0.020790325753578753,1.0,9.0
10,-0.0008653628596984042,2.0,1.0
11,-0.0008653628596984042,2.0,2.0
12,-0.0008653628596984042,2.0,3.0
13,-0.0008653628596984042,2.0,4.0
14,-0.0008653628596984042,2.0,5.0
15,-0.0008653628596984042,2.0,6.0
16,-0.0008653628596984042,2.0,7.0
17,-0.0008653628596984042,2.0,8.0
18,-0.0008653628596984042,2.0,9.0
19,-0.06810576100587795,3.0,1.0
20,-0.0635443502422881,3.0,2.0
21,-0.0635443502422881,3.0,3.0
22,-0.0635443502422881,3.0,4.0
23,-0.0635443502422881,3.0,5.0
24,-0.0635443502422881,3.0,6.0
25,-0.0635443502422881,3.0,7.0
26,-0.0635443502422881,3.0,8.0
27,-0.0635443502422881,3.0,9.0
28,-0.1293649973267521,4.0,1.0
29,-0.13006572096851565,4.0,2.0
30,-0.13119255071597702,4.0,3.0
31,-0.13119255071597702,4.0,4.0
32,-0.12599365888496838,4.0,5.0
33,-0.12599365888496838,4.0,6.0
34,-0.12490537899899579,4.0,7.0
35,-0.12490537899899579,4.0,8.0
36,-0.12427494645930026,4.0,9.0
37,-0.07795954403845107,5.0,1.0
38,-0.35932576529435556,5.0,2.0
39,-1.0059952858438677,5.0,3.0
40,-0.7467278940285584,5.0,4.0
41,-0.7416393534042622,5.0,5.0
42,-0.7416393534042622,5.0,6.0
43,-0.7405399189501383,5.0,7.0
44,-0.7405399189501383,5.0,8.0
45,-0.739431666017992,5.0,9.0
46,-0.31212529322138005,6.0,1.0
47,-0.69744028343551,6.0,2.0
48,-1.3834907783133348,6.0,3.0
49,-1.093774816013667,6.0,4.0
50,-1.0818296000081342,6.0,5.0
51,-0.7796062110330724,6.0,6.0
52,-0.8364901769766591,6.0,7.0
53,-0.8365309719813763,6.0,8.0
54,-0.8329119135950331,6.0,9.0
55,-1.2397223212889323,7.0,1.0
56,-0.8819898827548742,7.0,2.0
57,-1.6265734579605957,7.0,3.0
58,-1.0170243809845685,7.0,4.0
59,-1.0010563773347823,7.0,5.0
60,-0.7116623844541619,7.0,6.0
