,score,i,j
0,0.0,0.0,0.0
1,-8.770023531310756,101.0,0.0
2,0.18970972502964634,102.0,0.0
3,-3.917181899888657,103.0,0.0
4,-4.678016768409498,104.0,0.0
5,-2.2083741344176575,105.0,0.0
6,-0.06167533642092948,106.0,0.0
7,-5.2291024445322645,107.0,0.0
8,-0.8430313207019369,108.0,0.0
9,-4.013453846632606,109.0,0.0
10,-3.1514647682611914,110.0,0.0
11,-2.2181589536539805,111.0,0.0
12,-4.218086916696996,112.0,0.0
13,-26.236104602857072,113.0,0.0
14,-4.696423961432482,114.0,0.0
15,-2.2195987440697973,115.0,0.0
16,-7.449242547689286,116.0,0.0
17,-3.9821988340822054,117.0,0.0
18,-11.334216485671375,118.0,0.0
19,-0.7458554448535173,119.0,0.0
20,-26.27895274338156,120.0,0.0
21,0.15222496973826272,121.0,0.0
22,-0.6675206627869159,122.0,0.0
23,-0.7481199428672087,123.0,0.0
24,-3.155364280070841,124.0,0.0
25,-10.198938275995879,125.0,0.0
26,-0.010545781606207116,126.0,0.0
27,-0.10359119945469741,127.0,0.0
28,-1.151088497139483,128.0,0.0
29,-0.21072712403476612,129.0,0.0
30,-1.1921487825161226,130.0,0.0
31,-1.034233865038138,131.0,0.0
32,-2.3970999019870796,132.0,0.0
33,-6.680339280665844,133.0,0.0
34,-3.162639434106647,134.0,0.0
35,-4.993843952915414,135.0,0.0
36,0.08091567441240544,136.0,0.0
37,-7.818517418138098,137.0,0.0
38,-2.9367224193740227,138.0,0.0
39,-1.6273737906212151,139.0,0.0
40,-6.752538305580815,140.0,0.0
41,-2.3493828187572205,141.0,0.0
42,-0.9618176989166289,142.0,0.0
43,-1.9831739319813595,143.0,0.0
44,-0.753065535996094,144.0,0.0
45,-1.9081023846940446,145.0,0.0
46,-3.3929551268814846,146.0,0.0
47,-0.7016944099653037,147.0,0.0
48,-0.18591143741512983,148.0,0.0
49,-41.498251936025504,149.0,0.0
50,-3.668797330438318,150.0,0.0
51,-2.309292917387425,151.0,0.0
52,-1.04373827848816,152.0,0.0
53,-1.3323551266547118,153.0,0.0
54,-0.9745463443384119,154.0,0.0
55,-1.7648690723281413,155.0,0.0
56,-5.200004019848695,156.0,0.0
57,-17.776047897245107,157.0,0.0
58,-1.7082592400078913,158.0,0.0
59,-1.6709562349640907,159.0,0.0
60,-1.6354197596266782,160.0,0.0
61,-15.721409386708764,161.0,0.0
62,-2.276689445314994,162.0,0.0
63,-0.24609242547504295,163.0,0.0
64,-0.3415801236766298,164.0,0.0
65,-5.619569269149468,165.0,0.0
66,-1.6833242145740788,166.0,0.0
67,-0.5963049841774,167.0,0.0
68,-1.0271273649588406,168.0,0.0
69,-0.20885054968275485,169.0,0.0
70,-150.71639827250067,170.0,0.0
71,-8.20333875404957,171.0,0.0
72,-4.180478156584486,172.0,0.0
73,-2.1416333666330862,173.0,0.0
74,-1.2307129645297805,174.0,0.0
75,-1.7481420007977095,175.0,0.0
76,-1.8478234803060514,176.0,0.0
77,-0.9391640169836037,177.0,0.0
78,-13.048161297365109,178.0,0.0
79,-0.9960992968363263,179.0,0.0
80,-1.7534840994667937,180.0,0.0
81,-1.757331020466676,181.0,0.0
82,-4.593304727529254,182.0,0.0
83,-3.3994872912097955,183.0,0.0
84,-3.968181094186952,184.0,0.0
85,-1.2847202006414862,185.0,0.0
86,-0.2806309160248561,186.0,0.0
87,-1.2933489565278031,187.0,0.0
88,-3.860691928251078,188.0,0.0
89,-0.24538206491227443,189.0,0.0
90,-1.518452732808805,190.0,0.0
91,-14.821563007859776,191.0,0.0
92,-2.7651014462224794,192.0,0.0
93,-0.36599895353674183,193.0,0.0
94,-0.791414680553062,194.0,0.0
95,-1.3791610467880355,195.0,0.0
96,-4.894302192230765,196.0,0.0
97,-0.091657851256286,197.0,0.0
98,-0.5866101217911157,198.0,0.0
99,-4.291185411629392,199.0,0.0
