,score,i,j
0,0.0,0.0,0.0
1,-0.012483404468921266,1.0,1.0
2,-0.012483404468921266,1.0,2.0
3,-0.012483404468921266,1.0,3.0
4,-0.012483404468921266,1.0,4.0
5,-0.012483404468921266,1.0,5.0
6,-0.012483404468921266,1.0,6.0
7,-0.012483404468921266,1.0,7.0
8,-0.012483404468921266,1.0,8.0
9,-0.012483404468921266,1.0,9.0
10,0.006362502392147196,2.0,1.0
11,0.006362502392147196,2.0,2.0
12,0.006362502392147196,2.0,3.0
13,0.006362502392147196,2.0,4.0
14,0.006362502392147196,2.0,5.0
15,0.006362502392147196,2.0,6.0
16,0.006362502392147196,2.0,7.0
17,0.006362502392147196,2.0,8.0
18,0.006362502392147196,2.0,9.0
19,0.08524399384986137,3.0,1.0
20,0.08522827571202096,3.0,2.0
21,0.08522827571202096,3.0,3.0
22,0.08522827571202096,3.0,4.0
23,0.08522827571202096,3.0,5.0
24,0.08522827571202096,3.0,6.0
25,0.08522827571202096,3.0,7.0
26,0.08522827571202096,3.0,8.0
27,0.08522827571202096,3.0,9.0
28,0.1139464051086082,4.0,1.0
29,0.11492472600529124,4.0,2.0
30,0.1149374625954388,4.0,3.0
31,0.11475867847225174,4.0,4.0
32,0.1149863346340001,4.0,5.0
33,0.1149863346340001,4.0,6.0
34,0.1149863346340001,4.0,7.0
35,0.1149863346340001,4.0,8.0
36,0.1149863346340001,4.0,9.0
37,0.11889408336857865,5.0,1.0
38,0.16028043235414324,5.0,2.0
39,0.15404041109716393,5.0,3.0
40,0.15369706998949606,5.0,4.0
41,0.1540346921483815,5.0,5.0
42,0.15441031940508954,5.0,6.0
43,0.15441031940508954,5.0,7.0
44,0.15394588215963578,5.0,8.0
45,0.1548606182576867,5.0,9.0
46,0.124419638377672,6.0,1.0
47,0.1323967283947215,6.0,2.0
48,0.1262142995811084,6.0,3.0
49,0.14956385043238474,6.0,4.0
50,0.14994981666498475,6.0,5.0
51,0.21313201959131955,6.0,6.0
52,0.21111127801921015,6.0,7.0
53,0.21070020853084392,6.0,8.0
54,0.21158457785042917,6.0,9.0
55,0.16762060918698773,7.0,1.0
