,score,i,j
0,0.0,0.0,0.0
1,-0.007797154665490913,1.0,60.0
2,-0.008194823252391847,1.0,61.0
3,-0.007892559965867019,1.0,62.0
4,-0.009366212077151381,1.0,63.0
5,-0.009002530612147952,1.0,64.0
6,-0.0078344428942545,1.0,65.0
7,-0.007690390315417295,1.0,66.0
8,-0.007078975747469851,1.0,67.0
9,-0.007654949644865683,1.0,68.0
10,-0.006789458482016952,1.0,69.0
11,0.004877240346296663,2.0,60.0
12,0.005458053497745863,2.0,61.0
13,0.008983570618788628,2.0,62.0
14,0.006252995584177912,2.0,63.0
15,0.008574341438025712,2.0,64.0
16,0.008119125288542195,2.0,65.0
17,0.004890370671548738,2.0,66.0
18,0.004052053517026755,2.0,67.0
19,0.0068349658568052085,2.0,68.0
20,0.004704144631747398,2.0,69.0
21,-0.029077792469353714,3.0,60.0
22,-0.050060205153189985,3.0,61.0
23,-0.06511831255938816,3.0,62.0
24,-0.06735161265628475,3.0,63.0
25,-0.048508236403260074,3.0,64.0
26,-0.0376041662032236,3.0,65.0
27,-0.047932729206314306,3.0,66.0
28,-0.04825368411845887,3.0,67.0
29,-0.03682226715773518,3.0,68.0
30,-0.05707945775073875,3.0,69.0
31,0.39900953741491174,4.0,60.0
32,0.41813081648341166,4.0,61.0
33,0.3813222137380511,4.0,62.0
34,0.35839358682600586,4.0,63.0
35,0.38754137333601835,4.0,64.0
36,0.38027232550897605,4.0,65.0
37,0.3713443924617934,4.0,66.0
38,0.3780506027257138,4.0,67.0
39,0.3775122401877512,4.0,68.0
40,0.3771302966068849,4.0,69.0
41,0.5123523588337028,5.0,60.0
42,0.48469187613157916,5.0,61.0
43,0.49650162853027324,5.0,62.0
44,0.5081716664658777,5.0,63.0
45,0.5114664031662475,5.0,64.0
46,0.4912094362129895,5.0,65.0
47,0.5067493308840127,5.0,66.0
48,0.4952884978590897,5.0,67.0
49,0.4988326359889911,5.0,68.0
50,0.4911946182675395,5.0,69.0
51,0.5372331690985968,6.0,60.0
52,0.5278801433627044,6.0,61.0
53,0.5580661120803162,6.0,62.0
54,0.5492362466004178,6.0,63.0
55,0.5319369065024169,6.0,64.0
56,0.5315668527953183,6.0,65.0
57,0.5236374723397472,6.0,66.0
58,0.5385835764281306,6.0,67.0
59,0.5311378957314625,6.0,68.0
60,0.5373950518569017,6.0,69.0
61,0.5619520625156778,7.0,60.0
62,0.5624467119641472,7.0,61.0
63,0.5474992369417533,7.0,62.0
64,0.5481270458734254,7.0,63.0
65,0.5869623269966163,7.0,64.0
66,0.5688704323089009,7.0,65.0
67,0.563450300185107,7.0,66.0
68,0.556344840485725,7.0,67.0
69,0.5705704645269654,7.0,68.0
70,0.5563655263894434,7.0,69.0
71,0.5617702944069085,8.0,60.0
72,0.5547873063616164,8.0,61.0
73,0.5706884572417135,8.0,62.0
74,0.5763486334695561,8.0,63.0
75,0.5623568668341441,8.0,64.0
76,0.5671152552477821,8.0,65.0
77,0.5748996336954098,8.0,66.0
78,0.6054183612694635,8.0,67.0
79,0.5531589886646993,8.0,68.0
80,0.5661537630487248,8.0,69.0
81,0.5741371773917878,9.0,60.0
82,0.5593192607830789,9.0,61.0
83,0.5636513490704584,9.0,62.0
84,0.5711245798986884,9.0,63.0
85,0.5721538709114011,9.0,64.0
86,0.5930156020331637,9.0,65.0
87,0.5779650708675412,9.0,66.0
88,0.5679972756257735,9.0,67.0
89,0.5814108116866519,9.0,68.0
90,0.5572616740622166,9.0,69.0
91,0.5857718427517019,10.0,60.0
92,0.5867674981960149,10.0,61.0
93,0.5889852667986937,10.0,62.0
94,0.5809387626975353,10.0,63.0
95,0.5884785176734033,10.0,64.0
96,0.5500543811991819,10.0,65.0
97,0.5794788198179136,10.0,66.0
98,0.5667185686475383,10.0,67.0
99,0.5705341417712839,10.0,68.0
100,0.5918729142081189,10.0,69.0
101,0.5784180277282123,11.0,60.0
102,0.5840318182161434,11.0,61.0
103,0.5747052650116933,11.0,62.0
104,0.5622561891705801,11.0,63.0
105,0.5648553392211955,11.0,64.0
106,0.5862409725439456,11.0,65.0
107,0.5942923604228763,11.0,66.0
108,0.5956513194135413,11.0,67.0
109,0.5803449913066111,11.0,68.0
110,0.5832902052264162,11.0,69.0
111,0.5967472171827741,12.0,60.0
112,0.5611465313213404,12.0,61.0
113,0.582416010095995,12.0,62.0
114,0.5847814945615866,12.0,63.0
115,0.5817391673964935,12.0,64.0
116,0.5796780925639322,12.0,65.0
117,0.5720265640637818,12.0,66.0
118,0.5822046130141878,12.0,67.0
119,0.5696636014329408,12.0,68.0
120,0.5715608093133551,12.0,69.0
121,0.5803954016903323,13.0,60.0
122,0.5860145668281649,13.0,61.0
123,0.5777914117159821,13.0,62.0
124,0.5945415109538015,13.0,63.0
125,0.6019134902152609,13.0,64.0
126,0.5641886558617862,13.0,65.0
127,0.570291414774684,13.0,66.0
128,0.5858274509839285,13.0,67.0
129,0.5796981687564664,13.0,68.0
130,0.5998255083523868,13.0,69.0
131,0.5744815173447546,14.0,60.0
132,0.5901147280677332,14.0,61.0
133,0.5606868443050128,14.0,62.0
134,0.5839152046926647,14.0,63.0
135,0.5823261854688824,14.0,64.0
136,0.5732130879175523,14.0,65.0
137,0.5687979176919641,14.0,66.0
138,0.5943273472993085,14.0,67.0
139,0.5826528783845397,14.0,68.0
140,0.5779138741290473,14.0,69.0
141,0.5783214596018114,15.0,60.0
142,0.5753543422232598,15.0,61.0
143,0.5867964248161655,15.0,62.0
144,0.5912724292668607,15.0,63.0
145,0.5788539170060241,15.0,64.0
146,0.5808955569092908,15.0,65.0
147,0.5794020831713584,15.0,66.0
148,0.5826756097569059,15.0,67.0
149,0.5705308229101316,15.0,68.0
150,0.5848116803105072,15.0,69.0
151,0.5884819040408111,16.0,60.0
152,0.5750454621348831,16.0,61.0
153,0.5840106008045752,16.0,62.0
154,0.5736682395235084,16.0,63.0
155,0.5791995265971811,16.0,64.0
156,0.57776621286129,16.0,65.0
157,0.5965788083640704,16.0,66.0
158,0.5718694476470109,16.0,67.0
159,0.5758083248754731,16.0,68.0
160,0.5917462179009936,16.0,69.0
161,0.5982674731690745,17.0,60.0
162,0.5669503303044119,17.0,61.0
163,0.579974047732742,17.0,62.0
164,0.589110356315769,17.0,63.0
165,0.5698845789056387,17.0,64.0
166,0.5938721182974362,17.0,65.0
167,0.5783436169901217,17.0,66.0
168,0.5754096376204919,17.0,67.0
169,0.5570379102509678,17.0,68.0
170,0.5923335379683966,17.0,69.0
171,0.5765260921729277,18.0,60.0
172,0.5808456367441865,18.0,61.0
173,0.5740715616648934,18.0,62.0
174,0.5667625975256565,18.0,63.0
175,0.5760353638469755,18.0,64.0
176,0.5731651838532896,18.0,65.0
177,0.5661410175857616,18.0,66.0
178,0.5651177127530129,18.0,67.0
179,0.5663033929642428,18.0,68.0
180,0.5778704107953839,18.0,69.0
181,0.5809598795232134,19.0,60.0
182,0.5880600406087346,19.0,61.0
183,0.5775431848328448,19.0,62.0
184,0.5806768137462848,19.0,63.0
185,0.5876075184306033,19.0,64.0
186,0.5918132344075766,19.0,65.0
187,0.5859906767208478,19.0,66.0
188,0.5558487317578272,19.0,67.0
189,0.5659223512315762,19.0,68.0
190,0.5957882471342584,19.0,69.0
191,0.5728036059812569,20.0,60.0
192,0.5732428240329142,20.0,61.0
193,0.5757686111716558,20.0,62.0
194,0.5879213120894432,20.0,63.0
195,0.5760592688671208,20.0,64.0
196,0.5952592455857177,20.0,65.0
197,0.586509324967015,20.0,66.0
198,0.5646276156475867,20.0,67.0
199,0.5790360815224689,20.0,68.0
200,0.5926751533769687,20.0,69.0
201,0.5506199198932455,21.0,60.0
202,0.5763638114690899,21.0,61.0
203,0.5859416017395005,21.0,62.0
204,0.5961324544275841,21.0,63.0
205,0.5834527282057891,21.0,64.0
206,0.5867651978446249,21.0,65.0
207,0.5942983537452909,21.0,66.0
208,0.5554835257980806,21.0,67.0
209,0.5827070272826409,21.0,68.0
210,0.5766658275040868,21.0,69.0
211,0.5748262585571238,22.0,60.0
212,0.5728673900797502,22.0,61.0
213,0.5851977443760364,22.0,62.0
214,0.5638677772152022,22.0,63.0
215,0.5666648448822869,22.0,64.0
216,0.5734627844686839,22.0,65.0
217,0.5731973869257503,22.0,66.0
