,score,i,j
0,0.0,0.0,0.0
1,0.053195794528084095,1.0,1.0
2,0.053195794528084095,1.0,2.0
3,0.053195794528084095,1.0,3.0
4,0.053195794528084095,1.0,4.0
5,0.053195794528084095,1.0,5.0
6,0.053195794528084095,1.0,6.0
7,0.053195794528084095,1.0,7.0
8,0.053195794528084095,1.0,8.0
9,0.053195794528084095,1.0,9.0
10,0.10524050633642057,2.0,1.0
11,0.10524050633642057,2.0,2.0
12,0.10524050633642057,2.0,3.0
13,0.10524050633642057,2.0,4.0
14,0.10524050633642057,2.0,5.0
15,0.10524050633642057,2.0,6.0
16,0.10524050633642057,2.0,7.0
17,0.10524050633642057,2.0,8.0
18,0.10524050633642057,2.0,9.0
19,0.08381568200066503,3.0,1.0
20,0.08381568200066503,3.0,2.0
21,0.08381568200066503,3.0,3.0
22,0.08381568200066503,3.0,4.0
23,0.08381568200066503,3.0,5.0
24,0.08381568200066503,3.0,6.0
25,0.08381568200066503,3.0,7.0
26,0.08381568200066503,3.0,8.0
27,0.08381568200066503,3.0,9.0
28,0.064946753952424,4.0,1.0
29,0.057580710246220024,4.0,2.0
30,0.0649266698881531,4.0,3.0
31,0.0649277188838836,4.0,4.0
32,0.06492743635707898,4.0,5.0
33,0.06495909004857026,4.0,6.0
34,0.06360827774889954,4.0,7.0
35,0.0649022901162698,4.0,8.0
36,0.0649022901162698,4.0,9.0
37,0.03816620931271353,5.0,1.0
38,0.03033112518297143,5.0,2.0
39,0.037635142950392275,5.0,3.0
40,0.037635142950392275,5.0,4.0
41,0.037635142950392275,5.0,5.0
42,0.037687006354343966,5.0,6.0
43,0.02827703008482807,5.0,7.0
44,0.03577765661729426,5.0,8.0
45,0.03498576236933648,5.0,9.0
46,0.07885011085381755,6.0,1.0
47,0.07156283650624085,6.0,2.0
48,0.07886503401116085,6.0,3.0
49,-0.027172667836613318,6.0,4.0
50,0.03894623708963185,6.0,5.0
51,0.039015705343895424,6.0,6.0
52,0.029375707041992993,6.0,7.0
53,0.03709666642033871,6.0,8.0
54,0.036240618736057106,6.0,9.0
55,0.06202618815252203,7.0,1.0
56,0.05576927919571262,7.0,2.0
57,0.0632544924465227,7.0,3.0
58,-0.043031935943023125,7.0,4.0
59,0.018276337215081262,7.0,5.0
60,0.02285195032384224,7.0,6.0
61,0.013080887063169677,7.0,7.0
62,0.02081816107346357,7.0,8.0
63,0.019922343770566897,7.0,9.0
64,0.06962117383788713,8.0,1.0
65,0.06437165664375932,8.0,2.0
66,0.07207871813785172,8.0,3.0
67,-0.037636561587312656,8.0,4.0
68,0.023377937484480693,8.0,5.0
69,0.027989905122589365,8.0,6.0
70,0.016749437227018937,8.0,7.0
71,0.01975698791307101,8.0,8.0
72,0.018829071422414523,8.0,9.0
73,0.07615562076471938,9.0,1.0
74,0.06627048215752673,9.0,2.0
75,0.07634724228059397,9.0,3.0
76,-0.03381500896871836,9.0,4.0
77,0.026656784922601373,9.0,5.0
78,0.031924304648885515,9.0,6.0
79,0.019630318621185916,9.0,7.0
80,0.020629458763999464,9.0,8.0
81,0.018500981447338027,9.0,9.0
82,0.07801323439485752,10.0,1.0
83,0.06916359548663054,10.0,2.0
84,0.07224383847790194,10.0,3.0
85,-0.03378449719746168,10.0,4.0
86,0.026092647289194693,10.0,5.0
87,0.03156268903179438,10.0,6.0
88,0.019450328040894083,10.0,7.0
89,0.02072996389803672,10.0,8.0
90,0.01857123479820233,10.0,9.0
91,0.06975255565047278,11.0,1.0
92,0.07253801529092696,11.0,2.0
93,0.07433991128968953,11.0,3.0
94,-0.03498987597192538,11.0,4.0
95,0.025803097282836474,11.0,5.0
96,0.031202354429788803,11.0,6.0
97,0.019199058761379062,11.0,7.0
98,0.020546081091030843,11.0,8.0
99,0.01835776376211118,11.0,9.0
100,0.0734670820203559,12.0,1.0
101,0.06805893053544643,12.0,2.0
102,0.06983318262118088,12.0,3.0
103,-0.035861703871318706,12.0,4.0
104,0.024233382086295774,12.0,5.0
105,0.02982611039867389,12.0,6.0
106,0.017837443259304253,12.0,7.0
107,0.01904512235178235,12.0,8.0
108,0.016861035090877996,12.0,9.0
109,0.06879849821733897,13.0,1.0
110,0.06048446364297744,13.0,2.0
111,0.0702293021384729,13.0,3.0
112,-0.03889437600925372,13.0,4.0
113,0.02205129010724216,13.0,5.0
114,0.027726286238646036,13.0,6.0
115,0.01589036798777188,13.0,7.0
116,0.01730679057177531,13.0,8.0
117,0.01491891770925513,13.0,9.0
118,0.0654792069779635,14.0,1.0
119,0.06767374002932425,14.0,2.0
120,0.07085174292771323,14.0,3.0
121,-0.038757888330886336,14.0,4.0
122,0.022154248397779575,14.0,5.0
123,0.02814199135395734,14.0,6.0
124,0.015688942910449866,14.0,7.0
125,0.016612965943909597,14.0,8.0
126,0.014384040878184345,14.0,9.0
127,0.06265765487785557,15.0,1.0
128,0.061785895601018104,15.0,2.0
129,0.07001186859339159,15.0,3.0
130,-0.03932574511097808,15.0,4.0
131,0.0214749807837874,15.0,5.0
132,0.027988676247889588,15.0,6.0
133,0.01561821572369837,15.0,7.0
134,0.01679361275141622,15.0,8.0
135,0.01457959895442773,15.0,9.0
136,0.06228995628345746,16.0,1.0
137,0.06156499647696667,16.0,2.0
138,0.0695077067558989,16.0,3.0
139,-0.03978505540555988,16.0,4.0
140,0.021250032668799435,16.0,5.0
141,0.027999499661043092,16.0,6.0
142,0.015526981158122788,16.0,7.0
143,0.016540862213510144,16.0,8.0
144,0.0144451096746947,16.0,9.0
145,0.05908095641660793,17.0,1.0
146,0.05891783661334493,17.0,2.0
147,0.06991816530007156,17.0,3.0
148,-0.039731428291986726,17.0,4.0
149,0.02142909392319281,17.0,5.0
150,0.028015699318056697,17.0,6.0
151,0.015626972420996088,17.0,7.0
152,0.016594279009781165,17.0,8.0
153,0.014478655526996564,17.0,9.0
154,0.05993828719065619,18.0,1.0
155,0.05862142222950817,18.0,2.0
156,0.06995597786322816,18.0,3.0
157,-0.0396077679795972,18.0,4.0
158,0.0213366421112402,18.0,5.0
159,0.028015699318056697,18.0,6.0
160,0.015626972420996088,18.0,7.0
161,0.016594279009781165,18.0,8.0
162,0.014478655526996564,18.0,9.0
163,0.06373260906350753,19.0,1.0
164,0.05832669605316154,19.0,2.0
165,0.06525300552830993,19.0,3.0
166,-0.039687613692078516,19.0,4.0
167,0.02139307788559275,19.0,5.0
168,0.028015699318056697,19.0,6.0
169,0.015626972420996088,19.0,7.0
170,0.016594279009781165,19.0,8.0
171,0.014478655526996564,19.0,9.0
172,0.0556593184780837,20.0,1.0
173,0.057297402583037504,20.0,2.0
174,0.06976346868881222,20.0,3.0
175,-0.039664318618446215,20.0,4.0
176,0.02139307788559275,20.0,5.0
177,0.028015699318056697,20.0,6.0
178,0.015626972420996088,20.0,7.0
179,0.016594279009781165,20.0,8.0
180,0.014478655526996564,20.0,9.0
181,0.058476220912683674,21.0,1.0
182,0.05725288940063433,21.0,2.0
183,0.06973420444108358,21.0,3.0
184,-0.039664318618446215,21.0,4.0
185,0.02139307788559275,21.0,5.0
186,0.028015699318056697,21.0,6.0
187,0.015626972420996088,21.0,7.0
188,0.016594279009781165,21.0,8.0
189,0.014478655526996564,21.0,9.0
190,0.05460220269858174,22.0,1.0
191,0.06060212333262105,22.0,2.0
192,0.06973420444108358,22.0,3.0
193,-0.039664318618446215,22.0,4.0
194,0.02139307788559275,22.0,5.0
195,0.028015699318056697,22.0,6.0
