,score,i,j
0,0.0,0.0,0.0
1,-0.001464863185882015,1.0,60.0
2,-0.0012699495389183468,1.0,61.0
3,-0.0015995173756448988,1.0,62.0
4,-0.0019002362323203847,1.0,63.0
5,-0.0023558155174880913,1.0,64.0
6,-0.002106147217471044,1.0,65.0
7,-0.001955561549250362,1.0,66.0
8,-0.001882437261194525,1.0,67.0
9,-0.0021187067580961116,1.0,68.0
10,-0.0021430961598534193,1.0,69.0
11,-0.0023316535932564886,2.0,60.0
12,-0.0024836864881705445,2.0,61.0
13,-0.0020255671737421377,2.0,62.0
14,-0.0020477355683048426,2.0,63.0
15,-0.0025442278951850472,2.0,64.0
16,-0.002577682824505878,2.0,65.0
17,-0.003371533177318309,2.0,66.0
18,-0.002971793006043555,2.0,67.0
19,-0.002261653211814485,2.0,68.0
20,-0.002280061403146183,2.0,69.0
21,-0.0023316535932564886,3.0,60.0
22,-0.0024836864881705445,3.0,61.0
23,-0.0020255671737421377,3.0,62.0
24,-0.0020477355683048426,3.0,63.0
25,-0.0025442278951850472,3.0,64.0
26,-0.002577682824505878,3.0,65.0
27,-0.003371533177318309,3.0,66.0
28,-0.002971793006043555,3.0,67.0
29,-0.002261653211814485,3.0,68.0
30,-0.002280061403146183,3.0,69.0
31,-0.0026950093415665233,4.0,60.0
32,-0.0026295348206206715,4.0,61.0
33,-0.003402952455907382,4.0,62.0
34,-0.002944726418666832,4.0,63.0
35,-0.002893450051785651,4.0,64.0
36,-0.0028305838188289467,4.0,65.0
37,-0.0033336228644984534,4.0,66.0
38,-0.0032948642956258656,4.0,67.0
39,-0.0034553021346999113,4.0,68.0
40,-0.004070738686261954,4.0,69.0
41,-0.0035396319150311495,5.0,60.0
42,-0.0032918811385573843,5.0,61.0
43,-0.00316275397713639,5.0,62.0
44,-0.0033504026403163856,5.0,63.0
45,-0.003476975385680481,5.0,64.0
46,-0.0042133750861885755,5.0,65.0
47,-0.004312179038280961,5.0,66.0
48,-0.003964864129639256,5.0,67.0
49,-0.0037416375071281927,5.0,68.0
50,-0.003786064995026317,5.0,69.0
51,-0.0037314682493039264,6.0,60.0
52,-0.0034730586016695764,6.0,61.0
53,-0.0035112267076822246,6.0,62.0
54,-0.003647394381415703,6.0,63.0
55,-0.003689686894776667,6.0,64.0
56,-0.0038782506961307917,6.0,65.0
57,-0.0036129564145650495,6.0,66.0
58,-0.003656142322714162,6.0,67.0
59,-0.0036134188145082735,6.0,68.0
60,-0.004358772185105719,6.0,69.0
61,-0.0015982071131974696,7.0,60.0
62,-0.0018195233495630347,7.0,61.0
63,-0.0023411128765913336,7.0,62.0
64,-0.0023866382572512723,7.0,63.0
65,-0.0029773200238236708,7.0,64.0
66,-0.0028970153936842546,7.0,65.0
67,-0.0029294831791712994,7.0,66.0
68,-0.0027521608423430877,7.0,67.0
69,-0.002767563619224589,7.0,68.0
70,-0.0027141254357156974,7.0,69.0
71,-0.003312561083099075,8.0,60.0
72,-0.0029583226207825497,8.0,61.0
73,-0.002345368961665928,8.0,62.0
74,-0.0021607978356461555,8.0,63.0
75,-0.002252031902197693,8.0,64.0
76,-0.002409604025435552,8.0,65.0
77,-0.0026752587843661413,8.0,66.0
78,-0.0028691252766051,8.0,67.0
79,-0.00337920553620652,8.0,68.0
80,-0.0033873710825309544,8.0,69.0
81,-0.003164464160136715,9.0,60.0
82,-0.0028727402701254068,9.0,61.0
83,-0.002853712550148657,9.0,62.0
84,-0.0027480803439370316,9.0,63.0
85,-0.002496255427089533,9.0,64.0
86,-0.002662047678912094,9.0,65.0
87,-0.0026001005101510266,9.0,66.0
88,-0.0026110243759212004,9.0,67.0
89,-0.003495456260566465,9.0,68.0
90,-0.003665598280421678,9.0,69.0
91,-0.006675862284012846,10.0,60.0
92,-0.0067456621899089075,10.0,61.0
93,-0.007305550483266865,10.0,62.0
94,-0.00746682581236513,10.0,63.0
95,-0.007554100308330591,10.0,64.0
96,-0.007559774422224219,10.0,65.0
97,-0.007681809774589654,10.0,66.0
98,-0.008208702843764515,10.0,67.0
99,-0.008400059711703323,10.0,68.0
100,-0.008117614577908938,10.0,69.0
101,-0.006675866307638945,11.0,60.0
102,-0.00674566362740836,11.0,61.0
103,-0.007305549102517128,11.0,62.0
104,-0.007467135099801014,11.0,63.0
105,-0.007554632071878453,11.0,64.0
106,-0.007560239030789617,11.0,65.0
107,-0.007682306804613015,11.0,66.0
108,-0.008209075693205392,11.0,67.0
109,-0.008400454459203122,11.0,68.0
