,score,i,j
0,0.0,0.0,0.0
1,-4.510691429518907,1.0,0.0
2,-1.8787259327347985,2.0,0.0
3,-1.9179563713558605,3.0,0.0
4,-4.425487574235739,4.0,0.0
5,-0.3832736020362335,5.0,0.0
6,-6.7901604507477415,6.0,0.0
7,-0.4167383526793591,7.0,0.0
8,-2.501848118723825,8.0,0.0
9,-0.8736522645720464,9.0,0.0
10,-1.875321977279818,10.0,0.0
11,-3.078453351756246,11.0,0.0
12,-6.593389219801301,12.0,0.0
13,-0.25860073912233306,13.0,0.0
14,-0.27818753649632955,14.0,0.0
15,-0.25650870113438207,15.0,0.0
16,-0.12549062104255349,16.0,0.0
17,-3.8057836062880517,17.0,0.0
18,-2.8249626417653264,18.0,0.0
19,-2.5309954264960597,19.0,0.0
20,0.22673539892489447,20.0,0.0
21,-6.260727767651966,21.0,0.0
22,-4.532894174726371,22.0,0.0
23,-0.4853908338016468,23.0,0.0
24,-0.2774587910546187,24.0,0.0
25,-0.6501034718371148,25.0,0.0
26,-2.796959170067492,26.0,0.0
27,-2.445144762900289,27.0,0.0
28,-0.36310913302450265,28.0,0.0
29,-2.3547880785203006,29.0,0.0
30,-0.0811858292682559,30.0,0.0
31,-2.9783723063474508,31.0,0.0
32,-0.5523674839411024,32.0,0.0
33,-0.2651338300301045,33.0,0.0
34,-0.650734449198074,34.0,0.0
35,-10.46789166047984,35.0,0.0
36,-3.001315729125504,36.0,0.0
37,-0.38630609600351584,37.0,0.0
38,-1.029416995363746,38.0,0.0
39,-0.115731189333101,39.0,0.0
40,-1.0869164305125838,40.0,0.0
41,-4.3903813690340066,41.0,0.0
42,0.0600732826174557,42.0,0.0
43,-0.5424705519608337,43.0,0.0
44,-1.1137025901732245,44.0,0.0
45,-2.2314308606751942,45.0,0.0
46,-0.07067169803695861,46.0,0.0
47,-2.169030886833528,47.0,0.0
48,-0.30621068625880565,48.0,0.0
49,-0.46241237960217774,49.0,0.0
50,-10.377452808880578,50.0,0.0
51,-0.35792948203190966,51.0,0.0
52,-0.6492619530265946,52.0,0.0
53,-4.784434456948972,53.0,0.0
54,-4.914538983885477,54.0,0.0
55,-3.8926865512766033,55.0,0.0
56,-0.2678120726607214,56.0,0.0
57,-1.6662856370634218,57.0,0.0
58,0.10323534097205833,58.0,0.0
59,-0.6059875476389724,59.0,0.0
60,-0.8349599625426534,60.0,0.0
61,-3.465013883499968,61.0,0.0
62,-3.9485044749241167,62.0,0.0
63,-0.4518880833654426,63.0,0.0
64,-2.231383216441275,64.0,0.0
65,-3.040783935110867,65.0,0.0
66,-2.1503879529451937,66.0,0.0
67,0.044556190056925016,67.0,0.0
68,-7.950629903284053,68.0,0.0
69,-0.45309947338247936,69.0,0.0
70,-0.5457095962042522,70.0,0.0
71,-3.7061951700374633,71.0,0.0
72,-0.28500575548142004,72.0,0.0
73,-0.060470627189533444,73.0,0.0
74,-1.384310757689184,74.0,0.0
75,-3.220055476774351,75.0,0.0
76,-1.4912226131819404,76.0,0.0
77,-0.6448586304004169,77.0,0.0
78,-0.29713480269808046,78.0,0.0
79,-16.446112965426742,79.0,0.0
80,-2.785541110084062,80.0,0.0
81,-0.7418138088930202,81.0,0.0
82,-4.700857588827656,82.0,0.0
83,-3.131167310565899,83.0,0.0
84,-2.7581460757510197,84.0,0.0
85,-2.689406815709788,85.0,0.0
86,-8.076664996455511,86.0,0.0
87,-0.5091549828964146,87.0,0.0
88,-0.6219743929717994,88.0,0.0
89,-0.4673353347341094,89.0,0.0
90,-0.08798947374190025,90.0,0.0
91,-2.493264198731715,91.0,0.0
92,-0.15974161376220208,92.0,0.0
93,-4.968693317650556,93.0,0.0
94,0.15127348708482102,94.0,0.0
95,-2.014222474888137,95.0,0.0
96,-0.5364478795521441,96.0,0.0
97,-1.7051668827110253,97.0,0.0
98,-12.165210122249716,98.0,0.0
99,-0.3756859945241444,99.0,0.0
