,score,i,j
0,0.0,0.0,0.0
1,0.011502147678202457,1.0,0.0
2,-0.029435742040049506,2.0,0.0
3,-0.013329737183835233,3.0,0.0
4,-0.0633393840644465,4.0,0.0
5,-0.8739843265743672,5.0,0.0
6,-0.216444174533575,6.0,0.0
7,-0.01835983103711314,7.0,0.0
8,-0.03993495109312328,8.0,0.0
9,-0.05568605050283426,9.0,0.0
10,-0.7796482283707855,10.0,0.0
11,-3.2006582621356827,11.0,0.0
12,-0.03667005102878185,12.0,0.0
13,-0.16931844335351354,13.0,0.0
14,-0.3037884963643569,14.0,0.0
15,-0.048578260000029516,15.0,0.0
16,-0.1927235523226687,16.0,0.0
17,-0.9685777090571432,17.0,0.0
18,-0.12057246199473148,18.0,0.0
19,-0.04929334441959732,19.0,0.0
20,-0.07361613849762239,20.0,0.0
21,-0.006777226859453478,21.0,0.0
22,-0.02766189995673396,22.0,0.0
23,-0.2543238385754447,23.0,0.0
24,0.009561373599213274,24.0,0.0
25,-0.06526576471489709,25.0,0.0
26,-0.01579147918068524,26.0,0.0
27,-0.0182640262806959,27.0,0.0
28,-0.01925714193918071,28.0,0.0
29,-0.05695061034157489,29.0,0.0
30,-0.2116885295485469,30.0,0.0
31,-0.02541953150413545,31.0,0.0
32,-0.15704640971126316,32.0,0.0
33,-0.07013043085282611,33.0,0.0
34,-8.672375951551915,34.0,0.0
35,-0.157888012877478,35.0,0.0
36,-0.03358020495726488,36.0,0.0
37,-0.11352103547816972,37.0,0.0
38,-0.5463732277923192,38.0,0.0
39,-0.06359627930080802,39.0,0.0
40,-0.037992846793118984,40.0,0.0
41,-0.04268192964362183,41.0,0.0
42,-0.21626734695229954,42.0,0.0
43,-0.49859569598585485,43.0,0.0
44,-0.03369971901265578,44.0,0.0
45,-0.05768150171125552,45.0,0.0
46,-0.08889267732056294,46.0,0.0
47,-0.015443477604989653,47.0,0.0
48,-0.05910971259367348,48.0,0.0
49,-0.04938787165923797,49.0,0.0
50,-0.016051110766361898,50.0,0.0
51,-0.0033016832996204393,51.0,0.0
52,-0.2503427850254354,52.0,0.0
53,-0.06882620791051086,53.0,0.0
54,-0.050484156842810046,54.0,0.0
55,-0.07984268935242911,55.0,0.0
56,0.0077485922054325584,56.0,0.0
57,0.0053029287994710295,57.0,0.0
58,-0.3713380120235963,58.0,0.0
59,-0.24135854253439692,59.0,0.0
60,-0.0518046705003139,60.0,0.0
61,-0.3842921798426371,61.0,0.0
62,-0.021058978191968114,62.0,0.0
63,0.02011760057100287,63.0,0.0
64,-0.00018963692694540235,64.0,0.0
65,-0.02524038168954923,65.0,0.0
66,-0.011693369189090586,66.0,0.0
67,-0.2962594029155263,67.0,0.0
68,-0.08146859810033713,68.0,0.0
69,-0.0030890188662322515,69.0,0.0
70,-0.638726886834386,70.0,0.0
71,-0.09792257214124467,71.0,0.0
72,-0.05478834921544751,72.0,0.0
73,-4.642315335723546,73.0,0.0
74,-0.0051168030596613345,74.0,0.0
75,-0.041480014356110484,75.0,0.0
76,-0.09636753560616929,76.0,0.0
77,-0.25726346652374676,77.0,0.0
78,-0.3180264725402604,78.0,0.0
79,-0.27829968451868936,79.0,0.0
80,0.014350862148669541,80.0,0.0
81,0.0030852439273588717,81.0,0.0
82,-0.05792155830174717,82.0,0.0
83,-0.01447550218246385,83.0,0.0
84,-0.04567948836412827,84.0,0.0
85,-0.027209663222019564,85.0,0.0
86,-0.2798068816633166,86.0,0.0
87,-0.6860282088683345,87.0,0.0
88,-0.11272552712209749,88.0,0.0
89,-0.04068947411138857,89.0,0.0
90,-0.19181727255816883,90.0,0.0
91,-0.03995235571833944,91.0,0.0
92,-0.2494978119840081,92.0,0.0
93,-0.09119724598193502,93.0,0.0
94,-1.3558914285250343,94.0,0.0
95,-0.3226198888259313,95.0,0.0
96,-0.20666131900456963,96.0,0.0
97,-0.018335503226440286,97.0,0.0
98,-1.6203181780686737,98.0,0.0
99,-0.03497104934423767,99.0,0.0
