,score,i,j
0,0.0,0.0,0.0
1,-0.001759031296836966,1.0,60.0
2,-0.0017468723061999647,1.0,61.0
3,-0.0017272585744747548,1.0,62.0
4,-0.0016802855000803696,1.0,63.0
5,-0.0016934152363239363,1.0,64.0
6,-0.0018013213862690947,1.0,65.0
7,-0.0017990415649387081,1.0,66.0
8,-0.001730403154532656,1.0,67.0
9,-0.001735204675748614,1.0,68.0
10,-0.0017639816024912491,1.0,69.0
11,-0.002497420605659606,2.0,60.0
12,-0.0024198190324955515,2.0,61.0
13,-0.0025680257511089266,2.0,62.0
14,-0.0024865222309582435,2.0,63.0
15,-0.002456988560626039,2.0,64.0
16,-0.002479492818197482,2.0,65.0
17,-0.00242174533913575,2.0,66.0
18,-0.00253248489000768,2.0,67.0
19,-0.002574932113151629,2.0,68.0
20,-0.0024242221660084606,2.0,69.0
21,-0.0041613878940049975,3.0,60.0
22,-0.003838279257816435,3.0,61.0
23,-0.003974331849937673,3.0,62.0
24,-0.004294240462046517,3.0,63.0
25,-0.0036909765977068965,3.0,64.0
26,-0.004227091141475681,3.0,65.0
27,-0.004126834315296701,3.0,66.0
28,-0.004059394872509392,3.0,67.0
29,-0.004289619658904176,3.0,68.0
30,-0.003726511581738645,3.0,69.0
31,-0.009319470661567797,4.0,60.0
32,-0.010727922763900777,4.0,61.0
33,-0.00978863829441523,4.0,62.0
34,-0.009593676537662965,4.0,63.0
35,-0.009929640184861865,4.0,64.0
36,-0.009812525676436756,4.0,65.0
37,-0.009694322351538887,4.0,66.0
38,-0.009141227979960975,4.0,67.0
39,-0.009938191224355686,4.0,68.0
40,-0.008444227867381526,4.0,69.0
41,-0.011878028365904791,5.0,60.0
42,-0.009873443884535371,5.0,61.0
43,-0.011548213071883806,5.0,62.0
44,-0.011588241430586566,5.0,63.0
45,-0.011797071283381033,5.0,64.0
46,-0.010974186698093469,5.0,65.0
47,-0.010568203427234746,5.0,66.0
48,-0.010122312196726213,5.0,67.0
49,-0.010897709107521969,5.0,68.0
50,-0.010242962247392962,5.0,69.0
